lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR
0021621,0000141,0000030,0001010,0030317,0020930,0030277,0000000,001024,000,000,16384
0251604,0001251,0000250,0001247,0050946,0043492,0050816,0000000,001024,000,000,16384
0021611,0000141,0000030,0001010,0030297,0020929,0030257,0000000,001024,001,000,16384
0249931,0001249,0000251,0001248,0050886,0043412,0050756,0000000,001024,001,000,16384
0021190,0000150,0000030,0001010,0028644,0020498,0028604,0000000,001024,002,000,16384
0249287,0001249,0000241,0001247,0050435,0043382,0050305,0000000,001024,002,000,16384
0020819,0000141,0000030,0001010,0028494,0020127,0028454,0000000,001024,000,001,16384
0244832,0001244,0000241,0001241,0050365,0043111,0050235,0000000,001024,000,001,16384
0020909,0000141,0000030,0001010,0028884,0020218,0028844,0000000,001024,001,001,16384
0245003,0001244,0000250,0001242,0050415,0043162,0050285,0000000,001024,001,001,16384
0021220,0000150,0000030,0001010,0030357,0020549,0030317,0000000,001024,002,001,16384
0243697,0001243,0000251,0001241,0050675,0043111,0050555,0000000,001024,002,001,16384
0021621,0000141,0000030,0001010,0030227,0020929,0030187,0000000,001024,000,002,16384
0250142,0001249,0000260,0001249,0050736,0043402,0050616,0000000,001024,000,002,16384
0021271,0000141,0000030,0001010,0028874,0020579,0028834,0000000,001024,001,002,16384
0251144,0001250,0000250,0001248,0050515,0043432,0050395,0000000,001024,001,002,16384
0021661,0000150,0000030,0001010,0030357,0020979,0030317,0000000,001024,002,002,16384
0251872,0001251,0000251,0001248,0050845,0043392,0050725,0000000,001024,002,002,16384
