tid,wait_acq(ms),wait_rel(ms)
RUN 0
001,53544.265625, 97.622528
002,54140.367188, 88.483879
003,53227.761719, 96.357422
004,53993.781250, 94.244766
005,54251.332031, 87.276398
006,54196.382812, 86.183907
007,53863.109375, 90.963264
008,54022.777344, 90.843605
009,52355.746094,145.540329
010,53069.410156,137.094925
012,52998.343750,143.234344
013,53137.472656,141.067093
011,52997.613281,144.666351
014,53166.859375,136.677689
015,52952.023438,140.035980
016,52837.636719,143.505569
-----------------------------------------------------------------------------------------------

RUN 1
001,53867.023438, 93.875275
002,53652.128906, 99.037277
003,53219.742188, 97.265793
004,54078.390625, 93.649338
005,54054.050781, 88.965439
006,54359.500000, 82.794075
007,53880.832031, 91.747520
008,54086.437500, 91.128815
009,52244.554688,145.548431
010,53040.367188,145.627609
012,53064.093750,145.717880
013,53143.332031,144.593307
011,52951.992188,140.608795
014,53195.062500,140.404327
015,53114.738281,137.008560
016,52671.574219,150.306091
-----------------------------------------------------------------------------------------------

