tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,pinning,cache_misses,c_ho
000,00000000,00133019,010,00416010,00034296,00003681,001024,000,000,00000016,00085951,02,0000000036378920,00000000
001,00000000,00137979,010,00470758,00035108,00003670,001024,000,000,00000016,00089325,02,0000000026476561,00000000
002,00000000,00137230,010,00461543,00035343,00003695,001024,000,000,00000016,00088730,02,0000000027453514,00000000
003,00000000,00134119,010,00422550,00034619,00003694,001024,000,000,00000016,00086879,02,0000000029474225,00000000
004,00000000,00134663,010,00425650,00034633,00003691,001024,000,000,00000016,00087286,02,0000000030398431,00000000
005,00000000,00136760,010,00464271,00034857,00003650,001024,000,000,00000016,00088400,02,0000000030872883,00000000
006,00000000,00134517,010,00424377,00034729,00003630,001024,000,000,00000016,00087008,02,0000000029323266,00000000
007,00000000,00137899,010,00473078,00034957,00003618,001024,000,000,00000016,00088955,02,0000000030299960,00000000
008,00000000,00133838,010,00419924,00034495,00003659,001024,000,000,00000016,00086649,02,0000000031177970,00000000
009,00000000,00137114,010,00468703,00034784,00003631,001024,000,000,00000016,00088450,02,0000000033096406,00000000
010,00000000,00134268,010,00420825,00034794,00003665,001024,000,000,00000016,00086879,02,0000000030401633,00000000
011,00000000,00137184,010,00463038,00035088,00003760,001024,000,000,00000016,00088415,02,0000000029784132,00000000
012,00000000,00135348,010,00420091,00034493,00003819,001024,000,000,00000016,00086975,02,0000000031257559,00000000
013,00000000,00137070,010,00465871,00035225,00003694,001024,000,000,00000016,00088647,02,0000000032439337,00000000
014,00000000,00134351,010,00415995,00034560,00003661,001024,000,000,00000016,00086183,02,0000000030662528,00000000
015,00000000,00136305,010,00463266,00034782,00003730,001024,000,000,00000016,00088153,02,0000000032195571,00000000
016,00000000,00135913,010,00424425,00034831,00003773,001024,000,000,00000016,00087591,02,0000000032035801,00000000
017,00000000,00136506,010,00461671,00034890,00003605,001024,000,000,00000016,00088284,02,0000000033347807,00000000
018,00000000,00133518,010,00417537,00034366,00003755,001024,000,000,00000016,00086634,02,0000000031809872,00000000
019,00000000,00138519,010,00464432,00035189,00003633,001024,000,000,00000016,00089019,02,0000000030608236,00000000
020,00000000,00134699,010,00417773,00034693,00003798,001024,000,000,00000016,00087132,02,0000000032781978,00000000
021,00000000,00136865,010,00460004,00035165,00003718,001024,000,000,00000016,00088550,02,0000000029780103,00000000
022,00000000,00134600,010,00423944,00034428,00003765,001024,000,000,00000016,00087053,02,0000000031376601,00000000
023,00000000,00137455,010,00465402,00035318,00003783,001024,000,000,00000016,00088691,02,0000000030265068,00000000
024,00000000,00133529,010,00415881,00034580,00003878,001024,000,000,00000016,00086458,02,0000000032178937,00000000
