tid,loop_in_cs,lock_acquires,lock_hold(ms)
RUN 0
000,     22219,   22219,    5.153851
001,     22245,   22245,    3.700104
002,     22221,   22221,    3.920177
003,     22221,   22221,    4.462843
004,     22262,   22262,    5.249355
005,     22261,   22261,    4.494284
006,     22221,   22221,    3.833163
007,     22224,   22224,    3.597799
008,     22263,   22263,    4.459677
009,     22222,   22222,    3.366086
010,     22225,   22225,    3.448808
011,     22213,   22213,    4.101737
012,     22261,   22261,    3.202265
013,     22262,   22262,    3.544371
014,     22244,   22244,    2.930258
015,     22261,   22261,    3.834817
-------------------------------------------------------------------------------------------------------

RUN 1
000,     22032,   22032,    4.338118
001,     22031,   22031,    3.870003
002,     22050,   22050,    2.927723
003,     22041,   22041,    3.899249
004,     22039,   22039,    4.220612
005,     22028,   22028,    3.898829
006,     22050,   22050,    4.684975
007,     22033,   22033,    3.955122
008,     22039,   22039,    3.326399
009,     22049,   22049,    3.250939
010,     22027,   22027,    3.741064
011,     22049,   22049,    3.526700
012,     22039,   22039,    3.068786
013,     22038,   22038,    3.741628
014,     22039,   22039,    2.649582
015,     22030,   22030,    4.151122
-------------------------------------------------------------------------------------------------------

RUN 2
000,     22160,   22160,    5.944080
001,     22154,   22154,    3.592324
002,     22159,   22159,    3.319313
003,     22159,   22159,    3.643495
004,     22171,   22171,    3.288304
005,     22158,   22158,    3.517844
006,     22159,   22159,    4.795072
007,     22170,   22170,    4.776247
008,     22171,   22171,    5.271331
009,     22158,   22158,    3.046078
010,     22158,   22158,    4.079524
011,     22159,   22159,    4.580456
012,     22171,   22171,    4.276322
013,     22171,   22171,    4.017170
014,     22171,   22171,    2.722969
015,     22160,   22160,    3.810666
-------------------------------------------------------------------------------------------------------

RUN 3
000,     22928,   22928,    4.160583
001,     22929,   22929,    3.665082
002,     22929,   22929,    3.894852
003,     22929,   22929,    3.519712
004,     22928,   22928,    4.319928
005,     22929,   22929,    3.396075
006,     22930,   22930,    4.680532
007,     22928,   22928,    4.247479
008,     22928,   22928,    3.875720
009,     22929,   22929,    3.073595
010,     22923,   22923,    4.153749
011,     22928,   22928,    4.796831
012,     22928,   22928,    3.999910
013,     22928,   22928,    4.808357
014,     22927,   22927,    2.968861
015,     22928,   22928,    3.967486
-------------------------------------------------------------------------------------------------------

RUN 4
000,     23030,   23030,    3.313607
001,     23031,   23031,    3.845154
002,     23031,   23031,    4.902396
003,     23030,   23030,    4.142854
004,     23029,   23029,    3.316586
005,     23031,   23031,    3.589707
006,     23030,   23030,    4.714084
007,     23028,   23028,    4.242265
008,     23030,   23030,    3.281914
009,     23030,   23030,    3.240729
010,     23030,   23030,    3.618677
011,     23031,   23031,    3.363477
012,     23030,   23030,    4.387360
013,     23030,   23030,    4.546479
014,     23019,   23019,    2.673107
015,     23030,   23030,    3.641572
-------------------------------------------------------------------------------------------------------

