tid,lock_impl_time(ms)
RUN 0
001,    54.102
-----------------------------------------------------------------------------------------------

RUN 1
001,    53.814
-----------------------------------------------------------------------------------------------

RUN 2
001,    53.581
-----------------------------------------------------------------------------------------------

RUN 3
001,    54.547
-----------------------------------------------------------------------------------------------

RUN 4
001,    54.417
-----------------------------------------------------------------------------------------------

