tid,loop_in_cs,lock_acquires,lock_hold(ms)
RUN 0
000,   2897398, 2897398,  119.787933
001,    197764,  197764,    7.953447
002,   8458552, 8458552,  340.905853
003,    567156,  567156,   22.799620
004,  12903571,12903571,  516.649048
005,    441845,  441845,   17.715487
006,  10918788,10918788,  437.320404
007,    615222,  615222,   24.656303
008,   8894000, 8894000,  356.164398
009,    914954,  914954,   36.687386
010,  10841578,10841578,  434.167053
011,    872263,  872263,   34.955788
012,   7422201, 7422201,  297.182465
013,    549779,  549779,   22.044781
014,   9454728, 9454728,  378.587433
015,   1073798, 1073798,   44.787140
-------------------------------------------------------------------------------------------------------

RUN 1
000,   3799912, 3799912,  155.336700
001,     35428,   35428,    1.469765
002,  11534574,11534574,  461.916962
003,    390277,  390277,   15.675754
004,   6890792, 6890792,  275.922302
005,     29474,   29474,    1.216740
006,  10788115,10788115,  433.169373
007,    541018,  541018,   21.681004
008,  11773933,11773933,  471.996918
009,     22783,   22783,    0.944807
010,  11077539,11077539,  443.825348
011,    402318,  402318,   16.127199
012,   9683946, 9683946,  390.367035
013,     59889,   59889,    2.428480
014,   9565191, 9565191,  382.970520
015,    397433,  397433,   15.963937
-------------------------------------------------------------------------------------------------------

RUN 2
000,  10835257,10835257,  434.016907
001,    535172,  535172,   21.448160
002,   7723244, 7723244,  310.569855
003,    508133,  508133,   20.372190
004,   8874896, 8874896,  355.360626
005,     32026,   32026,    1.322973
006,   3095668, 3095668,  128.308289
007,    543123,  543123,   21.777506
008,  12359291,12359291,  494.787720
009,     31424,   31424,    1.293213
010,  10944647,10944647,  438.275024
011,     36796,   36796,    1.516650
012,  12162164,12162164,  487.600098
013,     61008,   61008,    2.475347
014,   8937214, 8937214,  359.759674
015,    413278,  413278,   16.580120
-------------------------------------------------------------------------------------------------------

RUN 3
000,   8323196, 8323196,  333.347137
001,    691185,  691185,   27.740170
002,   9738874, 9738874,  390.504181
003,     47847,   47847,    1.968193
004,   3659319, 3659319,  149.710266
005,    646697,  646697,   25.950134
006,   9440957, 9440957,  378.155884
007,    843485,  843485,   33.823265
008,   9386930, 9386930,  375.907074
009,     36421,   36421,    1.506973
010,  11884948,11884948,  475.892975
011,     61327,   61327,    2.539457
012,  15899689,15899689,  637.541748
013,     93662,   93662,    3.795423
014,   5925946, 5925946,  240.855942
015,    529462,  529462,   21.240173
-------------------------------------------------------------------------------------------------------

RUN 4
000,   6330571, 6330571,  253.541550
001,    433869,  433869,   17.394037
002,   6833386, 6833386,  273.597870
003,     35331,   35331,    1.450537
004,   7232278, 7232278,  289.658936
005,    450855,  450855,   18.094311
006,  12703093,12703093,  508.678070
007,    619700,  619700,   24.851250
008,   6925072, 6925072,  277.343475
009,     23479,   23479,    0.974457
010,  13115343,13115343,  525.192261
011,     35624,   35624,    1.477062
012,  18279901,18279901,  733.344421
013,     51780,   51780,    2.107213
014,   3744205, 3744205,  153.269699
015,    319661,  319661,   12.840237
-------------------------------------------------------------------------------------------------------

