tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_ac(ms),wait_rel(ms),array_size(B)
RUN 0
000,   7527807, 7527807,  266.740021,      30.000,33361.191406,26098.130859,               0
001,   7182691, 7182691,  254.817978,      30.000,34855.667969,24627.330078,               0
002,   7159614, 7159614,  254.086243,      30.000,34779.492188,24704.121094,               0
003,   7196656, 7196656,  255.493286,      30.000,34840.414062,24639.876953,               0
004,   6970908, 6970908,  245.830078,      30.000,34890.292969,24606.646484,               0
005,   7195438, 7195438,  255.885757,      30.000,34811.750000,24665.134766,               0
006,   7165005, 7165005,  254.387650,      30.000,34869.871094,24613.214844,               0
007,   7140882, 7140882,  253.648453,      30.000,35013.882812,24470.996094,               0
008,   7487428, 7487428,  264.814026,      30.000,33455.785156,26007.617188,               0
009,   7129893, 7129893,  253.660583,      30.000,34939.894531,24543.925781,               0
010,   7158551, 7158551,  254.738007,      30.000,34744.656250,24736.552734,               0
011,   7152184, 7152184,  254.276352,      30.000,34969.117188,24515.642578,               0
012,   6914074, 6914074,  243.213181,      30.000,34980.847656,24524.441406,               0
013,   7126020, 7126020,  252.797470,      30.000,34949.640625,24537.705078,               0
014,   7108397, 7108397,  251.965332,      30.000,34938.167969,24549.636719,               0
015,   7080887, 7080887,  251.041260,      30.000,35143.804688,24340.638672,               0
-------------------------------------------------------------------------------------------------------

RUN 1
000,   7534609, 7534609,  267.105560,      30.000,33342.718750,26115.892578,               0
001,   7172730, 7172730,  254.142670,      30.000,34875.695312,24608.421875,               0
002,   7159921, 7159921,  254.058456,      30.000,34798.324219,24685.507812,               0
003,   7188305, 7188305,  255.227814,      30.000,34837.972656,24642.625000,               0
004,   6973393, 6973393,  245.932877,      30.000,34878.531250,24617.970703,               0
005,   7195413, 7195413,  255.457596,      30.000,34827.171875,24650.433594,               0
006,   7181122, 7181122,  254.759354,      30.000,34833.226562,24649.070312,               0
007,   7149899, 7149899,  254.121811,      30.000,34995.015625,24489.107422,               0
008,   7485650, 7485650,  264.701355,      30.000,33451.507812,26011.935547,               0
009,   7136197, 7136197,  253.317017,      30.000,34925.453125,24558.355469,               0
010,   7157174, 7157174,  254.632538,      30.000,34741.125000,24740.308594,               0
011,   7147450, 7147450,  254.252853,      30.000,34964.062500,24520.751953,               0
012,   6915946, 6915946,  243.276581,      30.000,34975.687500,24529.578125,               0
013,   7131298, 7131298,  253.228699,      30.000,34934.785156,24552.072266,               0
014,   7109141, 7109141,  252.037552,      30.000,34946.261719,24541.384766,               0
015,   7085246, 7085246,  251.189865,      30.000,35132.253906,24351.767578,               0
-------------------------------------------------------------------------------------------------------

RUN 2
000,   7526272, 7526272,  266.641846,      30.000,33347.859375,26111.542969,               0
001,   7161326, 7161326,  253.687759,      30.000,34886.804688,24597.992188,               0
002,   7159027, 7159027,  254.030273,      30.000,34813.335938,24670.316406,               0
003,   7195006, 7195006,  255.577194,      30.000,34839.742188,24640.480469,               0
004,   6970996, 6970996,  245.686325,      30.000,34902.464844,24594.359375,               0
005,   7202870, 7202870,  256.073273,      30.000,34796.699219,24679.781250,               0
006,   7174566, 7174566,  254.658081,      30.000,34840.835938,24641.886719,               0
007,   7144306, 7144306,  253.748688,      30.000,35004.179688,24480.507812,               0
008,   7474618, 7474618,  264.060913,      30.000,33462.722656,26001.537109,               0
009,   7139341, 7139341,  253.528473,      30.000,34938.140625,24545.357422,               0
010,   7168487, 7168487,  254.895844,      30.000,34728.867188,24751.980469,               0
011,   7146917, 7146917,  253.655304,      30.000,34952.964844,24532.796875,               0
012,   6913218, 6913218,  243.307632,      30.000,34989.714844,24515.578125,               0
013,   7137279, 7137279,  253.339661,      30.000,34943.585938,24543.240234,               0
014,   7104862, 7104862,  251.778107,      30.000,34939.820312,24548.388672,               0
015,   7083376, 7083376,  250.990433,      30.000,35116.910156,24367.410156,               0
-------------------------------------------------------------------------------------------------------

RUN 3
000,   7522056, 7522056,  266.583313,      30.000,33357.562500,26101.890625,               0
001,   7165560, 7165560,  253.895767,      30.000,34887.957031,24596.660156,               0
002,   7165677, 7165677,  254.436020,      30.000,34797.214844,24685.775391,               0
003,   7200099, 7200099,  255.614212,      30.000,34825.347656,24654.619141,               0
004,   6977788, 6977788,  246.125809,      30.000,34883.367188,24612.660156,               0
005,   7191358, 7191358,  255.392288,      30.000,34810.765625,24666.867188,               0
006,   7163528, 7163528,  254.309357,      30.000,34851.617188,24631.882812,               0
007,   7152947, 7152947,  254.173950,      30.000,34994.250000,24489.931641,               0
008,   7487579, 7487579,  264.798401,      30.000,33454.593750,26008.876953,               0
009,   7134030, 7134030,  253.092209,      30.000,34932.050781,24552.222656,               0
010,   7153478, 7153478,  254.491333,      30.000,34753.660156,24728.187500,               0
011,   7147291, 7147291,  253.830643,      30.000,34965.835938,24519.791016,               0
012,   6913555, 6913555,  243.405380,      30.000,34993.976562,24511.167969,               0
013,   7131767, 7131767,  253.122559,      30.000,34940.742188,24546.269531,               0
014,   7108873, 7108873,  252.061493,      30.000,34933.136719,24554.607422,               0
015,   7081816, 7081816,  251.027786,      30.000,35140.113281,24344.574219,               0
-------------------------------------------------------------------------------------------------------

RUN 4
000,   7527520, 7527520,  266.738007,      30.000,33351.765625,26107.501953,               0
001,   7178391, 7178391,  254.732803,      30.000,34874.929688,24608.000000,               0
002,   7162353, 7162353,  254.112854,      30.000,34789.703125,24693.804688,               0
003,   7185753, 7185753,  255.060165,      30.000,34862.886719,24617.880859,               0
004,   6974112, 6974112,  245.982346,      30.000,34886.835938,24609.521484,               0
005,   7201538, 7201538,  256.209747,      30.000,34795.921875,24680.105469,               0
006,   7176757, 7176757,  254.933731,      30.000,34855.558594,24626.562500,               0
007,   7153293, 7153293,  254.177917,      30.000,34998.343750,24485.812500,               0
008,   7478772, 7478772,  264.288788,      30.000,33462.371094,26001.689453,               0
009,   7133538, 7133538,  253.265152,      30.000,34936.437500,24547.677734,               0
010,   7145550, 7145550,  254.297974,      30.000,34767.628906,24714.681641,               0
011,   7135308, 7135308,  253.947739,      30.000,34983.234375,24502.570312,               0
012,   6914847, 6914847,  243.429520,      30.000,34988.851562,24516.228516,               0
013,   7123481, 7123481,  252.966507,      30.000,34956.070312,24531.484375,               0
014,   7113160, 7113160,  252.234085,      30.000,34955.015625,24532.226562,               0
015,   7080098, 7080098,  251.102448,      30.000,35139.406250,24345.148438,               0
-------------------------------------------------------------------------------------------------------

