tid,wait_acq(ms),wait_rel(ms)
RUN 0
001,52932.421875,  7.498981
002,53383.066406,  5.528342
003,52969.609375,  7.461187
004,52965.441406,  7.546651
005,54031.312500,  6.042189
007,53303.195312,  6.686078
006,53516.136719,  6.981306
008,54265.359375,  6.349604
009,52495.582031, 11.252597
010,52259.187500,  5.574850
012,53471.308594,  4.674027
011,52496.847656,  5.461436
013,51654.621094,  6.066368
014,53031.296875,  4.942965
015,52292.156250,  6.004197
016,53285.621094,  4.796045
-----------------------------------------------------------------------------------------------

RUN 1
001,52602.136719,  7.593549
002,53284.167969,  5.734991
003,52869.390625,  7.429039
004,53540.675781,  6.510849
005,54216.269531,  5.800215
007,53556.695312,  6.598953
006,53284.011719,  7.034851
008,53869.886719,  6.665654
009,52213.082031, 11.495511
010,52709.800781,  5.194563
012,53032.976562,  5.003755
011,52599.363281,  5.197204
013,52618.519531,  5.469157
014,52861.031250,  5.072078
015,52406.589844,  5.720952
016,52855.808594,  5.044534
-----------------------------------------------------------------------------------------------

