tid,wait_acq(ms),wait_rel(ms)
RUN 0
001, 11.372677,  0.000335
001,  0.086320,  0.000103
001,  0.008557,  0.000118
001,  0.008597,  0.000070
001,  0.002942,  0.000075
001,  0.002930,  0.000067
001,  0.002917,  0.000105
001,  0.002947,  0.000068
001,  0.002942,  0.000072
001,  0.008498,  0.000120
002, 11.440402,  0.000417
002,  0.019753,  0.000115
002,  0.008635,  0.000123
002,  0.008617,  0.000077
002,  0.002937,  0.000060
002,  0.000245,  0.000117
002,  0.002962,  0.000077
002,  0.000223,  0.000078
002,  0.000133,  0.000095
002,  0.002958,  0.000077
003,  5.686208,  0.000357
003,  0.000147,  0.000082
003,  0.000082,  0.000068
003,  0.000092,  0.000082
003,  0.000083,  0.000077
003,  0.106825,  0.000200
003,  0.008607,  0.000125
003,  0.000270,  0.000103
003,  0.000193,  0.000173
003,  0.000203,  0.000118
004,  2.838343,  0.000268
004,  0.000185,  0.000080
004,  0.041975,  0.000080
004,  0.008690,  0.000257
004,  0.019793,  0.000257
004,  0.008673,  0.000063
004,  0.000117,  0.000070
004,  0.000123,  0.000185
004,  0.000192,  0.000112
004,  0.000123,  0.000072
005,  1.422980,  0.000405
005,  0.008680,  0.000258
005,  0.003018,  0.000073
005,  0.002978,  0.000070
005,  0.002942,  0.000067
005,  0.002955,  0.000067
005,  0.002945,  0.000083
005,  0.008477,  0.000083
005,  0.000095,  0.000075
005,  0.000082,  0.000067
006,  0.204783,  0.000515
006, 23.076563,  0.000357
006,  0.019860,  0.000107
006,  0.008710,  0.000075
006,  0.003048,  0.000078
006,  0.003027,  0.000062
006,  0.003025,  0.000072
006,  0.000140,  0.000080
006,  0.000080,  0.000060
006,  0.000087,  0.000073
007,  0.361713,  0.000343
007,  0.044840,  0.000097
007,  0.008712,  0.000095
007,  0.008617,  0.000100
007,  0.769162,  0.000142
007,  0.000287,  0.000100
007,  0.000220,  0.000118
007,  0.000212,  0.000127
007,  0.000223,  0.000120
007,  0.000212,  0.000107
009,  0.001280,  0.000847
009, 45.558479,  0.000272
009,  0.000195,  0.000148
009,  0.000177,  0.000140
009,  0.000167,  0.000290
009,  0.000323,  0.000287
009,  0.000320,  0.000297
009,  0.000333,  0.000303
009,  0.000323,  0.000180
009,  0.000165,  0.000145
008,  6.152029,  0.000422
008,  0.041863,  0.000088
008,  0.008543,  0.000078
008,  0.000227,  0.000075
008,  0.002962,  0.000075
008,  0.002955,  0.000083
008,  0.000127,  0.000072
008,  0.000120,  0.000083
008,  0.000108,  0.000077
008,  0.000077,  0.000075
011, 39.937901,  0.000385
011,  0.000158,  0.000110
011,  0.000073,  0.000085
011,  0.000070,  0.000075
011,  0.000072,  0.000067
011,  0.000065,  0.000068
011,  0.000078,  0.000075
011,  0.000070,  0.000060
011,  0.000067,  0.000075
011,  0.000065,  0.000070
010,  0.084247,  0.000627
010,  0.044088,  0.000082
010,  0.086300,  0.000085
010,  0.008610,  0.000067
010,  0.000308,  0.000327
010,  0.000183,  0.000092
010,  0.041800,  0.000085
010,  0.008580,  0.000303
010,  0.008538,  0.000062
010,  0.008527,  0.000103
012, 28.593903,  0.000320
012,  0.000163,  0.000065
012,  0.000083,  0.000068
012,  0.000063,  0.000073
012,  0.000067,  0.000063
012,  0.000073,  0.000065
012,  0.000080,  0.000075
012,  0.000068,  0.000062
012,  0.000068,  0.000075
012,  0.000065,  0.000062
013, 22.897980,  0.000292
013,  0.000155,  0.000083
013,  0.000085,  0.000105
013,  0.000082,  0.000100
013,  0.000067,  0.000083
013,  0.042008,  0.000083
013,  0.019780,  0.000078
013,  0.003048,  0.000083
013,  0.000288,  0.000085
013,  0.000178,  0.000075
014,  0.858053,  0.000342
014,  0.008608,  0.000100
014,  0.000208,  0.000103
014,  0.000142,  0.000062
014,  0.000140,  0.000065
014,  0.041977,  0.000065
014,  1.417873,  0.000287
014,  0.000182,  0.000073
014,  0.019783,  0.000080
014,  0.008688,  0.000073
015, 17.215780,  0.000300
015,  0.000227,  0.000127
015,  0.000065,  0.000083
015,  0.000072,  0.000095
015,  0.000058,  0.000323
015,  0.000067,  0.000080
015,  0.000083,  0.000067
015,  0.000075,  0.000062
015,  0.000068,  0.000075
015,  0.000075,  0.000067
016, 34.253681,  0.000338
016,  0.000155,  0.000093
016,  0.000093,  0.000083
016,  0.000102,  0.000102
016,  0.000097,  0.000075
016,  0.000103,  0.000062
016,  0.000098,  0.000065
016,  0.000102,  0.000063
016,  0.000087,  0.000058
016,  0.000087,  0.000082
-----------------------------------------------------------------------------------------------

RUN 1
001,  0.086435,  0.000353
001,  0.002988,  0.000083
001,  0.000218,  0.000065
001,  0.002953,  0.000073
001,  0.002978,  0.000065
001,  0.000212,  0.000062
001,  0.002932,  0.000065
001,  0.000200,  0.000078
001,  0.041915,  0.000088
001,  0.019698,  0.000065
002,  2.898475,  0.000423
002,  0.000277,  0.000155
002,  0.000247,  0.000112
002,  0.000208,  0.000105
002,  0.000195,  0.000112
002,  0.000190,  0.000112
002,  0.000193,  0.000113
002,  0.000193,  0.000105
002,  0.000198,  0.000107
002,  0.000183,  0.000102
003,  1.484817,  0.000438
003,  0.086380,  0.000078
003,  0.019813,  0.000083
003,  0.019793,  0.000290
003,  0.008687,  0.000070
003,  0.008693,  0.000087
003,  0.008675,  0.000070
003,  0.008683,  0.000102
003,  0.008687,  0.000103
003,  0.008687,  0.000098
004,  0.000465,  0.000308
004,  0.019655,  0.000288
004,  0.002943,  0.000085
004,  0.002967,  0.000100
004,  0.002965,  0.000272
004,  0.002933,  0.000080
004,  0.002942,  0.000102
004,  0.000202,  0.000098
004,  0.352758,  0.000080
004,  0.086348,  0.000080
005,  5.891720,  0.000200
005,  0.042007,  0.000103
005,  0.008698,  0.000065
005,  0.019800,  0.000092
005,  0.008670,  0.000068
005,  0.019795,  0.000065
005,  0.008675,  0.000065
005,  0.019800,  0.000082
005,  0.019797,  0.000067
005,  0.008703,  0.000097
006,  3.008367,  0.000315
006,  0.002992,  0.000080
006,  0.002955,  0.000065
006,  0.002938,  0.000078
006,  0.002927,  0.000075
006,  0.002925,  0.000067
006,  0.002982,  0.000070
006,  0.002937,  0.000072
006,  0.002942,  0.000073
006,  0.002947,  0.000065
007, 18.055645,  0.000437
007,  0.000330,  0.000127
007,  0.000067,  0.000070
007,  0.000077,  0.000083
007,  0.000080,  0.000058
007,  0.000097,  0.000077
007,  0.000077,  0.000077
007,  0.000080,  0.000082
007,  0.000073,  0.000078
007,  0.000080,  0.000077
009, 11.490586,  0.000267
009,  0.000197,  0.000145
009,  0.000152,  0.000158
009,  0.042077,  0.000377
009,  0.000347,  0.000370
009,  0.000342,  0.000138
009,  0.003205,  0.000138
009,  0.000333,  0.000145
009,  0.000322,  0.000138
009,  0.000327,  0.000145
008, 11.778212,  0.000283
008,  0.008747,  0.000088
008,  0.008742,  0.000115
008,  0.008735,  0.000107
008,  0.008782,  0.000100
008,  0.019818,  0.000108
008,  0.019847,  0.000092
008,  0.019838,  0.000112
008,  0.000158,  0.000087
008,  0.000100,  0.000072
011,  5.811908,  0.000175
011,  0.086367,  0.000078
011,  0.008683,  0.000067
011,  0.000272,  0.000065
011,  0.008668,  0.000068
011,  0.000283,  0.000068
011,  0.008682,  0.000070
011,  0.000293,  0.000068
011,  0.008668,  0.000067
011,  0.008668,  0.000068
010,  0.841122,  0.000237
010,  0.008632,  0.000093
010,  0.008650,  0.000068
010,  0.086323,  0.000065
010,  0.041942,  0.000067
010,  0.707742,  0.000108
010,  0.000277,  0.000065
010,  0.000182,  0.000067
010,  0.000190,  0.000072
010,  0.000165,  0.000065
012, 22.862749,  0.000190
012,  0.000132,  0.000065
012,  0.000073,  0.000067
012,  0.000067,  0.000062
012,  0.000060,  0.000063
012,  0.000063,  0.000067
012,  0.000075,  0.000062
012,  0.000068,  0.000067
012,  0.000078,  0.000065
012,  0.000072,  0.000065
013, 28.527973,  0.000170
013,  0.000107,  0.000087
013,  0.000072,  0.000088
