lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR
0043752,0000311,0000060,0001041,0038512,0043292,0038032,0000000,001024,000,000,0512
0142108,0001141,0000371,0001265,0077446,0079260,0077657,0000000,001024,000,000,0512
0040126,0000310,0000051,0001037,0017754,0039665,0029426,0000000,001024,001,000,0512
0147108,0001145,0000391,0001260,0051237,0063340,0052218,0000000,001024,001,000,0512
0037050,0000481,0000071,0001034,0013054,0036408,0011292,0000000,001024,002,000,0512
0148850,0001148,0000420,0001258,0043983,0056196,0046097,0000000,001024,002,000,0512
0035677,0000321,0000060,0001029,0007203,0034685,0006162,0000000,001024,003,000,0512
0132901,0001133,0000361,0001288,0042209,0053621,0040105,0000000,001024,003,000,0512
0043723,0000310,0000051,0001040,0038493,0043262,0038072,0000000,001024,000,001,0512
0141788,0001141,0000391,0001264,0077016,0078768,0077446,0000000,001024,000,001,0512
0040165,0000310,0000060,0001037,0017693,0039695,0029436,0000000,001024,001,001,0512
0146347,0001144,0000391,0001260,0051337,0062979,0052309,0000000,001024,001,001,0512
0037069,0000481,0000071,0001034,0012914,0036418,0011151,0000000,001024,002,001,0512
0148338,0001147,0000420,0001258,0043752,0054843,0046026,0000000,001024,002,001,0512
0035486,0000330,0000060,0001029,0006743,0034485,0006192,0000000,001024,003,001,0512
0131829,0001135,0000371,0001289,0041919,0053060,0039815,0000000,001024,003,001,0512
0044284,0000310,0000050,0001041,0039003,0043833,0038553,0000000,001024,000,002,0512
0143521,0001142,0000391,0001266,0078237,0080421,0078598,0000000,001024,000,002,0512
0040586,0000310,0000051,0001037,0017743,0040125,0029756,0000000,001024,001,002,0512
0145735,0001144,0000391,0001263,0051697,0064231,0052820,0000000,001024,001,002,0512
0037461,0000471,0000070,0001034,0013055,0036819,0011241,0000000,001024,002,002,0512
0149892,0001148,0000451,0001261,0044233,0055444,0046367,0000000,001024,002,002,0512
0035877,0000321,0000060,0001029,0006923,0034886,0006222,0000000,001024,003,002,0512
0131137,0001133,0000361,0001291,0042280,0053892,0040266,0000000,001024,003,002,0512
