tid,loop_in_cs,lock_acquires,lock_hold(ms)
RUN 0
000, 221854355,221854355, 8888.669922
-------------------------------------------------------------------------------------------------------

RUN 1
000, 221952863,221952863, 8889.751953
-------------------------------------------------------------------------------------------------------

RUN 2
000, 221953610,221953610, 8890.044922
-------------------------------------------------------------------------------------------------------

RUN 3
000, 221955277,221955277, 8890.559570
-------------------------------------------------------------------------------------------------------

RUN 4
000, 221959330,221959330, 8889.834961
-------------------------------------------------------------------------------------------------------

