tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,pinning,cache_misses,c_ho
004,00000000,00091962,010,00130732,00005655,00000513,001024,003,000,00000032,00050609,01,0000012180104092,00000000
005,00000000,00091270,010,00145392,00005658,00000505,001024,003,000,00000032,00050490,01,0000012219880259,00000000
006,00000000,00091918,010,00162871,00005674,00000445,001024,003,000,00000032,00050356,01,0000011479551188,00000000
007,00000000,00092239,010,00120000,00005746,00000565,001024,003,000,00000032,00050752,01,0000012054921786,00000000
008,00000000,00091766,010,00154773,00005614,00000508,001024,003,000,00000032,00050470,01,0000012163837085,00000000
009,00000000,00091830,010,00132576,00005791,00000531,001024,003,000,00000032,00050717,01,0000012128934289,00000000
010,00000000,00092051,010,00127914,00005681,00000485,001024,003,000,00000032,00050811,01,0000012121559885,00000000
011,00000000,00092246,010,00150043,00005648,00000495,001024,003,000,00000032,00050607,01,0000012248628052,00000000
012,00000000,00091352,010,00128797,00005727,00000512,001024,003,000,00000032,00050506,01,0000012061775233,00000000
013,00000000,00091608,010,00131392,00005665,00000508,001024,003,000,00000032,00050528,01,0000012104772351,00000000
014,00000000,00091913,010,00119576,00005743,00000536,001024,003,000,00000032,00050555,01,0000011778117952,00000000
015,00000000,00092062,010,00145085,00005811,00000436,001024,003,000,00000032,00050746,01,0000012259337506,00000000
000,00000000,00215551,010,00190187,00008679,00002365,001024,000,000,00000128,00113187,01,0000004550544898,00000000
001,00000000,00226453,010,00189010,00008968,00002273,001024,000,000,00000128,00118606,01,0000012356501502,00000000
002,00000000,00224144,010,00222690,00008892,00002400,001024,000,000,00000128,00117451,01,0000012820013866,00000000
003,00000000,00227453,010,00171515,00009047,00002312,001024,000,000,00000128,00119717,01,0000012848066391,00000000
004,00000000,00225878,010,00159672,00008876,00002197,001024,000,000,00000128,00118742,01,0000012758659760,00000000
005,00000000,00223932,010,00176141,00009008,00002268,001024,000,000,00000128,00118416,01,0000012664868127,00000000
006,00000000,00222351,010,00155724,00008933,00002396,001024,000,000,00000128,00117338,01,0000012429938799,00000000
007,00000000,00225856,010,00170763,00008926,00002344,001024,000,000,00000128,00118761,01,0000012825932032,00000000
008,00000000,00227490,010,00135357,00008933,00002209,001024,000,000,00000128,00119360,01,0000012446643740,00000000
009,00000000,00226808,010,00156428,00008852,00002241,001024,000,000,00000128,00119060,01,0000012691643675,00000000
010,00000000,00225206,010,00171777,00008826,00002290,001024,000,000,00000128,00118488,01,0000012494208220,00000000
011,00000000,00224358,010,00197493,00008915,00002250,001024,000,000,00000128,00117824,01,0000012875956667,00000000
012,00000000,00223141,010,00161562,00009008,00002446,001024,000,000,00000128,00117728,01,0000012686352943,00000000
013,00000000,00225194,010,00133960,00008834,00002329,001024,000,000,00000128,00118350,01,0000012436624716,00000000
014,00000000,00224985,010,00151500,00009028,00002279,001024,000,000,00000128,00118231,01,0000012694378231,00000000
015,00000000,00222852,010,00145120,00008841,00002245,001024,000,000,00000128,00117118,01,0000012098595701,00000000
000,00000000,00101005,010,00076272,00001759,00000599,001024,001,000,00000128,00052287,01,0000012753776583,00000000
001,00000000,00097260,010,00072465,00001654,00000546,001024,001,000,00000128,00049948,01,0000007721010648,00000000
002,00000000,00098115,010,00073151,00001658,00000602,001024,001,000,00000128,00050293,01,0000009680809512,00000000
003,00000000,00104284,010,00077296,00001746,00000585,001024,001,000,00000128,00053658,01,0000012098046603,00000000
004,00000000,00097654,010,00073826,00001611,00000527,001024,001,000,00000128,00050054,01,0000012409597668,00000000
005,00000000,00100708,010,00075609,00001739,00000594,001024,001,000,00000128,00051873,01,0000010014450116,00000000
006,00000000,00099306,010,00075237,00001752,00000635,001024,001,000,00000128,00051182,01,0000012808407503,00000000
007,00000000,00099383,010,00074298,00001731,00000622,001024,001,000,00000128,00051057,01,0000011633327118,00000000
008,00000000,00100838,010,00075630,00001731,00000561,001024,001,000,00000128,00051819,01,0000012774177259,00000000
009,00000000,00100029,010,00073918,00001748,00000592,001024,001,000,00000128,00051240,01,0000012639858063,00000000
010,00000000,00101091,010,00075149,00001764,00000602,001024,001,000,00000128,00051794,01,0000012627260135,00000000
011,00000000,00101668,010,00076027,00001704,00000604,001024,001,000,00000128,00052464,01,0000012273698478,00000000
012,00000000,00103542,010,00075913,00001756,00000618,001024,001,000,00000128,00053020,01,0000013025791409,00000000
013,00000000,00101631,010,00075978,00001752,00000599,001024,001,000,00000128,00052261,01,0000011908239572,00000000
014,00000000,00100719,010,00075285,00001692,00000562,001024,001,000,00000128,00051710,01,0000011787892637,00000000
015,00000000,00010510,010,00007739,00000197,00000077,001024,001,000,00000128,00005263,01,0000002429426548,00000000
000,00000000,00108191,010,00094215,00001900,00000514,001024,002,000,00000128,00055639,01,0000013292154784,00000000
001,00000000,00105514,010,00091208,00001896,00000503,001024,002,000,00000128,00053964,01,0000013465642524,00000000
002,00000000,00106069,010,00084284,00001847,00000490,001024,002,000,00000128,00054254,01,0000013183136586,00000000
003,00000000,00107308,010,00099445,00001901,00000514,001024,002,000,00000128,00055150,01,0000012903617619,00000000
004,00000000,00106537,010,00090850,00001924,00000520,001024,002,000,00000128,00054609,01,0000013560030190,00000000
005,00000000,00105940,010,00098054,00001934,00000566,001024,002,000,00000128,00054503,01,0000013555923937,00000000
006,00000000,00106308,010,00103892,00001883,00000506,001024,002,000,00000128,00054441,01,0000013619832829,00000000
007,00000000,00106694,010,00105027,00001859,00000505,001024,002,000,00000128,00054636,01,0000013647667298,00000000
008,00000000,00105617,010,00103119,00001844,00000520,001024,002,000,00000128,00053686,01,0000013574781290,00000000
009,00000000,00103841,010,00105716,00001871,00000546,001024,002,000,00000128,00053345,01,0000013292763300,00000000
010,00000000,00105795,010,00090526,00001884,00000566,001024,002,000,00000128,00054072,01,0000013490860496,00000000
011,00000000,00104206,010,00125231,00001939,00000574,001024,002,000,00000128,00053612,01,0000013485080466,00000000
012,00000000,00109117,010,00085459,00001894,00000518,001024,002,000,00000128,00056093,01,0000013650581961,00000000
013,00000000,00105089,010,00098932,00001838,00000492,001024,002,000,00000128,00054021,01,0000013492989676,00000000
014,00000000,00108174,010,00092192,00001933,00000577,001024,002,000,00000128,00055465,01,0000013518231960,00000000
015,00000000,00108449,010,00086619,00001914,00000543,001024,002,000,00000128,00055296,01,0000013628497953,00000000
000,00000000,00107127,010,00079304,00001956,00000587,001024,003,000,00000128,00054953,01,0000013135638631,00000000
001,00000000,00108120,010,00086528,00001924,00000586,001024,003,000,00000128,00055684,01,0000013433038281,00000000
002,00000000,00107473,010,00103405,00001868,00000572,001024,003,000,00000128,00055135,01,0000013676480687,00000000
003,00000000,00108233,010,00092679,00001944,00000624,001024,003,000,00000128,00055681,01,0000013493896183,00000000
004,00000000,00108721,010,00101015,00001887,00000607,001024,003,000,00000128,00055768,01,0000013791241920,00000000
005,00000000,00107161,010,00100396,00001934,00000612,001024,003,000,00000128,00054755,01,0000013677753700,00000000
006,00000000,00104164,010,00096637,00001832,00000591,001024,003,000,00000128,00053586,01,0000013456119819,00000000
007,00000000,00106628,010,00087657,00001848,00000555,001024,003,000,00000128,00054568,01,0000012687336099,00000000
008,00000000,00106052,010,00092335,00001856,00000601,001024,003,000,00000128,00054514,01,0000013527408923,00000000
009,00000000,00104548,010,00121503,00001955,00000577,001024,003,000,00000128,00053848,01,0000013497772182,00000000
010,00000000,00104758,010,00098551,00001897,00000579,001024,003,000,00000128,00053835,01,0000013504692860,00000000
011,00000000,00105033,010,00099649,00001905,00000606,001024,003,000,00000128,00053936,01,0000013392868108,00000000
012,00000000,00104479,010,00104692,00001925,00000589,001024,003,000,00000128,00053804,01,0000013344002586,00000000
013,00000000,00107099,010,00079337,00001874,00000565,001024,003,000,00000128,00054978,01,0000013485462047,00000000
014,00000000,00106716,010,00115186,00001935,00000571,001024,003,000,00000128,00054898,01,0000013647726077,00000000
015,00000000,00108167,010,00099928,00001937,00000584,001024,003,000,00000128,00055710,01,0000013714859143,00000000
000,00000000,00229997,010,00124712,00004074,00002610,001024,000,000,00000512,00116562,01,0000013655333169,00000000
001,00000000,00227266,010,00132286,00004102,00002630,001024,000,000,00000512,00115027,01,0000013420553164,00000000
002,00000000,00226703,010,00138368,00004014,00002582,001024,000,000,00000512,00115165,01,0000013309002590,00000000
003,00000000,00227954,010,00151295,00004079,00002569,001024,000,000,00000512,00115978,01,0000013604970917,00000000
004,00000000,00227847,010,00146964,00004099,00002596,001024,000,000,00000512,00115807,01,0000013715615302,00000000
005,00000000,00226402,010,00163150,00003981,00002519,001024,000,000,00000512,00114544,01,0000013811669352,00000000
006,00000000,00228776,010,00128511,00004048,00002613,001024,000,000,00000512,00116020,01,0000013434472263,00000000
007,00000000,00225851,010,00142580,00004023,00002556,001024,000,000,00000512,00113800,01,0000013455888653,00000000
008,00000000,00227556,010,00148056,00004086,00002627,001024,000,000,00000512,00115511,01,0000013725396749,00000000
009,00000000,00229303,010,00130833,00004169,00002743,001024,000,000,00000512,00116369,01,0000013513025904,00000000
010,00000000,00225519,010,00137008,00004186,00002669,001024,000,000,00000512,00114711,01,0000013479082360,00000000
011,00000000,00233114,010,00129437,00004108,00002636,001024,000,000,00000512,00118197,01,0000013412839099,00000000
012,00000000,00233724,010,00132081,00004184,00002704,001024,000,000,00000512,00118605,01,0000013744151423,00000000
013,00000000,00230520,010,00128803,00004134,00002704,001024,000,000,00000512,00116768,01,0000013446156418,00000000
014,00000000,00232671,010,00130329,00004036,00002533,001024,000,000,00000512,00117955,01,0000013774580462,00000000
015,00000000,00225384,010,00125835,00004030,00002607,001024,000,000,00000512,00114586,01,0000004934188557,00000000
000,00000000,00108928,010,00065999,00000832,00000589,001024,001,000,00000512,00054933,01,0000013027504498,00000000
001,00000000,00109102,010,00066574,00000841,00000577,001024,001,000,00000512,00055114,01,0000013749104107,00000000
002,00000000,00108475,010,00066544,00000825,00000576,001024,001,000,00000512,00054957,01,0000013890676848,00000000
003,00000000,00108766,010,00067295,00000819,00000582,001024,001,000,00000512,00055070,01,0000012870562575,00000000
004,00000000,00108322,010,00066210,00000839,00000590,001024,001,000,00000512,00054656,01,0000013122379202,00000000
005,00000000,00110120,010,00067683,00000843,00000605,001024,001,000,00000512,00055648,01,0000013974073429,00000000
006,00000000,00110361,010,00067395,00000846,00000578,001024,001,000,00000512,00055564,01,0000012991601981,00000000
007,00000000,00109092,010,00066661,00000836,00000557,001024,001,000,00000512,00055047,01,0000014053277623,00000000
008,00000000,00109567,010,00066698,00000821,00000545,001024,001,000,00000512,00055045,01,0000014106610152,00000000
009,00000000,00109316,010,00065977,00000785,00000555,001024,001,000,00000512,00054789,01,0000014079560458,00000000
010,00000000,00104701,010,00063959,00000817,00000550,001024,001,000,00000512,00052744,01,0000010786927042,00000000
011,00000000,00108051,010,00065970,00000823,00000569,001024,001,000,00000512,00054493,01,0000013959525638,00000000
012,00000000,00108312,010,00066053,00000842,00000577,001024,001,000,00000512,00054673,01,0000013825963145,00000000
013,00000000,00010436,010,00006400,00000084,00000055,001024,001,000,00000512,00005214,01,0000002553390732,00000000
014,00000000,00107029,010,00064437,00000816,00000560,001024,001,000,00000512,00053581,01,0000009089809660,00000000
015,00000000,00109481,010,00067043,00000812,00000536,001024,001,000,00000512,00055454,01,0000013771903220,00000000
000,00000000,00111074,010,00091186,00000865,00000462,001024,002,000,00000512,00055766,01,0000013446725150,00000000
001,00000000,00112114,010,00075885,00000910,00000517,001024,002,000,00000512,00056556,01,0000013682276521,00000000
002,00000000,00112985,010,00072108,00000921,00000486,001024,002,000,00000512,00056897,01,0000014468877613,00000000
003,00000000,00113527,010,00068712,00000906,00000486,001024,002,000,00000512,00057084,01,0000014229161676,00000000
004,00000000,00111813,010,00082321,00000944,00000534,001024,002,000,00000512,00056375,01,0000013850153722,00000000
005,00000000,00113417,010,00075436,00000905,00000448,001024,002,000,00000512,00057193,01,0000011637415943,00000000
006,00000000,00112662,010,00072998,00000899,00000494,001024,002,000,00000512,00056562,01,0000013673817121,00000000
007,00000000,00110936,010,00067536,00000920,00000497,001024,002,000,00000512,00055963,01,0000014141363931,00000000
008,00000000,00113244,010,00076475,00000885,00000479,001024,002,000,00000512,00057033,01,0000013223870385,00000000
009,00000000,00111676,010,00080007,00000909,00000491,001024,002,000,00000512,00056082,01,0000013499136307,00000000
010,00000000,00111507,010,00083608,00000907,00000480,001024,002,000,00000512,00056098,01,0000012649616383,00000000
011,00000000,00112151,010,00076847,00000888,00000479,001024,002,000,00000512,00056566,01,0000012678960935,00000000
012,00000000,00112258,010,00080377,00000873,00000469,001024,002,000,00000512,00056778,01,0000013557513525,00000000
013,00000000,00109484,010,00086579,00000848,00000465,001024,002,000,00000512,00055321,01,0000013454131140,00000000
014,00000000,00111844,010,00082700,00000880,00000475,001024,002,000,00000512,00056226,01,0000012679294457,00000000
015,00000000,00110885,010,00092253,00000881,00000438,001024,002,000,00000512,00055905,01,0000013844199099,00000000
000,00000000,00112126,010,00088746,00000839,00000448,001024,003,000,00000512,00056424,01,0000012970142127,00000000
