lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,numa,cnNR,mnNR,threadNR,maxHandover
0000000,0001925,0000361,0001163,0016060,0009077,0008546,0000939,001024,000,001,00000128,01,004,002,016,016
0000000,0000171,0000030,0001005,0004959,0005130,0004519,0000010,001024,001,001,00000128,01,004,002,016,016
0000000,0001919,0000361,0001167,0016671,0009608,0009087,0000925,001024,001,001,00000128,01,004,002,016,016
0000000,0000171,0000030,0001004,0004859,0005170,0004548,0000040,001024,002,001,00000128,01,004,002,016,016
0000000,0001392,0000341,0001179,0015228,0008736,0008335,0000440,001024,002,001,00000128,01,004,002,016,016
0000000,0000171,0000030,0001004,0004860,0005170,0004539,0000041,001024,003,001,00000128,01,004,002,016,016
0000000,0001393,0000340,0001176,0015219,0008727,0008306,0000441,001024,003,001,00000128,01,004,002,016,016
0000000,0000171,0000030,0001005,0004248,0003406,0003036,0000009,001024,000,002,00000128,01,004,002,016,016
0000000,0001926,0000371,0001179,0015129,0009137,0008647,0000930,001024,000,002,00000128,01,004,002,016,016
0000000,0000171,0000031,0001004,0004709,0005050,0004419,0000010,001024,001,002,00000128,01,004,002,016,016
0000000,0001836,0000380,0001130,0016622,0009378,0008807,0000846,001024,001,002,00000128,01,004,002,016,016
0000000,0000171,0000030,0001004,0004869,0005160,0004528,0000041,001024,002,002,00000128,01,004,002,016,016
0000000,0001386,0000341,0001166,0014687,0008706,0008295,0000429,001024,002,002,00000128,01,004,002,016,016
0000000,0000171,0000030,0001004,0004849,0005149,0004509,0000041,001024,003,002,00000128,01,004,002,016,016
0000000,0001383,0000341,0001167,0014638,0008717,0008246,0000428,001024,003,002,00000128,01,004,002,016,016
0000000,0000170,0000031,0001005,0003386,0003557,0003246,0000009,001024,000,000,00001024,01,004,002,016,016
0000000,0001963,0000541,0001165,0015980,0009097,0008556,0000979,001024,000,000,00001024,01,004,002,016,016
0000000,0000170,0000030,0001005,0004989,0005310,0004689,0000010,001024,001,000,00001024,01,004,002,016,016
0000000,0001950,0000401,0001168,0016291,0009708,0009197,0000960,001024,001,000,00001024,01,004,002,016,016
0000000,0000170,0000030,0001005,0004789,0005199,0004568,0000040,001024,002,000,00001024,01,004,002,016,016
0000000,0001395,0000351,0001217,0014918,0008746,0008316,0000444,001024,002,000,00001024,01,004,002,016,016
0000000,0000170,0000030,0001005,0004779,0005180,0004558,0000041,001024,003,000,00001024,01,004,002,016,016
0000000,0001394,0000360,0001217,0014898,0008736,0008325,0000441,001024,003,000,00001024,01,004,002,016,016
0000000,0000170,0000030,0001005,0005681,0006011,0005460,0000011,001024,000,001,00001024,01,004,002,016,016
0000000,0002009,0000401,0001176,0018925,0011471,0011171,0001020,001024,000,001,00001024,01,004,002,016,016
