tid,wait_acq(ms),wait_rel(ms)
RUN 0
001,  0.001172,  0.003478
001,  0.000320,  0.001138
001,  0.000267,  0.000843
001,  0.000237,  0.000888
001,  0.000218,  0.000808
001,  0.000220,  0.000818
001,  0.000217,  0.000893
001,  0.000212,  0.000857
001,  0.000207,  0.000813
001,  0.000238,  0.000815
-----------------------------------------------------------------------------------------------

RUN 1
001,  0.000378,  0.001033
001,  0.000207,  0.000828
001,  0.000205,  0.000853
001,  0.000233,  0.000822
001,  0.000247,  0.000823
001,  0.000213,  0.000835
001,  0.000223,  0.000850
001,  0.000243,  0.000825
001,  0.000240,  0.000835
001,  0.000207,  0.000813
-----------------------------------------------------------------------------------------------

