tid,loop_in_cs,lock_acquires,lock_hold(ms)
RUN 0
000,   1461440, 1461440,  260.022400
001,   1461431, 1461431,  233.829865
002,   1461434, 1461434,  219.546646
003,   1461433, 1461433,  274.863770
004,   1461431, 1461431,  234.503174
005,   1461433, 1461433,  236.458694
006,   1461432, 1461432,  215.666916
007,   1461432, 1461432,  298.933929
008,   1461432, 1461432,  257.490295
009,   1461430, 1461430,  253.487915
010,   1461430, 1461430,  212.386993
011,   1461431, 1461431,  272.428589
012,   1461431, 1461431,  213.403702
013,   1461430, 1461430,  261.812469
014,   1461431, 1461431,  262.525055
015,   1461429, 1461429,  249.988266
016,   1461429, 1461429,  266.903748
017,   1461429, 1461429,  235.082291
018,   1461430, 1461430,  248.702927
019,   1461430, 1461430,  299.811371
020,   1461429, 1461429,  367.505402
021,   1461429, 1461429,  277.457123
022,   1461430, 1461430,  298.220490
023,   1461430, 1461430,  312.585785
024,   1461430, 1461430,  358.391846
025,   1461429, 1461429,  317.336121
026,   1461429, 1461429,  338.283600
027,   1461429, 1461429,  366.121674
028,   1461429, 1461429,  340.977051
-------------------------------------------------------------------------------------------------------

RUN 1
000,   1478778, 1478778,  252.067459
001,   1478785, 1478785,  253.272659
002,   1478774, 1478774,  209.295059
003,   1478774, 1478774,  278.978882
004,   1478773, 1478773,  269.399261
005,   1478773, 1478773,  257.724548
006,   1478774, 1478774,  226.084747
007,   1478487, 1478487,  272.410248
008,   1478773, 1478773,  237.548447
009,   1478487, 1478487,  228.128647
010,   1478773, 1478773,  219.976212
011,   1478740, 1478740,  257.807068
012,   1478773, 1478773,  235.175552
013,   1478773, 1478773,  269.488342
014,   1478774, 1478774,  280.544037
015,   1478487, 1478487,  254.248154
016,   1478775, 1478775,  256.243774
017,   1478775, 1478775,  246.697952
018,   1478763, 1478763,  287.388123
019,   1478774, 1478774,  329.866486
020,   1478772, 1478772,  329.361969
021,   1478772, 1478772,  290.332581
022,   1478775, 1478775,  261.891785
023,   1478773, 1478773,  315.301575
024,   1478772, 1478772,  367.025574
025,   1478774, 1478774,  328.779755
026,   1478770, 1478770,  310.967743
027,   1478771, 1478771,  316.280334
028,   1478773, 1478773,  338.798248
-------------------------------------------------------------------------------------------------------

RUN 2
000,   1455653, 1455653,  258.439178
001,   1455653, 1455653,  289.935791
002,   1455656, 1455656,  220.636978
003,   1455655, 1455655,  290.756012
004,   1455656, 1455656,  265.391205
005,   1455657, 1455657,  261.722656
006,   1455655, 1455655,  257.020355
007,   1455653, 1455653,  292.559784
008,   1455653, 1455653,  217.881836
009,   1455654, 1455654,  263.995819
010,   1455656, 1455656,  208.790146
011,   1455654, 1455654,  239.202194
012,   1455653, 1455653,  211.222382
013,   1455652, 1455652,  245.196503
014,   1455653, 1455653,  265.385925
015,   1455667, 1455667,  240.248138
016,   1455658, 1455658,  231.648193
017,   1455655, 1455655,  237.407089
018,   1455653, 1455653,  272.955017
019,   1455658, 1455658,  332.939484
020,   1455655, 1455655,  336.214569
021,   1455652, 1455652,  272.059601
022,   1455654, 1455654,  316.580475
023,   1455654, 1455654,  302.288361
024,   1455656, 1455656,  323.089813
025,   1455656, 1455656,  297.924591
026,   1455653, 1455653,  332.363220
027,   1455655, 1455655,  315.245789
028,   1455653, 1455653,  383.093140
-------------------------------------------------------------------------------------------------------

RUN 3
000,   1494217, 1494217,  240.563568
001,   1494226, 1494226,  251.983307
002,   1494221, 1494221,  227.838989
003,   1494226, 1494226,  262.675690
004,   1494224, 1494224,  218.303619
005,   1494224, 1494224,  224.655624
006,   1494226, 1494226,  250.126236
007,   1494227, 1494227,  289.507721
008,   1494226, 1494226,  212.251526
009,   1494225, 1494225,  278.803284
010,   1494226, 1494226,  225.345337
011,   1494232, 1494232,  292.520172
012,   1494224, 1494224,  203.231461
013,   1494225, 1494225,  261.921692
014,   1494226, 1494226,  272.934296
015,   1494228, 1494228,  228.784958
016,   1494221, 1494221,  259.904266
017,   1494225, 1494225,  230.396378
018,   1494226, 1494226,  261.136963
019,   1494226, 1494226,  305.141602
020,   1494226, 1494226,  300.068878
021,   1494227, 1494227,  315.858490
022,   1494227, 1494227,  273.965240
023,   1494228, 1494228,  278.075806
024,   1494228, 1494228,  343.071747
025,   1494225, 1494225,  292.863770
026,   1494230, 1494230,  339.743256
027,   1494225, 1494225,  309.984253
028,   1494227, 1494227,  364.164948
-------------------------------------------------------------------------------------------------------

RUN 4
000,   1504843, 1504843,  214.719360
001,   1504849, 1504849,  251.947601
002,   1504838, 1504838,  239.284073
003,   1504843, 1504843,  259.941132
004,   1504840, 1504840,  239.196381
005,   1504840, 1504840,  253.981354
006,   1504843, 1504843,  219.477249
007,   1504840, 1504840,  264.608826
008,   1504840, 1504840,  224.325195
009,   1504847, 1504847,  283.931824
010,   1504848, 1504848,  201.892227
011,   1504839, 1504839,  263.400330
012,   1504842, 1504842,  220.905487
013,   1504841, 1504841,  262.018707
014,   1504847, 1504847,  246.645035
015,   1504841, 1504841,  226.538300
016,   1504841, 1504841,  258.751343
017,   1504845, 1504845,  238.233765
018,   1504839, 1504839,  224.020218
019,   1504843, 1504843,  256.743103
020,   1504843, 1504843,  271.626282
021,   1504849, 1504849,  265.363068
022,   1504625, 1504625,  276.029541
023,   1504842, 1504842,  276.253235
024,   1504843, 1504843,  310.015106
025,   1504842, 1504842,  266.686066
026,   1504848, 1504848,  335.648865
027,   1504842, 1504842,  276.937988
028,   1504847, 1504847,  354.680359
-------------------------------------------------------------------------------------------------------

