tid,lock_impl_time(ms)
RUN 0
001,    58.781
-----------------------------------------------------------------------------------------------

RUN 1
001,    58.376
-----------------------------------------------------------------------------------------------

RUN 2
001,    53.515
-----------------------------------------------------------------------------------------------

RUN 3
001,    57.524
-----------------------------------------------------------------------------------------------

RUN 4
001,    58.483
-----------------------------------------------------------------------------------------------

