tid,wait_acq(ms),wait_rel(ms)
RUN 0
001,  0.172620  0.000332
001,  0.477907  0.000293
001,  0.355330  0.000210
001,  0.349097  0.000208
001,  0.348070  0.000228
001,  0.347783  0.000208
001,  0.345463  0.000207
001,  0.342227  0.000212
001,  0.343583  0.000207
001,  0.372697  0.000240
002,  0.255308  0.000352
002,  0.477588  0.000270
002,  0.356628  0.000235
002,  0.352607  0.000232
002,  0.350283  0.000230
002,  0.349580  0.000250
002,  0.346778  0.000245
002,  0.345115  0.000213
002,  0.346883  0.000227
002,  0.375780  0.000250
003,  0.001223  0.000613
003,  0.519423  0.000228
003,  0.364158  0.000213
003,  0.351883  0.000220
003,  0.345120  0.000213
003,  0.347343  0.000213
003,  0.340938  0.000213
003,  0.338922  0.000213
003,  0.332905  0.000213
003,  0.365078  0.000212
004,  0.335017  0.000315
004,  0.463997  0.000182
004,  0.348730  0.000168
004,  0.342738  0.000180
004,  0.349873  0.000157
004,  0.348350  0.000163
004,  0.344452  0.000178
004,  0.338788  0.000170
004,  0.351923  0.000192
004,  0.368993  0.000165
005,  0.393283  0.000432
005,  0.437600  0.000205
005,  0.360175  0.000182
005,  0.348713  0.000178
005,  0.355062  0.000178
005,  0.348982  0.000178
005,  0.348247  0.000180
005,  0.341398  0.000188
005,  0.364175  0.000180
005,  0.372545  0.000223
006,  0.086205  0.000422
006,  0.484352  0.000247
006,  0.363617  0.000220
006,  0.356278  0.000198
006,  0.354775  0.000198
006,  0.358828  0.000197
006,  0.352108  0.000205
006,  0.351097  0.000215
006,  0.340785  0.000193
006,  0.375747  0.000198
007,  0.564365  0.000387
007,  0.343968  0.000252
007,  0.334628  0.000217
007,  0.326885  0.000230
007,  0.332342  0.000243
007,  0.326035  0.000245
007,  0.323705  0.000250
007,  0.317308  0.000237
007,  0.345882  0.000257
007,  0.351365  0.000278
008,  0.468643  0.000430
008,  0.392322  0.000283
008,  0.355387  0.000285
008,  0.346848  0.000255
008,  0.353598  0.000248
008,  0.349588  0.000253
008,  0.346980  0.000263
008,  0.339027  0.000240
008,  0.361868  0.000263
008,  0.373355  0.000285
009,  6.053743  0.000517
009,  0.491233  0.000307
009,  0.330400  0.000283
009,  0.314692  0.000265
009,  0.323578  0.000255
009,  0.354762  0.000258
009,  0.334133  0.000305
009,  0.320102  0.000298
009,  0.320295  0.000293
009,  0.318508  0.000257
010,  6.464807  0.000405
010,  0.336463  0.000205
010,  0.330172  0.000172
010,  0.334532  0.000170
010,  0.357858  0.000193
010,  0.335592  0.000178
010,  0.322675  0.000187
010,  0.312143  0.000172
010,  0.321702  0.000173
010,  0.318493  0.000200
011,  6.219515  0.000375
011,  0.425482  0.000218
011,  0.330322  0.000187
011,  0.334223  0.000185
011,  0.328738  0.000172
011,  0.346482  0.000178
011,  0.337367  0.000185
011,  0.322992  0.000170
011,  0.325302  0.000177
011,  0.319343  0.000167
012,  6.395347  0.000352
012,  0.366380  0.000183
012,  0.317015  0.000143
012,  0.323825  0.000163
012,  0.340327  0.000122
012,  0.340063  0.000175
012,  0.331020  0.000137
012,  0.320440  0.000142
012,  0.330035  0.000118
012,  0.306172  0.000118
013,  6.138965  0.000517
013,  0.460803  0.000177
013,  0.335255  0.000160
013,  0.336795  0.000158
013,  0.328018  0.000163
013,  0.360610  0.000188
013,  0.339562  0.000187
013,  0.321802  0.000163
013,  0.322125  0.000180
013,  0.319913  0.000178
014,  6.303815  0.000445
014,  0.388853  0.000163
014,  0.335095  0.000153
014,  0.335590  0.000163
014,  0.345107  0.000160
014,  0.345663  0.000170
014,  0.331417  0.000167
014,  0.310137  0.000170
014,  0.320545  0.000168
014,  0.304405  0.000180
015,  5.969000  0.000520
015,  0.529772  0.000168
015,  0.339580  0.000148
015,  0.330193  0.000170
015,  0.337343  0.000117
015,  0.362467  0.000152
015,  0.341310  0.000120
015,  0.329113  0.000147
015,  0.328412  0.000128
015,  0.325727  0.000127
016,  5.888090  0.000513
016,  0.563223  0.000193
016,  0.340098  0.000193
016,  0.329158  0.000178
016,  0.339112  0.000187
016,  0.364507  0.000172
016,  0.345277  0.000188
016,  0.331097  0.000170
016,  0.327542  0.000178
016,  0.322117  0.000178
-----------------------------------------------------------------------------------------------

RUN 1
001,  5.983507  0.000300
001,  0.431155  0.000232
001,  0.358060  0.000225
001,  0.356097  0.000253
001,  0.346662  0.000217
001,  0.345705  0.000242
001,  0.343727  0.000227
001,  0.353845  0.000238
001,  0.366323  0.000235
001,  0.353460  0.000218
002,  6.120003  0.000395
002,  0.404095  0.000160
002,  0.362292  0.000153
002,  0.365492  0.000175
002,  0.362498  0.000142
002,  0.363048  0.000162
002,  0.365488  0.000142
002,  0.369103  0.000153
002,  0.372302  0.000160
002,  0.362812  0.000155
003,  5.688240  0.000368
003,  0.481000  0.000227
003,  0.363235  0.000207
003,  0.344453  0.000203
003,  0.347807  0.000212
003,  0.347168  0.000203
003,  0.344990  0.000202
003,  0.348732  0.000203
003,  0.357592  0.000202
003,  0.350620  0.000225
004,  5.792072  0.000377
004,  0.463810  0.000175
004,  0.350640  0.000158
004,  0.337852  0.000175
004,  0.334028  0.000172
004,  0.337702  0.000175
004,  0.330768  0.000153
004,  0.339793  0.000168
004,  0.351733  0.000157
004,  0.341738  0.000177
005,  5.916342  0.000243
005,  0.460783  0.000195
005,  0.356692  0.000202
005,  0.353045  0.000187
005,  0.346947  0.000185
005,  0.353007  0.000188
005,  0.348635  0.000165
005,  0.349247  0.000187
005,  0.360358  0.000230
005,  0.352622  0.000190
006,  5.858257  0.000400
006,  0.476642  0.000200
006,  0.365588  0.000207
006,  0.356820  0.000207
006,  0.350183  0.000172
006,  0.351968  0.000187
006,  0.346280  0.000172
006,  0.351765  0.000185
006,  0.360702  0.000197
006,  0.356020  0.000168
007,  6.194522  0.000417
007,  0.348417  0.000272
007,  0.326932  0.000258
007,  0.333270  0.000242
007,  0.329188  0.000235
007,  0.330332  0.000237
007,  0.331568  0.000223
007,  0.339942  0.000233
007,  0.336260  0.000247
007,  0.328967  0.000283
008,  6.052162  0.000357
008,  0.411913  0.000290
008,  0.347347  0.000260
008,  0.348658  0.000237
008,  0.345973  0.000245
008,  0.344598  0.000257
008,  0.346497  0.000258
008,  0.354100  0.000250
008,  0.356853  0.000280
008,  0.345100  0.000248
009,  0.000957  0.000480
009,  0.396250  0.000283
009,  0.324063  0.000288
009,  0.336810  0.000282
009,  0.335373  0.000302
009,  0.327682  0.000268
009,  0.321040  0.000288
009,  0.323738  0.000287
009,  0.307122  0.000290
009,  0.323662  0.000292
010,  0.257342  0.000292
010,  0.360253  0.000158
010,  0.334095  0.000157
010,  0.350067  0.000170
010,  0.327727  0.000152
010,  0.328047  0.000153
010,  0.327203  0.000153
010,  0.326825  0.000150
010,  0.322308  0.000150
010,  0.327263  0.000152
011,  0.315902  0.000292
011,  0.346450  0.000147
011,  0.333410  0.000177
011,  0.344200  0.000170
011,  0.331385  0.000178
011,  0.329787  0.000172
011,  0.328313  0.000165
011,  0.327425  0.000178
011,  0.320847  0.000167
011,  0.326135  0.000178
012,  0.430597  0.000228
012,  0.322810  0.000155
012,  0.332208  0.000188
012,  0.338055  0.000220
012,  0.324167  0.000177
012,  0.323502  0.000173
012,  0.317682  0.000175
012,  0.317142  0.000158
012,  0.318035  0.000178
012,  0.313328  0.000222
013,  0.088037  0.000303
013,  0.387912  0.000202
013,  0.321187  0.000182
013,  0.345607  0.000180
013,  0.342652  0.000218
013,  0.331628  0.000205
013,  0.325318  0.000188
013,  0.327323  0.000187
013,  0.323670  0.000178
013,  0.326568  0.000188
014,  0.368293  0.000337
014,  0.327130  0.000158
014,  0.334448  0.000182
014,  0.340950  0.000227
014,  0.329345  0.000165
014,  0.327262  0.000187
014,  0.321623  0.000165
014,  0.318993  0.000163
014,  0.315007  0.000167
014,  0.321965  0.000167
015,  0.153632  0.000180
015,  0.379763  0.000177
015,  0.329230  0.000162
015,  0.341078  0.000135
015,  0.333052  0.000193
015,  0.332252  0.000132
015,  0.326740  0.000170
015,  0.327165  0.000150
015,  0.321527  0.000150
015,  0.324695  0.000147
016,  0.212033  0.000310
016,  0.366658  0.000185
016,  0.331105  0.000195
016,  0.348215  0.000178
016,  0.329892  0.000182
016,  0.327522  0.000167
016,  0.324695  0.000165
