tid,lock_impl_time(ms)
RUN 0
001,    77.479
-----------------------------------------------------------------------------------------------

RUN 1
001,    76.516
-----------------------------------------------------------------------------------------------

RUN 2
001,    76.022
-----------------------------------------------------------------------------------------------

RUN 3
001,    77.591
-----------------------------------------------------------------------------------------------

RUN 4
001,    75.342
-----------------------------------------------------------------------------------------------

