tid,lock_impl_time(ms)
RUN 0
002, 18761.676
001, 18814.154
003, 18843.154
004, 18804.398
006, 18794.141
005, 18835.260
007, 18818.721
008, 18891.877
009, 18790.602
010, 18790.605
011, 18802.039
012, 18852.424
013, 18715.080
014, 18883.375
015, 18725.455
016, 18889.715
017, 18801.668
018, 18774.002
019, 18773.869
020, 18833.025
021, 18761.164
022, 18803.412
023, 18776.824
024, 18897.838
025, 18763.396
026, 18847.088
027, 18792.727
028, 18802.828
029, 18796.566
-----------------------------------------------------------------------------------------------

RUN 1
002, 18758.336
001, 18831.625
003, 18779.781
004, 18852.426
006, 18771.725
005, 18863.906
007, 18793.549
008, 18859.908
009, 18802.752
010, 18854.959
011, 18769.043
012, 18793.820
013, 18677.160
014, 18893.918
015, 18765.846
016, 18848.125
017, 18820.875
018, 18838.293
019, 18749.109
020, 18859.908
021, 18770.090
022, 18863.830
023, 18778.703
024, 18833.844
025, 18735.104
026, 18747.176
027, 18771.553
028, 18803.389
029, 18800.461
-----------------------------------------------------------------------------------------------

RUN 2
002, 18729.123
001, 18772.113
003, 18748.197
004, 18881.494
006, 18785.312
005, 18872.379
007, 18798.127
008, 18873.453
009, 18782.619
010, 18843.393
011, 18795.354
012, 18835.061
013, 18657.990
014, 18854.473
015, 18797.537
016, 18805.391
017, 18814.615
018, 18812.207
019, 18774.082
020, 18833.830
021, 18802.502
022, 18852.443
023, 18802.385
024, 18896.525
025, 18759.336
026, 18771.332
027, 18754.008
028, 18875.889
029, 18780.273
-----------------------------------------------------------------------------------------------

RUN 3
002, 18763.367
001, 18854.072
003, 18822.535
004, 18644.396
006, 18808.982
005, 18853.559
007, 18821.582
008, 18859.260
009, 18802.889
010, 18905.732
011, 18796.928
012, 18776.793
013, 18687.670
014, 18907.232
015, 18798.150
016, 18919.334
017, 18805.379
018, 18891.260
019, 18747.697
020, 18847.912
021, 18793.740
022, 18892.816
023, 18796.809
024, 18747.873
025, 18736.746
026, 18715.516
027, 18755.801
028, 18781.207
029, 18807.742
-----------------------------------------------------------------------------------------------

RUN 4
002, 18753.166
001, 18835.293
003, 18785.283
004, 18665.705
006, 18768.834
005, 18856.438
007, 18810.742
008, 18854.270
009, 18786.096
010, 18864.938
011, 18820.186
012, 18644.557
013, 18704.316
014, 18780.586
015, 18747.129
016, 18903.738
017, 18775.393
018, 18873.162
019, 18760.018
020, 18873.592
021, 18781.451
022, 18850.645
023, 18790.391
024, 18922.225
025, 18771.617
026, 18857.498
027, 18752.438
028, 18877.361
029, 18801.926
-----------------------------------------------------------------------------------------------

