tid,lock_impl_time(ms)
RUN 0
001,   245.895
-----------------------------------------------------------------------------------------------

RUN 1
001,   234.358
-----------------------------------------------------------------------------------------------

RUN 2
001,   248.378
-----------------------------------------------------------------------------------------------

RUN 3
001,   236.329
-----------------------------------------------------------------------------------------------

RUN 4
001,   225.732
-----------------------------------------------------------------------------------------------

