tid,lock_impl_time(ms)
RUN 0
001,56107.878906
002,56432.980469
003,56149.347656
004,56184.753906
005,56444.625000
006,56410.140625
007,56386.421875
008,56263.941406
009,56083.976562
010,56232.933594
011,56132.300781
012,56130.585938
013,55990.203125
014,56272.023438
015,56248.628906
016,56241.503906
-----------------------------------------------------------------------------------------------

RUN 1
001,56124.144531
002,56498.546875
003,56518.183594
004,56249.980469
005,56518.019531
006,56482.875000
007,56461.644531
008,56441.468750
009,56049.898438
010,55927.445312
011,55887.332031
012,56035.500000
013,55895.410156
014,56250.687500
015,56118.304688
016,56248.593750
-----------------------------------------------------------------------------------------------

