tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id,nlocks
013,20.0, 0.087411664, 0.089325003, 0.098514996, 1.598043323, 1.621041656, 1.644123316, 0.000330000, 0.000398333, 0.000550000, 1.597934961, 1.620899200, 1.644008279, 0.000176667, 0.000235833, 0.000258333, 0.008028333, 0.009285834, 0.010546667, 0.000000000, 0.000000000, 0.000000000, 0.123213336, 0.123355001, 0.123558335, 0.000000000, 0.000000000, 0.000000000, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
014,20.0, 0.088568330, 0.089593336, 0.091260001, 1.598585010, 1.616675019, 1.646141648, 0.000403333, 0.000430000, 0.000450000, 1.598458290, 1.616551638, 1.646010041, 0.000175000, 0.000192500, 0.000220000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
015,20.0, 0.087770000, 0.088261664, 0.095155001, 1.597986698, 1.624520779, 1.642343283, 0.000373333, 0.000395000, 0.000623333, 1.597851634, 1.624390006, 1.642169952, 0.000205000, 0.000214167, 0.000223333, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
000,20.0, 0.089714997, 0.090974167, 0.099699996, 1.602896690, 1.618758321, 1.635206699, 0.000410000, 0.000450833, 0.000466667, 1.602756619, 1.618599176, 1.635064960, 0.000188333, 0.000215833, 0.000226667, 0.000000000, 0.000000000, 0.017275833, 0.000000000, 0.000000000, 0.009136667, 0.000000000, 0.000000000, 0.122915834, 0.000000000, 0.000000000, 0.125182912, 0.000000000, 0.000000000, 1.000000000,          524288,000,000001
001,20.0, 0.085885003, 0.089465834, 0.092488334, 1.606081724, 1.620425820, 1.641611695, 0.000371667, 0.000433333, 0.000563333, 1.605960011, 1.620280027, 1.641476631, 0.000186667, 0.000200000, 0.000206667, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
002,20.0, 0.089350000, 0.090395831, 0.090833336, 1.604104996, 1.619220853, 1.644408345, 0.000421667, 0.000438333, 0.000456667, 1.603986621, 1.619075775, 1.644278288, 0.000206667, 0.000212500, 0.000238333, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
003,20.0, 0.082641669, 0.086738333, 0.098265000, 1.607593298, 1.619489193, 1.634654999, 0.000380000, 0.000462500, 0.000526667, 1.607483387, 1.619366646, 1.634539962, 0.000181667, 0.000185833, 0.000210000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
004,20.0, 0.081753336, 0.082016669, 0.082258336, 1.609621644, 1.625838280, 1.643271685, 0.000366667, 0.000400833, 0.000443333, 1.480518341, 1.495259166, 1.514018297, 0.000190000, 0.000196667, 0.000230000, 0.006813333, 0.006980000, 0.009671667, 0.000000000, 0.000000000, 0.000000000, 0.121665001, 0.121815830, 0.122358337, 0.000000000, 0.000000000, 0.000000000, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
005,20.0, 0.088995002, 0.089919999, 0.090784997, 1.605413318, 1.619510889, 1.644538283, 0.000430000, 0.000445833, 0.000475000, 1.605294943, 1.619366646, 1.644403338, 0.000190000, 0.000208333, 0.000230000, 0.000000000, 0.000000000, 0.000000000, 0.006205000, 0.006949167, 0.007035000, 0.000000000, 0.000000000, 0.000000000, 0.123026669, 0.123180836, 0.123806670, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
006,20.0, 0.089346670, 0.090356670, 0.091036670, 1.607581615, 1.619409204, 1.635360003, 0.000426667, 0.000435000, 0.000456667, 1.607466698, 1.619287491, 1.635244966, 0.000185000, 0.000208333, 0.000230000, 0.006855000, 0.007174167, 0.007925000, 0.000000000, 0.000000000, 0.000000000, 0.121861666, 0.121908337, 0.122336663, 0.000000000, 0.000000000, 0.000000000, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
007,20.0, 0.089038335, 0.090588331, 0.091760002, 1.606868386, 1.619226694, 1.634026647, 0.000416667, 0.000445833, 0.000478333, 1.606751680, 1.619069219, 1.633908391, 0.000205000, 0.000213333, 0.000236667, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
008,20.0, 0.087463334, 0.088143334, 0.094836667, 1.604598284, 1.617450833, 1.633266687, 0.000390000, 0.000484167, 0.000633333, 1.605705023, 1.617430806, 1.633115053, 0.000198333, 0.000218333, 0.000308333, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
009,20.0, 0.089395002, 0.090246670, 0.091146670, 1.603335023, 1.617012501, 1.640444994, 0.000425000, 0.000435833, 0.000495000, 1.603203297, 1.616851687, 1.640311718, 0.000198333, 0.000210000, 0.000275000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
010,20.0, 0.088771664, 0.090059169, 0.090891667, 1.600833297, 1.616624117, 1.641950011, 0.000393333, 0.000411667, 0.000436667, 1.600710034, 1.616501689, 1.641781688, 0.000178333, 0.000184167, 0.000223333, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
011,20.0, 0.089098334, 0.090218335, 0.094850004, 1.599105000, 1.617244959, 1.643426657, 0.000386667, 0.000397500, 0.000423333, 1.598991632, 1.617105842, 1.643300056, 0.000168333, 0.000185833, 0.000193333, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
012,20.0, 0.087276667, 0.089574166, 0.094690003, 1.606225014, 1.616039991, 1.635038376, 0.000436667, 0.000476667, 0.000558333, 1.606103301, 1.615913391, 1.634893298, 0.000205000, 0.000215000, 0.000236667, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
013,20.0, 0.088676669, 0.089445002, 0.090630002, 1.599441648, 1.617241621, 1.643066645, 0.000408333, 0.000428333, 0.000451667, 1.599346638, 1.617146611, 1.642951608, 0.000201667, 0.000215000, 0.000235000, 0.008028333, 0.009285834, 0.010546667, 0.000000000, 0.000000000, 0.000000000, 0.123213336, 0.123355001, 0.123558335, 0.000000000, 0.000000000, 0.000000000, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
014,20.0, 0.092289999, 0.092476666, 0.093434997, 1.467249990, 1.482396722, 1.503095031, 0.132213339, 0.132857502, 0.133155003, 1.467125058, 1.482261658, 1.502949953, 0.000143333, 0.000147500, 0.000155000, 0.000000000, 0.000000000, 0.000000000, 0.007475000, 0.008135000, 0.008251667, 0.000000000, 0.000000000, 0.000000000, 0.124190003, 0.124326669, 0.124626666, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
015,20.0, 0.087370001, 0.088242501, 0.092586666, 1.603018284, 1.617488384, 1.638316631, 0.000376667, 0.000412500, 0.000560000, 1.602883339, 1.617368340, 1.638185024, 0.000205000, 0.000222500, 0.000240000, 0.008428333, 0.008896667, 0.010600000, 0.000000000, 0.000000000, 0.000000000, 0.122541666, 0.122957498, 0.123219997, 0.000000000, 0.000000000, 0.000000000, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
000,20.0, 0.090175003, 0.092959166, 0.093903333, 1.620159984, 1.635017514, 1.652773380, 0.000415000, 0.000466667, 0.000631667, 1.620005012, 1.634850025, 1.652621627, 0.000203333, 0.000210833, 0.000218333, 0.000000000, 0.000000000, 0.014716667, 0.000000000, 0.000000000, 0.009136667, 0.000000000, 0.000000000, 0.121940002, 0.000000000, 0.000000000, 0.125182912, 0.000000000, 0.000000000, 1.000000000,          524288,000,000001
001,20.0, 0.088804998, 0.090049997, 0.099085003, 1.622720003, 1.634169221, 1.656661630, 0.000415000, 0.000432500, 0.000451667, 1.622598290, 1.634035826, 1.656479955, 0.000173333, 0.000199167, 0.000208333, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
002,20.0, 0.085800000, 0.088423334, 0.093418330, 1.623651624, 1.637504220, 1.656731725, 0.000356667, 0.000391667, 0.000523333, 1.623536706, 1.637263298, 1.656623363, 0.000180000, 0.000214167, 0.000235000, 0.006873333, 0.007507500, 0.009133333, 0.000000000, 0.000000000, 0.000000000, 0.122386664, 0.122500002, 0.123044997, 0.000000000, 0.000000000, 0.000000000, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
003,20.0, 0.088133335, 0.090700835, 0.090993330, 1.622261643, 1.637629151, 1.656101704, 0.000438333, 0.000450000, 0.000480000, 1.622145057, 1.637531638, 1.655966640, 0.000206667, 0.000220833, 0.000228333, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
004,20.0, 0.088808335, 0.090180837, 0.091671668, 1.622434974, 1.636733294, 1.657349944, 0.000410000, 0.000445833, 0.000471667, 1.622318387, 1.636589170, 1.657178283, 0.000176667, 0.000219167, 0.000240000, 0.006813333, 0.006980000, 0.009671667, 0.000000000, 0.000000000, 0.000000000, 0.121665001, 0.121815830, 0.122358337, 0.000000000, 0.000000000, 0.000000000, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
