tid,lock_impl_time(ms)
RUN 0
001,55961.847656
002,55817.445312
003,55969.796875
004,56127.644531
005,56189.144531
006,56110.652344
007,55907.101562
008,56296.183594
009,56419.207031
010,56417.769531
011,56502.542969
012,56310.304688
013,56306.152344
014,56365.214844
015,56507.347656
016,56521.074219
-----------------------------------------------------------------------------------------------

RUN 1
001,55785.941406
002,55786.421875
003,56039.277344
004,56091.863281
005,56049.542969
006,56148.687500
007,55770.843750
008,56267.468750
009,56499.562500
010,56301.828125
011,56588.375000
012,56324.441406
013,56552.238281
014,56359.578125
015,56608.550781
016,56548.429688
-----------------------------------------------------------------------------------------------

