lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,pinning
0341889,0001349,0000050,0001040,0002274,0002505,0004829,0000000,001024,000,000,0001,02
0939397,0001948,0000802,0001386,0002915,0003918,0009297,0000000,001024,000,000,0001,02
0589446,0001614,0000050,0001097,0005009,0005150,0007555,0000000,001024,001,000,0001,02
0999999,0003324,0000772,0002021,0006762,0006923,0014227,0000000,001024,001,000,0001,02
0554558,0001576,0000050,0001088,0004829,0005179,0007564,0000000,001024,002,000,0001,02
0999999,0003102,0000772,0001923,0006562,0007835,0013896,0000000,001024,002,000,0001,02
0556974,0001578,0000050,0001089,0005029,0005180,0007584,0000000,001024,003,000,0001,02
0999999,0003133,0000791,0001928,0006994,0007464,0013124,0000000,001024,003,000,0001,02
0337853,0001346,0000050,0001039,0002274,0002514,0004819,0000000,001024,000,001,0001,02
0915955,0001925,0000792,0001385,0002966,0003928,0008186,0000000,001024,000,001,0001,02
0573997,0001597,0000050,0001094,0005029,0005189,0007584,0000000,001024,001,001,0001,02
0999999,0003262,0000771,0002033,0006852,0007193,0013456,0000000,001024,001,001,0001,02
0567251,0001590,0000050,0001094,0005019,0005180,0007565,0000000,001024,002,001,0001,02
0999999,0003136,0000771,0001981,0006862,0007123,0013555,0000000,001024,002,001,0001,02
0550532,0001571,0000050,0001085,0005020,0005200,0007595,0000000,001024,003,001,0001,02
0999999,0003171,0000772,0001898,0007264,0007985,0012563,0000000,001024,003,001,0001,02
0339996,0001347,0000050,0001040,0002284,0002485,0004829,0000000,001024,000,002,0001,02
0936652,0001949,0000812,0001386,0002896,0003416,0008406,0000000,001024,000,002,0001,02
0582333,0001605,0000050,0001095,0005009,0005139,0007564,0000000,001024,001,002,0001,02
0999999,0003415,0000791,0002050,0006803,0007474,0013285,0000000,001024,001,002,0001,02
0560931,0001582,0000050,0001089,0004819,0005160,0007574,0000000,001024,002,002,0001,02
0999999,0003235,0000791,0002012,0007033,0007023,0012974,0000000,001024,002,002,0001,02
0552916,0001573,0000050,0001089,0005029,0005160,0007585,0000000,001024,003,002,0001,02
0999999,0003574,0000772,0001946,0006812,0007073,0012934,0000000,001024,003,002,0001,02
0003066,0000271,0000030,0001002,0002024,0002235,0004248,0000000,001024,000,000,0032,02
0037350,0001036,0000491,0001059,0002625,0003055,0007655,0000000,001024,000,000,0032,02
0005921,0000281,0000030,0001005,0004969,0005100,0007464,0000000,001024,001,000,0032,02
0053380,0001052,0000481,0001074,0008997,0009408,0013856,0000000,001024,001,000,0032,02
0005931,0000280,0000030,0001005,0004969,0005109,0007464,0000000,001024,002,000,0032,02
0054131,0001052,0000481,0001074,0009638,0009989,0014437,0000000,001024,002,000,0032,02
0006032,0000280,0000030,0001005,0004960,0005120,0007454,0000000,001024,003,000,0032,02
0054131,0001052,0000471,0001074,0009187,0009759,0014046,0000000,001024,003,000,0032,02
0003136,0000270,0000030,0001002,0002014,0002224,0004238,0000000,001024,000,001,0032,02
0038442,0001037,0000461,0001059,0002635,0003046,0008185,0000000,001024,000,001,0032,02
0005881,0000271,0000030,0001005,0004949,0005069,0007443,0000000,001024,001,001,0032,02
0053300,0001052,0000471,0001072,0008856,0009298,0014187,0000000,001024,001,001,0032,02
0005901,0000281,0000030,0001005,0004969,0005090,0007454,0000000,001024,002,001,0032,02
0052889,0001052,0000481,0001072,0009178,0009408,0014327,0000000,001024,002,001,0032,02
0005901,0000280,0000030,0001005,0004969,0005090,0007454,0000000,001024,003,001,0032,02
0052939,0001052,0000480,0001070,0009588,0009518,0014527,0000000,001024,003,001,0032,02
0003136,0000280,0000030,0001002,0002014,0002214,0004237,0000000,001024,000,002,0032,02
0038392,0001037,0000471,0001059,0002645,0003056,0008045,0000000,001024,000,002,0032,02
0005971,0000280,0000030,0001005,0004919,0005060,0007403,0000000,001024,001,002,0032,02
0054221,0001053,0000481,0001072,0008456,0009057,0013555,0000000,001024,001,002,0032,02
0005982,0000271,0000030,0001005,0004939,0005079,0007414,0000000,001024,002,002,0032,02
0053561,0001052,0000471,0001072,0008716,0009338,0013856,0000000,001024,002,002,0032,02
0005992,0000271,0000030,0001005,0004949,0005080,0007434,0000000,001024,003,002,0032,02
0054402,0001053,0000471,0001072,0008767,0009097,0014016,0000000,001024,003,002,0032,02
0003136,0000271,0000030,0001002,0002014,0002234,0004228,0000000,001024,000,000,0128,02
0012704,0001010,0000431,0001030,0002645,0003135,0007444,0000000,001024,000,000,0128,02
0005981,0000271,0000030,0001005,0004949,0005099,0007384,0000000,001024,001,000,0128,02
0018044,0001016,0000451,0001036,0008446,0008836,0013626,0000000,001024,001,000,0128,02
0005921,0000271,0000030,0001005,0004960,0005119,0007434,0000000,001024,002,000,0128,02
0018274,0001016,0000460,0001036,0009438,0009649,0014758,0000000,001024,002,000,0128,02
0005911,0000271,0000030,0001005,0004989,0005120,0007464,0000000,001024,003,000,0128,02
0018224,0001016,0000451,0001036,0009417,0009528,0014187,0000000,001024,003,000,0128,02
0003136,0000271,0000030,0001002,0002013,0002225,0004208,0000000,001024,000,001,0128,02
0012904,0001010,0000450,0001030,0002655,0003126,0007744,0000000,001024,000,001,0128,02
0005981,0000270,0000030,0001005,0004939,0005099,0007344,0000000,001024,001,001,0128,02
0018174,0001016,0000451,0001036,0008827,0009298,0013956,0000000,001024,001,001,0128,02
0005901,0000271,0000030,0001005,0004949,0005100,0007424,0000000,001024,002,001,0128,02
0018034,0001016,0000451,0001036,0009367,0009799,0014678,0000000,001024,002,001,0128,02
0005991,0000271,0000030,0001005,0004949,0005099,0007374,0000000,001024,003,001,0128,02
0018174,0001016,0000451,0001036,0008697,0009318,0013947,0000000,001024,003,001,0128,02
0003206,0000270,0000030,0001002,0002004,0002284,0004208,0000000,001024,000,002,0128,02
0013125,0001010,0000441,0001029,0002745,0003416,0007944,0000000,001024,000,002,0128,02
0005961,0000271,0000030,0001005,0004969,0005149,0007444,0000000,001024,001,002,0128,02
