tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover
005,00000000,00213573,00000000,010,00107464,00000000,00000000,001024,000,001,00000008,00107147,01,0000004045507567,00000000,00000000,001,004,016,016
006,00000000,00213409,00000000,010,00107520,00000000,00000000,001024,000,001,00000008,00107165,01,0000003916545413,00000000,00000000,001,004,016,016
007,00000000,00213984,00000000,010,00107514,00000000,00000000,001024,000,001,00000008,00107166,01,0000004055650224,00000000,00000000,001,004,016,016
008,00000000,00212862,00000000,010,00107101,00000000,00000000,001024,000,001,00000008,00106805,01,0000003934076464,00000000,00000000,001,004,016,016
009,00000000,00212310,00000000,010,00107475,00000000,00000000,001024,000,001,00000008,00107125,01,0000003941009467,00000000,00000000,001,004,016,016
010,00000000,00213815,00000000,010,00107701,00000000,00000000,001024,000,001,00000008,00107370,01,0000003990768181,00000000,00000000,001,004,016,016
011,00000000,00207284,00000000,010,00104954,00000000,00000000,001024,000,001,00000008,00104635,01,0000000559687085,00000000,00000000,001,004,016,016
012,00000000,00212262,00000000,010,00107435,00000000,00000000,001024,000,001,00000008,00107099,01,0000004003882509,00000000,00000000,001,004,016,016
013,00000000,00213668,00000000,010,00107525,00000000,00000000,001024,000,001,00000008,00107201,01,0000004015135905,00000000,00000000,001,004,016,016
014,00000000,00213809,00000000,010,00107728,00000000,00000000,001024,000,001,00000008,00107341,01,0000003955595228,00000000,00000000,001,004,016,016
015,00000000,00213023,00000000,010,00107423,00000000,00000000,001024,000,001,00000008,00107083,01,0000003947065541,00000000,00000000,001,004,016,016
000,00000000,00203889,00899972,010,00103054,00000000,00000000,001024,000,002,00000008,00102752,01,0000003838410018,00000000,00000000,001,004,016,016
001,00000000,00204834,00740846,010,00103002,00000000,00000000,001024,000,002,00000008,00102685,01,0000003809991552,00000000,00000000,001,004,016,016
002,00000000,00204206,00000000,010,00103204,00000000,00000000,001024,000,002,00000008,00102882,01,0000003848418309,00000000,00000000,001,004,016,016
003,00000000,00204247,00000000,010,00103070,00000000,00000000,001024,000,002,00000008,00102744,01,0000003871262008,00000000,00000000,001,004,016,016
004,00000000,00204323,00000000,010,00102888,00000000,00000000,001024,000,002,00000008,00102586,01,0000003861394506,00000000,00000000,001,004,016,016
005,00000000,00203750,00000000,010,00102693,00000000,00000000,001024,000,002,00000008,00102393,01,0000003894563143,00000000,00000000,001,004,016,016
006,00000000,00203934,00000000,010,00102937,00000000,00000000,001024,000,002,00000008,00102618,01,0000003789117271,00000000,00000000,001,004,016,016
007,00000000,00204090,00000000,010,00102874,00000000,00000000,001024,000,002,00000008,00102568,01,0000003795484909,00000000,00000000,001,004,016,016
008,00000000,00204614,00000000,010,00103074,00000000,00000000,001024,000,002,00000008,00102729,01,0000003785472537,00000000,00000000,001,004,016,016
009,00000000,00204586,00000000,010,00103291,00000000,00000000,001024,000,002,00000008,00103003,01,0000003770335561,00000000,00000000,001,004,016,016
010,00000000,00203759,00000000,010,00102786,00000000,00000000,001024,000,002,00000008,00102482,01,0000003831619226,00000000,00000000,001,004,016,016
011,00000000,00204264,00000000,010,00103096,00000000,00000000,001024,000,002,00000008,00102805,01,0000003857228262,00000000,00000000,001,004,016,016
012,00000000,00203295,00000000,010,00102771,00000000,00000000,001024,000,002,00000008,00102463,01,0000003862039485,00000000,00000000,001,004,016,016
013,00000000,00204013,00000000,010,00102944,00000000,00000000,001024,000,002,00000008,00102640,01,0000003832099108,00000000,00000000,001,004,016,016
014,00000000,00203879,00000000,010,00102807,00000000,00000000,001024,000,002,00000008,00102502,01,0000003760862821,00000000,00000000,001,004,016,016
015,00000000,00200612,00000000,010,00101267,00000000,00000000,001024,000,002,00000008,00100966,01,0000000543207826,00000000,00000000,001,004,016,016
000,00000000,01214896,00224837,010,00610468,00000000,00000000,001024,000,000,00000128,00610117,01,0000020517164307,00000000,00000000,001,002,016,016
001,00000000,01228792,00113809,010,00617273,00000000,00000000,001024,000,000,00000128,00616938,01,0000020732439266,00000000,00000000,001,002,016,016
002,00000000,01218783,00131658,010,00612900,00000000,00000000,001024,000,000,00000128,00612569,01,0000020645991890,00000000,00000000,001,002,016,016
003,00000000,01209241,00111793,010,00608142,00000000,00000000,001024,000,000,00000128,00607838,01,0000020834083663,00000000,00000000,001,002,016,016
004,00000000,01202182,00163066,010,00604201,00000000,00000000,001024,000,000,00000128,00603884,01,0000020167140469,00000000,00000000,001,002,016,016
005,00000000,01206679,00152652,010,00606955,00000000,00000000,001024,000,000,00000128,00606613,01,0000020357263425,00000000,00000000,001,002,016,016
006,00000000,01198635,00124793,010,00602510,00000000,00000000,001024,000,000,00000128,00602181,01,0000020218418320,00000000,00000000,001,002,016,016
007,00000000,01202696,00130557,010,00603512,00000000,00000000,001024,000,000,00000128,00603219,01,0000020266847220,00000000,00000000,001,002,016,016
008,00000000,01201014,00218967,010,00603839,00000000,00000000,001024,000,000,00000128,00603539,01,0000020136499387,00000000,00000000,001,002,016,016
009,00000000,01195713,00122113,010,00600968,00000000,00000000,001024,000,000,00000128,00600652,01,0000020728499066,00000000,00000000,001,002,016,016
010,00000000,01195790,00127531,010,00600969,00000000,00000000,001024,000,000,00000128,00600640,01,0000020536347936,00000000,00000000,001,002,016,016
