tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,pinning,cache_misses
000,00033110,00033110,010,00103281,00028971,00028971,001024,000,000,00000001,00033110,02,0000000736222672
001,00033002,00033002,010,00110577,00028642,00028642,001024,000,000,00000001,00033002,02,0000000781835589
002,00033083,00033083,010,00094784,00029340,00029340,001024,000,000,00000001,00033083,02,0000000716357237
003,00033062,00033062,010,00105594,00029093,00029093,001024,000,000,00000001,00033062,02,0000000767052840
004,00033059,00033059,010,00102871,00028958,00028958,001024,000,000,00000001,00033059,02,0000000752106100
005,00033088,00033088,010,00114336,00028578,00028578,001024,000,000,00000001,00033088,02,0000000803076211
006,00033085,00033085,010,00103142,00028950,00028950,001024,000,000,00000001,00033085,02,0000000759650624
007,00033030,00033030,010,00110726,00028555,00028555,001024,000,000,00000001,00033030,02,0000000799709152
008,00033004,00033004,010,00109394,00028836,00028836,001024,000,000,00000001,00033004,02,0000000771754555
009,00033098,00033098,010,00107997,00028676,00028676,001024,000,000,00000001,00033098,02,0000000763319561
010,00033054,00033054,010,00099303,00029065,00029065,001024,000,000,00000001,00033054,02,0000000693879367
011,00033107,00033107,010,00097367,00029192,00029192,001024,000,000,00000001,00033107,02,0000000684354937
012,00033076,00033076,010,00096847,00029159,00029159,001024,000,000,00000001,00033076,02,0000000741518669
013,00032997,00032997,010,00103066,00028906,00028906,001024,000,000,00000001,00032997,02,0000000758154958
014,00033097,00033097,010,00087308,00029381,00029381,001024,000,000,00000001,00033097,02,0000000710864819
015,00033069,00033069,010,00100215,00028872,00028872,001024,000,000,00000001,00033069,02,0000000771658114
016,00033156,00033156,010,00097391,00029043,00029043,001024,000,000,00000001,00033156,02,0000000758111493
017,00033123,00033123,010,00103879,00028803,00028803,001024,000,000,00000001,00033123,02,0000000790075754
018,00033193,00033193,010,00096245,00029115,00029115,001024,000,000,00000001,00033193,02,0000000761612361
019,00033078,00033078,010,00112354,00028558,00028558,001024,000,000,00000001,00033078,02,0000000807017633
020,00033137,00033137,010,00101369,00028880,00028880,001024,000,000,00000001,00033137,02,0000000785840045
021,00033178,00033178,010,00085420,00029575,00029575,001024,000,000,00000001,00033178,02,0000000711826649
022,00033085,00033085,010,00098435,00028975,00028975,001024,000,000,00000001,00033085,02,0000000775249504
023,00033140,00033140,010,00102827,00028870,00028870,001024,000,000,00000001,00033140,02,0000000782143137
024,00033200,00033200,010,00100453,00028943,00028943,001024,000,000,00000001,00033200,02,0000000773122578
025,00033138,00033138,010,00115657,00028710,00028710,001024,000,000,00000001,00033138,02,0000000842987382
026,00033175,00033175,010,00109680,00028738,00028738,001024,000,000,00000001,00033175,02,0000000813817247
027,00033172,00033172,010,00098154,00029116,00029116,001024,000,000,00000001,00033172,02,0000000767711788
028,00033173,00033173,010,00097205,00029082,00029082,001024,000,000,00000001,00033173,02,0000000752857233
029,00033105,00033105,010,00097110,00029065,00029065,001024,000,000,00000001,00033105,02,0000000759667746
030,00033267,00033267,010,00097720,00029268,00029268,001024,000,000,00000001,00033267,02,0000000758146283
031,00033017,00033017,010,00104560,00028800,00028800,001024,000,000,00000001,00033017,02,0000000153006167
000,00016204,00016204,010,00054744,00014121,00014121,001024,001,000,00000001,00016204,02,0000000579659604
001,00016257,00016257,010,00054699,00014251,00014251,001024,001,000,00000001,00016257,02,0000000584532274
002,00016241,00016241,010,00060551,00014071,00014071,001024,001,000,00000001,00016241,02,0000000633288999
003,00016179,00016179,010,00054455,00014161,00014161,001024,001,000,00000001,00016179,02,0000000589820286
004,00016155,00016155,010,00051026,00014159,00014159,001024,001,000,00000001,00016155,02,0000000564189743
005,00016209,00016209,010,00049150,00014330,00014330,001024,001,000,00000001,00016209,02,0000000544307332
006,00016155,00016155,010,00059255,00013924,00013924,001024,001,000,00000001,00016155,02,0000000632477876
007,00016193,00016193,010,00061519,00014038,00014038,001024,001,000,00000001,00016193,02,0000000630095209
008,00016215,00016215,010,00056094,00014094,00014094,001024,001,000,00000001,00016215,02,0000000594768766
009,00016237,00016237,010,00056910,00014058,00014058,001024,001,000,00000001,00016237,02,0000000609286872
010,00016298,00016298,010,00056162,00014101,00014101,001024,001,000,00000001,00016298,02,0000000597035746
011,00016208,00016208,010,00064090,00013966,00013966,001024,001,000,00000001,00016208,02,0000000665220547
012,00016279,00016279,010,00055879,00014255,00014255,001024,001,000,00000001,00016279,02,0000000571605713
013,00016281,00016281,010,00064206,00013844,00013844,001024,001,000,00000001,00016281,02,0000000666281864
014,00016236,00016236,010,00053208,00014209,00014209,001024,001,000,00000001,00016236,02,0000000576827588
015,00016229,00016229,010,00061475,00014015,00014015,001024,001,000,00000001,00016229,02,0000000644803419
016,00016256,00016256,010,00066403,00013790,00013790,001024,001,000,00000001,00016256,02,0000000717838408
017,00016255,00016255,010,00047042,00014516,00014516,001024,001,000,00000001,00016255,02,0000000554421960
018,00016221,00016221,010,00045791,00014471,00014471,001024,001,000,00000001,00016221,02,0000000543214927
019,00016244,00016244,010,00043094,00014550,00014550,001024,001,000,00000001,00016244,02,0000000520014006
020,00016231,00016231,010,00047155,00014404,00014404,001024,001,000,00000001,00016231,02,0000000562484964
021,00016258,00016258,010,00061004,00013952,00013952,001024,001,000,00000001,00016258,02,0000000677167215
022,00016245,00016245,010,00048291,00014457,00014457,001024,001,000,00000001,00016245,02,0000000570968547
023,00016227,00016227,010,00049111,00014348,00014348,001024,001,000,00000001,00016227,02,0000000585794696
024,00016292,00016292,010,00056243,00014199,00014199,001024,001,000,00000001,00016292,02,0000000628234415
025,00016193,00016193,010,00048325,00014442,00014442,001024,001,000,00000001,00016193,02,0000000561103076
026,00016282,00016282,010,00048311,00014462,00014462,001024,001,000,00000001,00016282,02,0000000563878411
027,00016208,00016208,010,00059186,00014085,00014085,001024,001,000,00000001,00016208,02,0000000653461842
028,00016208,00016208,010,00054787,00014103,00014103,001024,001,000,00000001,00016208,02,0000000621099983
029,00016261,00016261,010,00058771,00013983,00013983,001024,001,000,00000001,00016261,02,0000000652789379
030,00016235,00016235,010,00045376,00014540,00014540,001024,001,000,00000001,00016235,02,0000000545345051
031,00016205,00016205,010,00047626,00014459,00014459,001024,001,000,00000001,00016205,02,0000000554118085
000,00016253,00016253,010,00061547,00014122,00014122,001024,002,000,00000001,00016253,02,0000000631554064
001,00016290,00016290,010,00056659,00014150,00014150,001024,002,000,00000001,00016290,02,0000000600468169
002,00016350,00016350,010,00057340,00014235,00014235,001024,002,000,00000001,00016350,02,0000000599334188
003,00016303,00016303,010,00066300,00013765,00013765,001024,002,000,00000001,00016303,02,0000000676952610
