lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR
0004148,0000371,0000060,0001003,0002855,0003327,0003306,0000000,001024,000,000,0512
0007404,0002714,0000411,0001136,0004198,0004989,0005260,0000000,001024,000,000,0512
0006573,0000351,0000051,0001005,0005210,0006232,0005750,0000000,001024,001,000,0512
0011432,0004198,0000390,0001257,0009217,0010550,0009858,0000000,001024,001,000,0512
0006092,0000481,0000070,0001005,0004989,0005650,0005350,0000000,001024,002,000,0512
0007935,0004091,0000391,0001256,0006332,0007094,0006762,0000000,001024,002,000,0512
0006582,0000371,0000050,0001005,0005200,0005780,0005751,0000000,001024,003,000,0512
0010239,0004158,0000431,0001251,0007394,0008326,0008195,0000000,001024,003,000,0512
0004128,0000361,0000050,0001003,0002855,0003316,0003306,0000000,001024,000,001,0512
0007294,0002718,0000411,0001135,0003927,0004709,0004929,0000000,001024,000,001,0512
0006553,0000351,0000050,0001005,0005210,0006212,0005741,0000000,001024,001,001,0512
0011101,0004213,0000411,0001257,0009057,0010059,0009678,0000000,001024,001,001,0512
0006082,0000481,0000070,0001005,0005009,0005641,0005360,0000000,001024,002,001,0512
0008076,0004117,0000381,0001253,0006332,0007183,0006822,0000000,001024,002,001,0512
0006562,0000370,0000050,0001005,0005200,0005760,0005741,0000000,001024,003,001,0512
0010029,0004128,0000441,0001251,0007294,0008096,0008005,0000000,001024,003,001,0512
0004138,0000361,0000050,0001003,0002855,0003326,0003306,0000000,001024,000,002,0512
0007103,0002719,0000430,0001135,0004128,0004849,0005070,0000000,001024,000,002,0512
0006572,0000360,0000051,0001005,0005210,0006222,0005750,0000000,001024,001,002,0512
0011201,0004220,0000400,0001260,0009067,0010289,0009598,0000000,001024,001,002,0512
0006121,0000481,0000070,0001005,0005020,0005671,0005381,0000000,001024,002,002,0512
0007775,0004061,0000391,0001245,0006282,0006983,0006733,0000000,001024,002,002,0512
0006572,0000371,0000050,0001005,0005200,0005771,0005751,0000000,001024,003,002,0512
0009858,0004136,0000451,0001256,0007645,0008016,0008076,0000000,001024,003,002,0512
