tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,pinning,cache_misses,c_ho
020,00000000,00101247,010,00051084,00000000,00000000,001024,001,000,00016384,00051084,02,0000000009721247,00003098
021,00000000,00105940,010,00053457,00000000,00000000,001024,001,000,00016384,00053457,02,0000000006670744,00003195
022,00000000,00101813,010,00051189,00000000,00000000,001024,001,000,00016384,00051189,02,0000000009139289,00003172
023,00000000,00101203,010,00051067,00000000,00000000,001024,001,000,00016384,00051067,02,0000000006823295,00003203
024,00000000,00102178,010,00051534,00000000,00000000,001024,001,000,00016384,00051534,02,0000000009250075,00003141
025,00000000,00102390,010,00051771,00000000,00000000,001024,001,000,00016384,00051771,02,0000000007025269,00003139
026,00000000,00097057,010,00048976,00000000,00000000,001024,001,000,00016384,00048976,02,0000000009524326,00003176
027,00000000,00106022,010,00053427,00000000,00000000,001024,001,000,00016384,00053427,02,0000000006522499,00003165
028,00000000,00101176,010,00050855,00000000,00000000,001024,001,000,00016384,00050855,02,0000000008927345,00003165
029,00000000,00102134,010,00050921,00000000,00000000,001024,001,000,00016384,00050921,02,0000000006301426,00003141
030,00000000,00101316,010,00050978,00000000,00000000,001024,001,000,00016384,00050978,02,0000000008764614,00003139
031,00000000,00104561,010,00052662,00000000,00000000,001024,001,000,00016384,00052662,02,0000000005650760,00003189
000,00000000,00105769,010,00052819,00000000,00000000,001024,002,000,00016384,00052819,02,0000000006126013,00003250
001,00000000,00100105,010,00050148,00000000,00000000,001024,002,000,00016384,00050148,02,0000000006408256,00003097
002,00000000,00100085,010,00050317,00000000,00000000,001024,002,000,00016384,00050317,02,0000000006333619,00003155
003,00000000,00105005,010,00052695,00000000,00000000,001024,002,000,00016384,00052695,02,0000000005186096,00003246
004,00000000,00106390,010,00053266,00000000,00000000,001024,002,000,00016384,00053266,02,0000000005236893,00003314
005,00000000,00099252,010,00049757,00000000,00000000,001024,002,000,00016384,00049757,02,0000000007103219,00003144
006,00000000,00101457,010,00051038,00000000,00000000,001024,002,000,00016384,00051038,02,0000000007317201,00003173
007,00000000,00105896,010,00053124,00000000,00000000,001024,002,000,00016384,00053124,02,0000000005038187,00003328
008,00000000,00099317,010,00050216,00000000,00000000,001024,002,000,00016384,00050216,02,0000000007942021,00003221
009,00000000,00106884,010,00053680,00000000,00000000,001024,002,000,00016384,00053680,02,0000000005784360,00003274
010,00000000,00103867,010,00052313,00000000,00000000,001024,002,000,00016384,00052313,02,0000000005816387,00003371
011,00000000,00098709,010,00049782,00000000,00000000,001024,002,000,00016384,00049782,02,0000000007746984,00003183
