tid,wait_acq(ms),wait_rel(ms)
RUN 0
001,  0.001553,  0.000358
001,  0.000200,  0.000128
001,  0.000097,  0.000125
001,  0.000097,  0.000102
001,  0.000092,  0.000088
001,  0.000098,  0.000093
001,  0.000088,  0.000087
001,  0.000093,  0.000093
001,  0.000083,  0.000088
001,  0.000097,  0.000090
-----------------------------------------------------------------------------------------------

RUN 1
001,  0.000185,  0.000195
001,  0.000103,  0.000122
001,  0.000090,  0.000113
001,  0.000093,  0.000095
001,  0.000087,  0.000093
001,  0.000102,  0.000083
001,  0.000083,  0.000087
001,  0.000088,  0.000095
001,  0.000088,  0.000087
001,  0.000097,  0.000083
-----------------------------------------------------------------------------------------------

