tid,loop_in_cs,lock_acquires,lock_hold(ms)
RUN 0
000,        66,      66,    0.019270
001,        66,      66,    0.012890
002,        66,      66,    0.014387
003,        66,      66,    0.012383
004,        66,      66,    0.019990
005,        66,      66,    0.014100
006,        66,      66,    0.015333
007,        66,      66,    0.012670
008,        66,      66,    0.016910
009,        66,      66,    0.012980
010,        66,      66,    0.018743
011,        65,      65,    0.010727
012,        66,      66,    0.019733
013,        65,      65,    0.012077
014,        65,      65,    0.018657
015,        66,      66,    0.010863
016,        66,      66,    0.013800
017,        65,      65,    0.010400
018,        65,      65,    0.016137
019,        66,      66,    0.013227
020,        65,      65,    0.010397
021,        65,      65,    0.011573
022,        65,      65,    0.015743
023,        65,      65,    0.013247
024,        66,      66,    0.015727
025,        65,      65,    0.013177
026,        65,      65,    0.018353
027,        65,      65,    0.016220
028,        65,      65,    0.011597
-------------------------------------------------------------------------------------------------------

RUN 1
000,        64,      64,    0.017087
001,        62,      62,    0.010157
002,        62,      62,    0.018753
003,        63,      63,    0.014020
004,        63,      63,    0.019313
005,        63,      63,    0.013197
006,        63,      63,    0.016330
007,        63,      63,    0.011087
008,        63,      63,    0.017653
009,        62,      62,    0.009743
010,        63,      63,    0.013117
011,        63,      63,    0.012370
012,        63,      63,    0.018400
013,        63,      63,    0.009840
014,        63,      63,    0.017190
015,        62,      62,    0.011097
016,        62,      62,    0.014320
017,        63,      63,    0.011053
018,        63,      63,    0.019167
019,        63,      63,    0.012850
020,        64,      64,    0.015153
021,        62,      62,    0.011180
022,        63,      63,    0.017350
023,        63,      63,    0.011293
024,        63,      63,    0.010567
025,        64,      64,    0.015637
026,        63,      63,    0.017803
027,        62,      62,    0.014897
028,        64,      64,    0.011457
-------------------------------------------------------------------------------------------------------

RUN 2
000,        63,      63,    0.014630
001,        63,      63,    0.011247
002,        64,      64,    0.015100
003,        62,      62,    0.009843
004,        63,      63,    0.017357
005,        62,      62,    0.010020
006,        63,      63,    0.014447
007,        62,      62,    0.010007
008,        63,      63,    0.016603
009,        63,      63,    0.009900
010,        63,      63,    0.020140
011,        63,      63,    0.013957
012,        63,      63,    0.016157
013,        63,      63,    0.010620
014,        64,      64,    0.015370
015,        63,      63,    0.011253
016,        63,      63,    0.017743
017,        63,      63,    0.013297
018,        63,      63,    0.018003
019,        63,      63,    0.010917
020,        63,      63,    0.016757
021,        63,      63,    0.010023
022,        64,      64,    0.015260
023,        62,      62,    0.012277
024,        63,      63,    0.014857
025,        63,      63,    0.009950
026,        63,      63,    0.015930
027,        63,      63,    0.015677
028,        63,      63,    0.018530
-------------------------------------------------------------------------------------------------------

RUN 3
000,        66,      66,    0.020273
001,        66,      66,    0.015003
002,        66,      66,    0.019767
003,        66,      66,    0.010293
004,        66,      66,    0.015383
005,        66,      66,    0.010547
006,        66,      66,    0.017503
007,        66,      66,    0.012340
008,        66,      66,    0.016577
009,        66,      66,    0.009903
010,        66,      66,    0.019533
011,        66,      66,    0.013350
012,        66,      66,    0.016467
013,        66,      66,    0.011990
014,        66,      66,    0.017807
015,        66,      66,    0.010507
016,        66,      66,    0.012743
017,        66,      66,    0.013887
018,        65,      65,    0.017073
019,        66,      66,    0.013793
020,        66,      66,    0.017993
021,        66,      66,    0.013737
022,        66,      66,    0.017293
023,        66,      66,    0.009927
024,        65,      65,    0.013810
025,        65,      65,    0.015150
026,        66,      66,    0.015590
027,        66,      66,    0.011357
028,        66,      66,    0.019543
-------------------------------------------------------------------------------------------------------

RUN 4
000,        62,      62,    0.014640
001,        61,      61,    0.013960
002,        62,      62,    0.018400
003,        62,      62,    0.013327
004,        62,      62,    0.018203
005,        61,      61,    0.010817
006,        61,      61,    0.013450
007,        61,      61,    0.012897
008,        61,      61,    0.013983
009,        61,      61,    0.011533
010,        61,      61,    0.018393
011,        61,      61,    0.009737
012,        61,      61,    0.015293
013,        62,      62,    0.011807
014,        62,      62,    0.017670
015,        62,      62,    0.010607
016,        62,      62,    0.014727
017,        61,      61,    0.013383
018,        61,      61,    0.019103
019,        61,      61,    0.010460
020,        61,      61,    0.017800
021,        61,      61,    0.013100
022,        61,      61,    0.012643
023,        61,      61,    0.010323
024,        61,      61,    0.017510
025,        61,      61,    0.011553
026,        62,      62,    0.018353
027,        61,      61,    0.015057
028,        62,      62,    0.015167
-------------------------------------------------------------------------------------------------------

