tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,pinning,cache_misses,c_ho
000,00000000,00177738,010,00068765,00044739,00003313,001024,000,000,00000016,00113504,02,0000000141496802,00032035
001,00000000,00191495,010,00074878,00047674,00003427,001024,000,000,00000016,00122552,02,0000000070343415,00033509
002,00000000,00191342,010,00074220,00047744,00003453,001024,000,000,00000016,00121964,02,0000000071940703,00033485
003,00000000,00189679,010,00073910,00047713,00003463,001024,000,000,00000016,00121623,02,0000000073477573,00033694
004,00000000,00183895,010,00071491,00046038,00003427,001024,000,000,00000016,00117529,02,0000000084974378,00033164
005,00000000,00185297,010,00072218,00046444,00003268,001024,000,000,00000016,00118662,02,0000000085178033,00033482
006,00000000,00183130,010,00071191,00045986,00003292,001024,000,000,00000016,00117177,02,0000000085280596,00033143
007,00000000,00189979,010,00073411,00047866,00003559,001024,000,000,00000016,00121277,02,0000000073524414,00033737
008,00000000,00182451,010,00070818,00045608,00003340,001024,000,000,00000016,00116426,02,0000000085440002,00032679
009,00000000,00189728,010,00073627,00047456,00003481,001024,000,000,00000016,00121083,02,0000000071825777,00033264
010,00000000,00183397,010,00071360,00045866,00003353,001024,000,000,00000016,00117226,02,0000000085791306,00032917
011,00000000,00190940,010,00073769,00047549,00003490,001024,000,000,00000016,00121318,02,0000000071218778,00033267
012,00000000,00183037,010,00071231,00045628,00003360,001024,000,000,00000016,00116859,02,0000000085409662,00032918
013,00000000,00188750,010,00073503,00047541,00003524,001024,000,000,00000016,00121044,02,0000000072685622,00033038
014,00000000,00183602,010,00071448,00046084,00003464,001024,000,000,00000016,00117532,02,0000000087189696,00033212
015,00000000,00189935,010,00073488,00047664,00003565,001024,000,000,00000016,00121152,02,0000000073043487,00033210
016,00000000,00184497,010,00071586,00045997,00003249,001024,000,000,00000016,00117583,02,0000000086375669,00033389
017,00000000,00190124,010,00074159,00047750,00003589,001024,000,000,00000016,00121909,02,0000000074979094,00033374
018,00000000,00184243,010,00071348,00045491,00003292,001024,000,000,00000016,00116839,02,0000000085541012,00033122
019,00000000,00190961,010,00073826,00047631,00003630,001024,000,000,00000016,00121457,02,0000000072597872,00033633
020,00000000,00183304,010,00071223,00045872,00003339,001024,000,000,00000016,00117095,02,0000000086642835,00033145
021,00000000,00190692,010,00074151,00047393,00003481,001024,000,000,00000016,00121544,02,0000000073247508,00033593
022,00000000,00181013,010,00070161,00046059,00003227,001024,000,000,00000016,00116220,02,0000000085820383,00032594
023,00000000,00189493,010,00073570,00047523,00003545,001024,000,000,00000016,00121093,02,0000000073557632,00033428
024,00000000,00183022,010,00071451,00045678,00003239,001024,000,000,00000016,00117129,02,0000000086806304,00033000
025,00000000,00189147,010,00073810,00047410,00003504,001024,000,000,00000016,00121220,02,0000000036893916,00033333
026,00000000,00182015,010,00070831,00045610,00003218,001024,000,000,00000016,00116441,02,0000000085179173,00032894
027,00000000,00191839,010,00074299,00047542,00003427,001024,000,000,00000016,00121841,02,0000000070999179,00033534
028,00000000,00184246,010,00071460,00045851,00003261,001024,000,000,00000016,00117311,02,0000000087030119,00033110
029,00000000,00189749,010,00074138,00047477,00003566,001024,000,000,00000016,00121615,02,0000000072989703,00033497
030,00000000,00182139,010,00071007,00045507,00003296,001024,000,000,00000016,00116514,02,0000000086742982,00032718
031,00000000,00189631,010,00073929,00047424,00003475,001024,000,000,00000016,00121353,02,0000000074359009,00033403
000,00000000,00180058,010,00070154,00045041,00003200,001024,001,000,00000016,00115195,02,0000000059797022,00032395
001,00000000,00188507,010,00073313,00047308,00003438,001024,001,000,00000016,00120621,02,0000000071397557,00033337
002,00000000,00184455,010,00071357,00046529,00003319,001024,001,000,00000016,00117886,02,0000000070966599,00033309
003,00000000,00181378,010,00070552,00045890,00003230,001024,001,000,00000016,00116442,02,0000000071483956,00032548
004,00000000,00187873,010,00072344,00047354,00003505,001024,001,000,00000016,00119698,02,0000000071694350,00033079
005,00000000,00188636,010,00073267,00046837,00003492,001024,001,000,00000016,00120104,02,0000000070647298,00033064
006,00000000,00182630,010,00071185,00046254,00003321,001024,001,000,00000016,00117439,02,0000000074876561,00033145
007,00000000,00186652,010,00072681,00046942,00003463,001024,001,000,00000016,00119623,02,0000000069342241,00032965
008,00000000,00182768,010,00070811,00045861,00003426,001024,001,000,00000016,00116672,02,0000000076451435,00033193
009,00000000,00187977,010,00073184,00046752,00003438,001024,001,000,00000016,00119936,02,0000000069945812,00032841
010,00000000,00182468,010,00070811,00045821,00003365,001024,001,000,00000016,00116632,02,0000000074617948,00032846
011,00000000,00186735,010,00072877,00046697,00003351,001024,001,000,00000016,00119574,02,0000000070406158,00032915
012,00000000,00183611,010,00071061,00046366,00003375,001024,001,000,00000016,00117427,02,0000000075262618,00033209
013,00000000,00187999,010,00072732,00047465,00003464,001024,001,000,00000016,00120197,02,0000000070393907,00033267
014,00000000,00184080,010,00070837,00046151,00003393,001024,001,000,00000016,00116988,02,0000000075020401,00033083
015,00000000,00187297,010,00072495,00046972,00003430,001024,001,000,00000016,00119467,02,0000000069706689,00033237
016,00000000,00182805,010,00071428,00045855,00003286,001024,001,000,00000016,00117283,02,0000000076309612,00033318
017,00000000,00187504,010,00073315,00047023,00003459,001024,001,000,00000016,00120338,02,0000000071576353,00033133
018,00000000,00183027,010,00070538,00045944,00003217,001024,001,000,00000016,00116482,02,0000000077047895,00033088
019,00000000,00188702,010,00073030,00047140,00003391,001024,001,000,00000016,00120170,02,0000000072257922,00033451
020,00000000,00184132,010,00071676,00046004,00003208,001024,001,000,00000016,00117680,02,0000000077912157,00033530
021,00000000,00186693,010,00072976,00046657,00003391,001024,001,000,00000016,00119633,02,0000000070026263,00032894
022,00000000,00184539,010,00071411,00046018,00003264,001024,001,000,00000016,00117429,02,0000000077440451,00033177
023,00000000,00187744,010,00072732,00047046,00003386,001024,001,000,00000016,00119778,02,0000000070861153,00033193
024,00000000,00182053,010,00070638,00045971,00003169,001024,001,000,00000016,00116609,02,0000000075671046,00033073
025,00000000,00188295,010,00073202,00047148,00003462,001024,001,000,00000016,00120350,02,0000000071980945,00033303
026,00000000,00183228,010,00071310,00045824,00003105,001024,001,000,00000016,00117134,02,0000000076865992,00032859
027,00000000,00188765,010,00073284,00047061,00003447,001024,001,000,00000016,00120345,02,0000000072885582,00033234
028,00000000,00184116,010,00070783,00046298,00003129,001024,001,000,00000016,00117081,02,0000000074967635,00033070
029,00000000,00187840,010,00072807,00047045,00003397,001024,001,000,00000016,00119852,02,0000000069799755,00033322
030,00000000,00183466,010,00071306,00045828,00003221,001024,001,000,00000016,00117134,02,0000000076030031,00033287
031,00000000,00187088,010,00072601,00046809,00003475,001024,001,000,00000016,00119410,02,0000000069606611,00032864
000,00000000,00128350,010,00049420,00024117,00002134,001024,002,000,00000016,00073537,02,0000000060505933,00028395
001,00000000,00130033,010,00050000,00024767,00002197,001024,002,000,00000016,00074767,02,0000000063524254,00028976
002,00000000,00128165,010,00049553,00024223,00002275,001024,002,000,00000016,00073776,02,0000000058890073,00028614
003,00000000,00133840,010,00051604,00025100,00002355,001024,002,000,00000016,00076704,02,0000000054692082,00029431
004,00000000,00133673,010,00051382,00025214,00002282,001024,002,000,00000016,00076596,02,0000000054656010,00029201
005,00000000,00129190,010,00049925,00024204,00002219,001024,002,000,00000016,00074129,02,0000000063717077,00028472
006,00000000,00132815,010,00051070,00025183,00002257,001024,002,000,00000016,00076253,02,0000000053958817,00029189
007,00000000,00132954,010,00051411,00025198,00002301,001024,002,000,00000016,00076609,02,0000000054560484,00029253
008,00000000,00128239,010,00049523,00023935,00002239,001024,002,000,00000016,00073458,02,0000000061417051,00028380
009,00000000,00134275,010,00051583,00025295,00002336,001024,002,000,00000016,00076878,02,0000000053555375,00029502
010,00000000,00133438,010,00051679,00025032,00002326,001024,002,000,00000016,00076711,02,0000000053803106,00028983
011,00000000,00129275,010,00049667,00024384,00002256,001024,002,000,00000016,00074051,02,0000000062544699,00028583
012,00000000,00127866,010,00049264,00024179,00002250,001024,002,000,00000016,00073443,02,0000000060687711,00028594
013,00000000,00133093,010,00051131,00025223,00002297,001024,002,000,00000016,00076354,02,0000000055102939,00029055
014,00000000,00127687,010,00049062,00024229,00002202,001024,002,000,00000016,00073291,02,0000000061395601,00028376
015,00000000,00134013,010,00051081,00025152,00002246,001024,002,000,00000016,00076233,02,0000000053850237,00028938
016,00000000,00133128,010,00051252,00025343,00002256,001024,002,000,00000016,00076595,02,0000000056744460,00029515
017,00000000,00128631,010,00049097,00024327,00002156,001024,002,000,00000016,00073424,02,0000000064450509,00028679
018,00000000,00132553,010,00051130,00025072,00002248,001024,002,000,00000016,00076202,02,0000000055059417,00029127
019,00000000,00132113,010,00050884,00025173,00002332,001024,002,000,00000016,00076057,02,0000000056020515,00029198
020,00000000,00132804,010,00051391,00024923,00002161,001024,002,000,00000016,00076314,02,0000000056017134,00029115
021,00000000,00128530,010,00049681,00024256,00002233,001024,002,000,00000016,00073937,02,0000000063997182,00028741
022,00000000,00126882,010,00048754,00023769,00002162,001024,002,000,00000016,00072523,02,0000000062414051,00028203
023,00000000,00128259,010,00049237,00024244,00002187,001024,002,000,00000016,00073481,02,0000000064440916,00028413
024,00000000,00131782,010,00050951,00024872,00002243,001024,002,000,00000016,00075823,02,0000000059216582,00028928
025,00000000,00125070,010,00047983,00023807,00002120,001024,002,000,00000016,00071790,02,0000000064881856,00027948
026,00000000,00124601,010,00047887,00023553,00002125,001024,002,000,00000016,00071440,02,0000000063419551,00027902
027,00000000,00132940,010,00051341,00025012,00002262,001024,002,000,00000016,00076353,02,0000000055061333,00029469
028,00000000,00124765,010,00048183,00023649,00002206,001024,002,000,00000016,00071832,02,0000000063841207,00028128
029,00000000,00132770,010,00051023,00025055,00002257,001024,002,000,00000016,00076078,02,0000000054349823,00029113
030,00000000,00124873,010,00048468,00023620,00002168,001024,002,000,00000016,00072088,02,0000000064098961,00028111
031,00000000,00132789,010,00051089,00024921,00002298,001024,002,000,00000016,00076010,02,0000000055337808,00029250
000,00000000,00049347,010,00021779,00006191,00000621,001024,003,000,00000016,00027970,02,0000000035217725,00019875
001,00000000,00048946,010,00021820,00006371,00000586,001024,003,000,00000016,00028191,02,0000000034165072,00020038
002,00000000,00049294,010,00021700,00006267,00000623,001024,003,000,00000016,00027967,02,0000000034608935,00019922
003,00000000,00048908,010,00021885,00006170,00000544,001024,003,000,00000016,00028055,02,0000000032796427,00019916
004,00000000,00048940,010,00022011,00006298,00000563,001024,003,000,00000016,00028309,02,0000000035544117,00020126
005,00000000,00048891,010,00021783,00006232,00000576,001024,003,000,00000016,00028015,02,0000000032758189,00019981
006,00000000,00049022,010,00021863,00006270,00000597,001024,003,000,00000016,00028133,02,0000000035802340,00020118
007,00000000,00048957,010,00021740,00006204,00000603,001024,003,000,00000016,00027944,02,0000000036107319,00019833
008,00000000,00049057,010,00021906,00006237,00000587,001024,003,000,00000016,00028143,02,0000000032471656,00020175
009,00000000,00048795,010,00021634,00006265,00000560,001024,003,000,00000016,00027899,02,0000000032489724,00019922
010,00000000,00049172,010,00021860,00006269,00000576,001024,003,000,00000016,00028129,02,0000000033394688,00020072
011,00000000,00048789,010,00021771,00006358,00000618,001024,003,000,00000016,00028129,02,0000000034357551,00020097
012,00000000,00049048,010,00021775,00006254,00000564,001024,003,000,00000016,00028029,02,0000000032088511,00020000
013,00000000,00048905,010,00021789,00006233,00000569,001024,003,000,00000016,00028022,02,0000000033468710,00019912
014,00000000,00049196,010,00021938,00006084,00000555,001024,003,000,00000016,00028022,02,0000000036481728,00020101
015,00000000,00048777,010,00021811,00006285,00000589,001024,003,000,00000016,00028096,02,0000000031802855,00019985
016,00000000,00049214,010,00021815,00006211,00000551,001024,003,000,00000016,00028026,02,0000000031819623,00019995
017,00000000,00049161,010,00021751,00006351,00000578,001024,003,000,00000016,00028102,02,0000000031920363,00020135
018,00000000,00048886,010,00021685,00006211,00000560,001024,003,000,00000016,00027896,02,0000000032648987,00019943
019,00000000,00049113,010,00021910,00006266,00000608,001024,003,000,00000016,00028176,02,0000000032237672,00020262
020,00000000,00048985,010,00021778,00006282,00000580,001024,003,000,00000016,00028060,02,0000000033365602,00019940
021,00000000,00048749,010,00021619,00006362,00000616,001024,003,000,00000016,00027981,02,0000000035373119,00019988
022,00000000,00049235,010,00021892,00006244,00000607,001024,003,000,00000016,00028136,02,0000000032102729,00020034
023,00000000,00048696,010,00021594,00006243,00000579,001024,003,000,00000016,00027837,02,0000000033022198,00019940
024,00000000,00049064,010,00021960,00006114,00000570,001024,003,000,00000016,00028074,02,0000000035139464,00020118
025,00000000,00048698,010,00021707,00006246,00000648,001024,003,000,00000016,00027953,02,0000000032277003,00019917
026,00000000,00048905,010,00022081,00006202,00000565,001024,003,000,00000016,00028283,02,0000000033898199,00020155
027,00000000,00048856,010,00021917,00006256,00000585,001024,003,000,00000016,00028173,02,0000000031999607,00020140
028,00000000,00048932,010,00021768,00006267,00000576,001024,003,000,00000016,00028035,02,0000000035108909,00019973
029,00000000,00048784,010,00021967,00006050,00000584,001024,003,000,00000016,00028017,02,0000000031914496,00020003
030,00000000,00048980,010,00022004,00006208,00000566,001024,003,000,00000016,00028212,02,0000000032542119,00020223
031,00000000,00048751,010,00021808,00006132,00000567,001024,003,000,00000016,00027940,02,0000000031968788,00020114
000,00000000,00162921,010,00067753,00044643,00006964,001024,000,001,00000016,00112396,02,0000000100591664,00030341
001,00000000,00161144,010,00067003,00044453,00007221,001024,000,001,00000016,00111456,02,0000000087406678,00030782
