tid,loop_in_cs,lock_acquires,lock_hold(ms)
RUN 0
000,       150,     150,    0.025440
001,        90,      90,    0.014623
002,        98,      98,    0.015590
003,        84,      84,    0.012617
004,       123,     123,    0.021497
005,        75,      75,    0.011573
006,       116,     116,    0.018140
007,        69,      69,    0.010487
008,        88,      88,    0.014607
009,        78,      78,    0.010943
010,       149,     149,    0.022293
011,        90,      90,    0.013100
012,       122,     122,    0.019170
013,        74,      74,    0.011130
014,       109,     109,    0.017377
015,        80,      80,    0.012090
016,       112,     112,    0.017987
017,        70,      70,    0.010600
018,        78,      78,    0.015233
019,       135,     135,    0.026094
020,       110,     110,    0.018383
021,        92,      92,    0.015020
022,       117,     117,    0.018110
023,        74,      74,    0.011357
024,        80,      80,    0.015677
025,       129,     129,    0.021850
026,        98,      98,    0.015933
027,        69,      69,    0.011207
028,        98,      98,    0.015747
-------------------------------------------------------------------------------------------------------

RUN 1
000,        95,      95,    0.017210
001,        93,      93,    0.014483
002,       112,     112,    0.018500
003,        75,      75,    0.011477
004,        98,      98,    0.015077
005,        64,      64,    0.010005
006,       108,     108,    0.016643
007,        84,      84,    0.012310
008,        85,      85,    0.013380
009,        71,      71,    0.010467
010,        83,      83,    0.012387
011,        79,      79,    0.012310
012,       109,     109,    0.017663
013,        77,      77,    0.010990
014,       107,     107,    0.015673
015,        85,      85,    0.012920
016,       138,     138,    0.019607
017,        78,      78,    0.012113
018,        64,      64,    0.012113
019,       117,     117,    0.021693
020,       114,     114,    0.018473
021,        73,      73,    0.011203
022,       109,     109,    0.016860
023,        78,      78,    0.011083
024,        82,      82,    0.016690
025,       101,     101,    0.017710
026,       157,     157,    0.025807
027,        77,      77,    0.013270
028,       121,     121,    0.019307
-------------------------------------------------------------------------------------------------------

RUN 2
000,        94,      94,    0.017080
001,       119,     119,    0.018353
002,       121,     121,    0.019353
003,       103,     103,    0.016367
004,       114,     114,    0.017453
005,        86,      86,    0.013797
006,       103,     103,    0.015893
007,        94,      94,    0.013597
008,       108,     108,    0.016443
009,       108,     108,    0.015767
010,        91,      91,    0.013447
011,        84,      84,    0.013543
012,       103,     103,    0.017233
013,        92,      92,    0.012950
014,       102,     102,    0.015560
015,        82,      82,    0.012733
016,       103,     103,    0.015730
017,       103,     103,    0.015873
018,        75,      75,    0.014063
019,        81,      81,    0.014163
020,        96,      96,    0.015737
021,       102,     102,    0.015651
022,        82,      82,    0.012273
023,        87,      87,    0.012780
024,       100,     100,    0.018897
025,        90,      90,    0.015240
026,       122,     122,    0.018743
027,        98,      98,    0.015633
028,       126,     126,    0.020100
-------------------------------------------------------------------------------------------------------

RUN 3
000,        62,      62,    0.011177
001,       157,     157,    0.023740
002,        70,      70,    0.011290
003,       137,     137,    0.021523
004,        59,      59,    0.009690
005,       131,     131,    0.019197
006,        77,      77,    0.011980
007,       133,     133,    0.018367
008,        91,      91,    0.014617
009,       161,     161,    0.023140
010,        75,      75,    0.010650
011,       153,     153,    0.022753
012,        59,      59,    0.009780
013,       146,     146,    0.019630
014,        75,      75,    0.011767
015,       156,     156,    0.021763
016,        63,      63,    0.011053
017,       166,     166,    0.023353
018,        93,      93,    0.018043
019,        67,      67,    0.012377
020,        67,      67,    0.011330
021,       150,     150,    0.023650
022,        62,      62,    0.010140
023,       126,     126,    0.019047
024,       148,     148,    0.029153
025,        50,      50,    0.008250
026,        72,      72,    0.013200
027,       127,     127,    0.020320
028,        91,      91,    0.014560
-------------------------------------------------------------------------------------------------------

RUN 4
000,        15,      15,    0.003237
001,       220,     220,    0.033257
002,        10,      10,    0.002093
003,       196,     196,    0.029847
004,         9,       9,    0.001750
005,       188,     188,    0.027697
006,        17,      17,    0.002630
007,       205,     205,    0.025977
008,         6,       6,    0.001283
009,       228,     228,    0.031500
010,         9,       9,    0.001600
011,       176,     176,    0.024703
012,        13,      13,    0.002230
013,       266,     266,    0.035923
014,         8,       8,    0.001517
015,       187,     187,    0.026213
016,        14,      14,    0.002703
017,       248,     248,    0.035090
018,       200,     200,    0.037547
019,         7,       7,    0.001330
020,         6,       6,    0.001023
021,       227,     227,    0.034457
022,        15,      15,    0.002650
023,       192,     192,    0.027600
024,       239,     239,    0.044627
025,        10,      10,    0.001773
026,        11,      11,    0.001857
027,       270,     270,    0.038743
028,        11,      11,    0.001720
-------------------------------------------------------------------------------------------------------

