tid,lock_impl_time(ms)
RUN 0
001,    92.258
-----------------------------------------------------------------------------------------------

RUN 1
001,    85.075
-----------------------------------------------------------------------------------------------

RUN 2
001,    98.289
-----------------------------------------------------------------------------------------------

RUN 3
001,    92.639
-----------------------------------------------------------------------------------------------

RUN 4
001,    95.896
-----------------------------------------------------------------------------------------------

