tid,lock_impl_time(ms)
RUN 0
001,    53.757
-----------------------------------------------------------------------------------------------

RUN 1
001,    51.974
-----------------------------------------------------------------------------------------------

RUN 2
001,    52.447
-----------------------------------------------------------------------------------------------

RUN 3
001,    51.774
-----------------------------------------------------------------------------------------------

RUN 4
001,    52.187
-----------------------------------------------------------------------------------------------

