tid,lock_impl_time(ms)
RUN 0
001,    66.205
-----------------------------------------------------------------------------------------------

RUN 1
001,    65.632
-----------------------------------------------------------------------------------------------

RUN 2
001,    64.987
-----------------------------------------------------------------------------------------------

RUN 3
001,    66.989
-----------------------------------------------------------------------------------------------

RUN 4
001,    64.457
-----------------------------------------------------------------------------------------------

