tid,loop_in_cs,lock_acquires,lock_hold(ms)
RUN 0
000,   2359724, 2359724,  411.352905
001,   2359728, 2359728,  371.704315
002,   2359726, 2359726,  356.273712
003,   2359727, 2359727,  359.603821
004,   2359726, 2359726,  339.553955
005,   2359727, 2359727,  376.493958
006,   2359727, 2359727,  338.300140
007,   2359727, 2359727,  464.866821
008,   2359726, 2359726,  412.588867
009,   2359726, 2359726,  327.488525
010,   2359726, 2359726,  454.253113
011,   2359723, 2359723,  420.959381
012,   2359725, 2359725,  354.185822
013,   2359726, 2359726,  355.342590
014,   2359725, 2359725,  439.714661
015,   2359726, 2359726,  423.131989
-------------------------------------------------------------------------------------------------------

RUN 1
000,   2372134, 2372134,  406.508972
001,   2372134, 2372134,  384.498199
002,   2372134, 2372134,  376.414978
003,   2372133, 2372133,  464.713501
004,   2372134, 2372134,  407.402954
005,   2372134, 2372134,  273.299072
006,   2372136, 2372136,  396.782074
007,   2372134, 2372134,  402.777802
008,   2372133, 2372133,  431.784790
009,   2372133, 2372133,  421.372925
010,   2372134, 2372134,  335.588074
011,   2372200, 2372200,  417.509521
012,   2372136, 2372136,  471.654297
013,   2372132, 2372132,  376.083466
014,   2372135, 2372135,  430.925995
015,   2372135, 2372135,  518.770386
-------------------------------------------------------------------------------------------------------

RUN 2
000,   2363162, 2363162,  449.236267
001,   2363166, 2363166,  299.476624
002,   2363165, 2363165,  361.403534
003,   2363166, 2363166,  370.590698
004,   2363166, 2363166,  348.260651
005,   2363163, 2363163,  405.853516
006,   2363163, 2363163,  493.316650
007,   2363166, 2363166,  443.236389
008,   2363184, 2363184,  409.253601
009,   2363164, 2363164,  403.635345
010,   2363164, 2363164,  344.395172
011,   2363164, 2363164,  435.507477
012,   2363165, 2363165,  350.748383
013,   2363164, 2363164,  353.449585
014,   2363164, 2363164,  308.714874
015,   2363162, 2363162,  353.822571
-------------------------------------------------------------------------------------------------------

RUN 3
000,   2408537, 2408537,  375.315826
001,   2408537, 2408537,  304.370880
002,   2408537, 2408537,  358.833252
003,   2408537, 2408537,  459.433228
004,   2408538, 2408538,  477.007996
005,   2408538, 2408538,  380.738525
006,   2408539, 2408539,  403.051239
007,   2408537, 2408537,  336.341400
008,   2408538, 2408538,  401.915466
009,   2408536, 2408536,  444.886353
010,   2408549, 2408549,  452.860474
011,   2408538, 2408538,  443.898285
012,   2408541, 2408541,  433.394989
013,   2408537, 2408537,  479.417603
014,   2408537, 2408537,  420.935974
015,   2408537, 2408537,  458.951294
-------------------------------------------------------------------------------------------------------

RUN 4
000,   2352644, 2352644,  380.639587
001,   2352659, 2352659,  264.775085
002,   2352645, 2352645,  305.546753
003,   2352644, 2352644,  317.989624
004,   2352645, 2352645,  413.148438
005,   2352646, 2352646,  411.898346
006,   2352645, 2352645,  310.308868
007,   2352645, 2352645,  362.027435
008,   2352646, 2352646,  330.771027
009,   2352657, 2352657,  329.491638
010,   2352645, 2352645,  304.777802
011,   2352649, 2352649,  351.929596
012,   2352643, 2352643,  427.542358
013,   2352648, 2352648,  363.418182
014,   2352646, 2352646,  353.014923
015,   2352645, 2352645,  431.196167
-------------------------------------------------------------------------------------------------------

