tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la
006,00000000,00456986,020,00222131,00007951,00007795,001024,000,002,00016384,00230081
007,00000000,00457467,020,00221782,00008119,00007975,001024,000,002,00016384,00229901
008,00000000,00457085,020,00221779,00008202,00008055,001024,000,002,00016384,00229980
009,00000000,00457111,020,00222011,00007888,00007757,001024,000,002,00016384,00229897
010,00000000,00457232,020,00221746,00008069,00007907,001024,000,002,00016384,00229815
011,00000000,00456480,020,00222113,00007852,00007721,001024,000,002,00016384,00229965
012,00000000,00456762,020,00221866,00008134,00007981,001024,000,002,00016384,00230000
013,00000000,00457195,020,00221873,00007990,00007855,001024,000,002,00016384,00229863
014,00000000,00456965,020,00221801,00008114,00007971,001024,000,002,00016384,00229911
015,00000000,00456351,020,00221870,00008073,00007939,001024,000,002,00016384,00229939
016,00000000,00456822,020,00221770,00007879,00007716,001024,000,002,00016384,00229649
017,00000000,00456766,020,00221929,00008088,00007946,001024,000,002,00016384,00230016
018,00000000,00457495,020,00221926,00008011,00007862,001024,000,002,00016384,00229937
019,00000000,00456874,020,00221316,00008227,00008077,001024,000,002,00016384,00229543
020,00000000,00456656,020,00222027,00007890,00007742,001024,000,002,00016384,00229917
021,00000000,00456836,020,00222005,00007916,00007765,001024,000,002,00016384,00229921
022,00000000,00456943,020,00221956,00007905,00007783,001024,000,002,00016384,00229861
023,00000000,00457219,020,00221510,00008256,00008092,001024,000,002,00016384,00229763
024,00000000,00457272,020,00221853,00008005,00007873,001024,000,002,00016384,00229856
025,00000000,00456751,020,00221876,00008088,00007963,001024,000,002,00016384,00229960
026,00000000,00457137,020,00221894,00008061,00007896,001024,000,002,00016384,00229955
027,00000000,00456643,020,00221757,00008008,00007863,001024,000,002,00016384,00229758
028,00000000,00456917,020,00222134,00008070,00007949,001024,000,002,00016384,00230204
029,00000000,00457519,020,00221695,00008202,00008040,001024,000,002,00016384,00229897
030,00000000,00456723,020,00221962,00008080,00007897,001024,000,002,00016384,00230040
031,00000000,00457738,020,00222121,00007957,00007803,001024,000,002,00016384,00230076
