tid,loop_in_cs,lock_acquires,lock_hold(ms)
RUN 0
000,    222292,  222292,   45.730087
001,    222293,  222293,   50.130951
002,    222289,  222289,   50.863171
003,    222293,  222293,   59.040588
004,    222284,  222284,   51.893742
005,    222292,  222292,   47.545807
006,    222293,  222293,   55.548870
007,    222294,  222294,   45.155693
008,    222289,  222289,   51.473339
009,    222293,  222293,   54.140995
010,    222291,  222291,   49.135780
011,    222293,  222293,   47.206245
012,    222290,  222290,   55.807243
013,    222292,  222292,   52.828892
014,    222290,  222290,   50.167458
015,    222293,  222293,   48.560032
-------------------------------------------------------------------------------------------------------

RUN 1
000,    224036,  224036,   56.913712
001,    224037,  224037,   52.460274
002,    224036,  224036,   54.945194
003,    224034,  224034,   54.753414
004,    224035,  224035,   47.815105
005,    224001,  224001,   47.933308
006,    224035,  224035,   56.198547
007,    224035,  224035,   48.030594
008,    224036,  224036,   49.797886
009,    224036,  224036,   38.308796
010,    224033,  224033,   51.995682
011,    224034,  224034,   54.357285
012,    224036,  224036,   46.486992
013,    224037,  224037,   54.712036
014,    224036,  224036,   40.273952
015,    224038,  224038,   51.854435
-------------------------------------------------------------------------------------------------------

RUN 2
000,    227078,  227078,   49.620819
001,    227078,  227078,   49.768398
002,    227078,  227078,   51.971882
003,    227079,  227079,   54.118507
004,    227076,  227076,   49.485596
005,    227079,  227079,   40.383976
006,    227078,  227078,   50.508678
007,    227078,  227078,   61.625801
008,    227078,  227078,   56.346279
009,    227080,  227080,   45.905392
010,    227077,  227077,   50.870575
011,    227079,  227079,   47.852039
012,    227075,  227075,   47.421894
013,    227080,  227080,   51.126942
014,    227079,  227079,   45.001640
015,    227080,  227080,   50.840481
-------------------------------------------------------------------------------------------------------

RUN 3
000,    221366,  221366,   49.159855
001,    221366,  221366,   57.012772
002,    221366,  221366,   51.171837
003,    221367,  221367,   54.302757
004,    221366,  221366,   50.531929
005,    221367,  221367,   51.603611
006,    221364,  221364,   58.610546
007,    221369,  221369,   51.288712
008,    221367,  221367,   48.762615
009,    221367,  221367,   40.679340
010,    221370,  221370,   48.086891
011,    221368,  221368,   43.929668
012,    221366,  221366,   54.438660
013,    221367,  221367,   50.201645
014,    221365,  221365,   43.864540
015,    221367,  221367,   52.318714
-------------------------------------------------------------------------------------------------------

RUN 4
000,    222721,  222721,   52.756802
001,    222726,  222726,   44.701180
002,    222722,  222722,   53.119713
003,    222727,  222727,   53.623573
004,    222721,  222721,   50.758492
005,    222725,  222725,   43.426941
006,    222724,  222724,   54.340187
007,    222724,  222724,   46.911560
008,    222724,  222724,   48.345261
009,    222725,  222725,   51.451157
010,    222721,  222721,   48.193707
011,    222728,  222728,   50.355537
012,    222726,  222726,   46.651920
013,    222728,  222728,   53.456821
014,    222634,  222634,   44.615055
015,    222726,  222726,   51.332153
-------------------------------------------------------------------------------------------------------

