tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
002,         0,       0,    0.000007,    0.000000,    0.411331,    0.024110,    0.382525,    0.000075,    0.028748,    0.023972,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.394787,    0.023443,    0.369873,    0.000074,    0.024854,    0.023245,         0,               0,000,000
002,         0,       0,    0.000007,    0.000000,    0.390577,    0.023174,    0.365482,    0.000070,    0.025036,    0.023044,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.389917,    0.027326,    0.365323,    0.000119,    0.024532,    0.027152,         0,               0,000,000
002,         0,       0,    0.000007,    0.000000,    0.393771,    0.024118,    0.368821,    0.000087,    0.024880,    0.023967,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.387533,    0.023725,    0.362533,    0.000079,    0.024882,    0.023578,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    3.585571,    0.024393,    3.559708,    0.000080,    0.025771,    0.024241,         0,               0,000,000
002,         0,       0,    0.000007,    0.000000,    0.406484,    0.024267,    0.381968,    0.000075,    0.024448,    0.024126,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.396708,    0.024143,    0.371902,    0.000069,    0.024747,    0.023990,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.401342,    0.024081,    0.376455,    0.000069,    0.024828,    0.023883,         0,               0,000,000
002,         0,       0,    0.000007,    0.000000,    0.406875,    0.024144,    0.381118,    0.000096,    0.025702,    0.023977,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.422557,    0.023999,    0.395895,    0.000088,    0.026593,    0.023846,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.416742,    0.023371,    0.391691,    0.000077,    0.024992,    0.023222,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    6.433545,    0.026820,    6.391470,    0.000316,    0.041789,    0.026373,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.472050,    0.024177,    0.447190,    0.000080,    0.024788,    0.024035,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.405264,    0.023344,    0.381280,    0.000192,    0.023926,    0.023098,         0,               0,000,000
003,         0,       0,    0.000007,    0.000000,    0.407580,    0.023752,    0.379314,    0.000117,    0.028102,    0.023568,         0,               0,000,000
003,         0,       0,    0.000007,    0.000000,    0.419303,    0.023272,    0.394723,    0.000060,    0.024499,    0.023142,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.393481,    0.023779,    0.369732,    0.000102,    0.023679,    0.023625,         0,               0,000,000
003,         0,       0,    0.000007,    0.000000,    0.390823,    0.023527,    0.367253,    0.000066,    0.023499,    0.023397,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.410791,    0.026071,    0.386726,    0.000066,    0.023994,    0.025880,         0,               0,000,000
003,         0,       0,    0.000007,    0.000000,    0.395832,    0.024226,    0.368180,    0.000058,    0.027581,    0.024100,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.390092,    0.023100,    0.364176,    0.000057,    0.025845,    0.022978,         0,               0,000,000
003,         0,       0,    0.000007,    0.000000,    0.396007,    0.022943,    0.370206,    0.000068,    0.025726,    0.022806,         0,               0,000,000
003,         0,       0,    0.000007,    0.000000,    0.391928,    0.023167,    0.365107,    0.000058,    0.026670,    0.023043,         0,               0,000,000
003,         0,       0,    0.000007,    0.000000,    0.388464,    0.022868,    0.362467,    0.000058,    0.025925,    0.022744,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    3.595465,    0.024228,    3.568306,    0.000105,    0.027043,    0.024047,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.402480,    0.023575,    0.378365,    0.000058,    0.024029,    0.023455,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.398462,    0.023361,    0.373831,    0.000065,    0.024562,    0.023183,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.404492,    0.023538,    0.380503,    0.000058,    0.023917,    0.023417,         0,               0,000,000
003,         0,       0,    0.000007,    0.000000,    0.427155,    0.023150,    0.379651,    0.000068,    0.047437,    0.023015,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.417857,    0.024934,    0.392348,    0.000055,    0.025433,    0.024816,         0,               0,000,000
003,         0,       0,    0.000007,    0.000000,    0.394165,    0.023200,    0.367954,    0.000057,    0.026086,    0.023077,         0,               0,000,000
004,         0,       0,    0.000010,    0.000000,    6.561088,    0.028313,    6.522430,    0.000285,    0.038381,    0.027897,         0,               0,000,000
004,         0,       0,    0.000010,    0.000000,    0.447344,    0.023457,    0.422692,    0.000091,    0.024577,    0.023317,         0,               0,000,000
004,         0,       0,    0.000007,    0.000000,    0.398991,    0.025108,    0.375050,    0.000107,    0.023813,    0.024950,         0,               0,000,000
004,         0,       0,    0.000007,    0.000000,    0.409453,    0.045404,    0.384135,    0.000060,    0.025249,    0.045275,         0,               0,000,000
004,         0,       0,    0.000010,    0.000000,    0.396473,    0.023395,    0.372605,    0.000064,    0.023792,    0.023272,         0,               0,000,000
004,         0,       0,    0.000010,    0.000000,    0.396269,    0.023123,    0.372290,    0.000064,    0.023910,    0.023003,         0,               0,000,000
004,         0,       0,    0.000007,    0.000000,    0.389501,    0.022664,    0.365328,    0.000066,    0.024102,    0.022484,         0,               0,000,000
004,         0,       0,    0.000010,    0.000000,    0.410646,    0.023009,    0.387000,    0.000252,    0.023579,    0.022701,         0,               0,000,000
