lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,numa,cnNR,mnNR,threadNR,maxHandover,colocate
0000000,0000501,0000070,0001007,0007364,0006862,0007284,0000011,001024,000,000,00001024,01,004,002,016,016,1
0000000,0001106,0000501,0001088,0024556,0012844,0024336,0000111,001024,000,000,00001024,01,004,002,016,016,1
0000000,0000501,0000070,0001005,0006062,0005621,0005871,0000009,001024,001,000,00001024,01,004,002,016,016,1
0000000,0001101,0000491,0001102,0024617,0011010,0024446,0000101,001024,001,000,00001024,01,004,002,016,016,1
0000000,0000501,0000060,0001005,0006011,0005681,0005941,0000044,001024,002,000,00001024,01,004,002,016,016,1
0000000,0001132,0000451,0001158,0023755,0010640,0023614,0000188,001024,002,000,00001024,01,004,002,016,016,1
0000000,0000501,0000060,0001010,0010810,0010420,0010740,0000077,001024,003,000,00001024,01,004,002,016,016,1
0000000,0001195,0000411,0001241,0028734,0015619,0028604,0000294,001024,003,000,00001024,01,004,002,016,016,1
0000000,0000511,0000070,0001006,0006843,0006352,0006753,0000011,001024,000,001,00001024,01,004,002,016,016,1
0000000,0001283,0000491,0001208,0022933,0012223,0022702,0000265,001024,000,001,00001024,01,004,002,016,016,1
0000000,0000511,0000070,0001005,0005981,0005791,0005951,0000009,001024,001,001,00001024,01,004,002,016,016,1
0000000,0001227,0000511,0001176,0023013,0010590,0022803,0000218,001024,001,001,00001024,01,004,002,016,016,1
0000000,0000501,0000060,0001009,0010770,0010450,0010730,0000077,001024,002,001,00001024,01,004,002,016,016,1
0000000,0001607,0000461,0001600,0027160,0015188,0027000,0000677,001024,002,001,00001024,01,004,002,016,016,1
0000000,0000501,0000060,0001005,0005961,0005690,0005921,0000043,001024,003,001,00001024,01,004,002,016,016,1
0000000,0001364,0000401,0001359,0022252,0010279,0022121,0000402,001024,003,001,00001024,01,004,002,016,016,1
0000000,0000511,0000070,0001006,0006472,0006031,0006372,0000011,001024,000,002,00001024,01,004,002,016,016,1
0000000,0001273,0000491,0001222,0020488,0011441,0020258,0000257,001024,000,002,00001024,01,004,002,016,016,1
0000000,0000511,0000070,0001005,0005721,0005591,0005701,0000009,001024,001,002,00001024,01,004,002,016,016,1
0000000,0001225,0000491,0001173,0020819,0010179,0020609,0000216,001024,001,002,00001024,01,004,002,016,016,1
0000000,0000501,0000060,0001009,0010629,0010329,0010580,0000074,001024,002,002,00001024,01,004,002,016,016,1
0000000,0001600,0000391,0001601,0024997,0014717,0024827,0000675,001024,002,002,00001024,01,004,002,016,016,1
0000000,0000501,0000060,0001005,0005831,0005601,0005790,0000042,001024,003,002,00001024,01,004,002,016,016,1
0000000,0001357,0000411,0001352,0020158,0009859,0019998,0000396,001024,003,002,00001024,01,004,002,016,016,1
0000000,0000511,0000070,0001007,0005891,0005791,0006372,0000011,001024,000,000,00000128,01,004,002,016,016,1
0000000,0001405,0000541,0001256,0014457,0014006,0014317,0000385,001024,000,000,00000128,01,004,002,016,016,1
0000000,0000511,0000070,0001009,0009738,0009668,0009578,0000011,001024,001,000,00000128,01,004,002,016,016,1
0000000,0001362,0000561,0001336,0016912,0013866,0016481,0000343,001024,001,000,00000128,01,004,002,016,016,1
0000000,0000510,0000060,0001008,0007003,0006883,0007174,0000047,001024,002,000,00000128,01,004,002,016,016,1
0000000,0001830,0000461,0001653,0012674,0011381,0012443,0000814,001024,002,000,00000128,01,004,002,016,016,1
0000000,0000511,0000060,0001008,0006993,0006863,0007163,0000047,001024,003,000,00000128,01,004,002,016,016,1
0000000,0001830,0000470,0001650,0012714,0011381,0012493,0000808,001024,003,000,00000128,01,004,002,016,016,1
0000000,0000511,0000070,0001008,0007174,0006322,0006863,0000012,001024,000,001,00000128,01,004,002,016,016,1
0000000,0001370,0000531,0001303,0019577,0014587,0019156,0000353,001024,000,001,00000128,01,004,002,016,016,1
0000000,0000521,0000071,0001010,0009928,0010029,0009918,0000011,001024,001,001,00000128,01,004,002,016,016,1
0000000,0001284,0000521,0001232,0023895,0014447,0023484,0000283,001024,001,001,00000128,01,004,002,016,016,1
0000000,0000501,0000060,0001008,0007574,0007003,0007384,0000048,001024,002,001,00000128,01,004,002,016,016,1
0000000,0001442,0000490,0001434,0019186,0011161,0018975,0000485,001024,002,001,00000128,01,004,002,016,016,1
0000000,0000501,0000060,0001008,0007584,0007013,0007394,0000048,001024,003,001,00000128,01,004,002,016,016,1
0000000,0001454,0000481,0001443,0019276,0011191,0018996,0000496,001024,003,001,00000128,01,004,002,016,016,1
0000000,0000511,0000080,0001005,0004448,0004589,0004739,0000009,001024,000,002,00000128,01,004,002,016,016,1
0000000,0001235,0000541,0001178,0015660,0009518,0015279,0000224,001024,000,002,00000128,01,004,002,016,016,1
0000000,0000511,0000080,0001004,0005851,0005560,0005721,0000010,001024,001,002,00000128,01,004,002,016,016,1
0000000,0001270,0000551,0001221,0014558,0010270,0014136,0000253,001024,001,002,00000128,01,004,002,016,016,1
0000000,0000501,0000060,0001009,0010350,0010089,0010299,0000076,001024,002,002,00000128,01,004,002,016,016,1
0000000,0001662,0000471,0001635,0019857,0013956,0019607,0000721,001024,002,002,00000128,01,004,002,016,016,1
0000000,0000501,0000060,0001005,0005581,0005400,0005530,0000040,001024,003,002,00000128,01,004,002,016,016,1
0000000,0001397,0000461,0001373,0014837,0009107,0014637,0000424,001024,003,002,00000128,01,004,002,016,016,1
0000000,0001008,0000190,0001005,0003867,0002915,0003015,0000008,001024,000,000,00000008,01,004,002,016,016,1
0000000,0001892,0000631,0001634,0006633,0006542,0006352,0000803,001024,000,000,00000008,01,004,002,016,016,1
0000000,0001005,0000190,0001005,0003316,0004648,0003947,0000008,001024,001,000,00000008,01,004,002,016,016,1
0000000,0002528,0000591,0002018,0006643,0006603,0006442,0001396,001024,001,000,00000008,01,004,002,016,016,1
0000000,0000601,0000170,0001009,0005240,0004900,0004899,0000037,001024,002,000,00000008,01,004,002,016,016,1
0000000,0002944,0000521,0002356,0007093,0006632,0006893,0001762,001024,002,000,00000008,01,004,002,016,016,1
0000000,0000581,0000140,0001018,0009958,0009618,0009719,0000061,001024,003,000,00000008,01,004,002,016,016,1
0000000,0004986,0000481,0003603,0011672,0011201,0011491,0003561,001024,003,000,00000008,01,004,002,016,016,1
0000000,0001008,0000190,0001008,0003426,0003186,0003326,0000008,001024,000,001,00000008,01,004,002,016,016,1
0000000,0002148,0000591,0001813,0006763,0006693,0006502,0001054,001024,000,001,00000008,01,004,002,016,016,1
0000000,0001011,0000200,0001007,0003416,0004559,0003897,0000008,001024,001,001,00000008,01,004,002,016,016,1
0000000,0001784,0000591,0001604,0006802,0006712,0006522,0000706,001024,001,001,00000008,01,004,002,016,016,1
0000000,0000721,0000180,0001012,0005250,0004909,0004869,0000033,001024,002,001,00000008,01,004,002,016,016,1
0000000,0002676,0000531,0002261,0007253,0006713,0007003,0001542,001024,002,001,00000008,01,004,002,016,016,1
0000000,0000651,0000180,0001018,0009969,0009618,0009689,0000075,001024,003,001,00000008,01,004,002,016,016,1
0000000,0003975,0000491,0003126,0011812,0011352,0011611,0002706,001024,003,001,00000008,01,004,002,016,016,1
0000000,0001007,0000190,0001004,0003747,0002906,0002996,0000008,001024,000,002,00000008,01,004,002,016,016,1
0000000,0001927,0000641,0001651,0006673,0006522,0006392,0000837,001024,000,002,00000008,01,004,002,016,016,1
0000000,0001005,0000190,0001004,0003337,0004649,0003957,0000008,001024,001,002,00000008,01,004,002,016,016,1
0000000,0002648,0000581,0002061,0006622,0006573,0006412,0001488,001024,001,002,00000008,01,004,002,016,016,1
0000000,0000621,0000160,0001008,0005250,0004909,0004930,0000033,001024,002,002,00000008,01,004,002,016,016,1
0000000,0003079,0000511,0002407,0007103,0006632,0006903,0001864,001024,002,002,00000008,01,004,002,016,016,1
0000000,0000531,0000080,0001017,0009948,0009598,0009718,0000074,001024,003,002,00000008,01,004,002,016,016,1
0000000,0005152,0000481,0003560,0011692,0011191,0011501,0003614,001024,003,002,00000008,01,004,002,016,016,1
