lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,numa,cnNR,mnNR,threadNR,maxHandover
0000000,0000171,0000031,0001005,0005550,0006172,0005610,0000012,001024,000,000,00001024,01,004,002,016,016
0000000,0001339,0000431,0001251,0011542,0012042,0011611,0000320,001024,000,000,00001024,01,004,002,016,016
0000000,0000171,0000030,0001005,0004648,0005551,0004959,0000009,001024,001,000,00001024,01,004,002,016,016
0000000,0001268,0000421,0001216,0009668,0010339,0009939,0000257,001024,001,000,00001024,01,004,002,016,016
0000000,0000170,0000030,0001009,0009577,0010289,0009628,0000082,001024,002,000,00001024,01,004,002,016,016
0000000,0001727,0000250,0001714,0014457,0014968,0014527,0000794,001024,002,000,00001024,01,004,002,016,016
0000000,0000170,0000030,0001005,0004779,0005510,0004929,0000044,001024,003,000,00001024,01,004,002,016,016
0000000,0001419,0000310,0001412,0009458,0010049,0009768,0000457,001024,003,000,00001024,01,004,002,016,016
0000000,0000171,0000031,0001008,0002725,0003367,0002935,0000010,001024,000,001,00001024,01,004,002,016,016
0000000,0001321,0000421,0001240,0011773,0012674,0011792,0000309,001024,000,001,00001024,01,004,002,016,016
0000000,0000171,0000030,0001003,0008697,0009488,0008706,0000011,001024,001,001,00001024,01,004,002,016,016
0000000,0001305,0000341,0001300,0011993,0012924,0011993,0000297,001024,001,001,00001024,01,004,002,016,016
0000000,0000170,0000030,0001005,0004859,0005550,0004919,0000050,001024,002,001,00001024,01,004,002,016,016
0000000,0001646,0000331,0001565,0011451,0012113,0011431,0000669,001024,002,001,00001024,01,004,002,016,016
0000000,0000170,0000030,0001005,0004869,0005551,0004919,0000050,001024,003,001,00001024,01,004,002,016,016
0000000,0001639,0000341,0001566,0011451,0012132,0011422,0000663,001024,003,001,00001024,01,004,002,016,016
0000000,0000171,0000030,0001005,0005371,0006051,0005470,0000010,001024,000,002,00001024,01,004,002,016,016
0000000,0001118,0000371,0001099,0011412,0011892,0011451,0000125,001024,000,002,00001024,01,004,002,016,016
0000000,0000171,0000030,0001006,0004408,0005119,0004439,0000009,001024,001,002,00001024,01,004,002,016,016
0000000,0001100,0000381,0001107,0009649,0010359,0009909,0000105,001024,001,002,00001024,01,004,002,016,016
0000000,0000170,0000030,0001004,0004679,0005360,0004709,0000042,001024,002,002,00001024,01,004,002,016,016
0000000,0001134,0000261,0001162,0009428,0010019,0009688,0000192,001024,002,002,00001024,01,004,002,016,016
0000000,0000170,0000030,0001009,0009408,0010089,0009417,0000077,001024,003,002,00001024,01,004,002,016,016
0000000,0001213,0000211,0001263,0014387,0014928,0014467,0000318,001024,003,002,00001024,01,004,002,016,016
0000000,0000180,0000030,0001005,0005139,0005820,0005260,0000011,001024,000,000,00000128,01,004,002,016,016
0000000,0001161,0000391,0001132,0010550,0010990,0010640,0000163,001024,000,000,00000128,01,004,002,016,016
0000000,0000180,0000050,0001005,0004438,0005230,0004589,0000009,001024,001,000,00000128,01,004,002,016,016
0000000,0001143,0000411,0001136,0009077,0009829,0009377,0000142,001024,001,000,00000128,01,004,002,016,016
0000000,0000171,0000030,0001005,0004679,0005370,0004739,0000042,001024,002,000,00000128,01,004,002,016,016
0000000,0001219,0000321,0001228,0008877,0009548,0009177,0000262,001024,002,000,00000128,01,004,002,016,016
0000000,0000171,0000030,0001009,0009428,0010108,0009448,0000079,001024,003,000,00000128,01,004,002,016,016
0000000,0001335,0000251,0001366,0013806,0014427,0013916,0000424,001024,003,000,00000128,01,004,002,016,016
0000000,0000180,0000140,0001005,0004749,0005430,0004879,0000010,001024,000,001,00000128,01,004,002,016,016
0000000,0001158,0000411,0001125,0009658,0010129,0009758,0000158,001024,000,001,00000128,01,004,002,016,016
0000000,0000180,0000031,0001005,0004308,0005080,0004408,0000009,001024,001,001,00000128,01,004,002,016,016
0000000,0001143,0000401,0001133,0008626,0009477,0008897,0000139,001024,001,001,00000128,01,004,002,016,016
0000000,0000171,0000030,0001009,0009347,0010029,0009368,0000072,001024,002,001,00000128,01,004,002,016,016
0000000,0001332,0000251,0001367,0013315,0013966,0013365,0000423,001024,002,001,00000128,01,004,002,016,016
0000000,0000171,0000030,0001005,0004648,0005330,0004679,0000041,001024,003,001,00000128,01,004,002,016,016
0000000,0001214,0000320,0001227,0008436,0009117,0008696,0000258,001024,003,001,00000128,01,004,002,016,016
0000000,0000180,0000150,0001005,0004969,0005651,0005090,0000010,001024,000,002,00000128,01,004,002,016,016
0000000,0001160,0000421,0001131,0010239,0010670,0010329,0000161,001024,000,002,00000128,01,004,002,016,016
0000000,0000180,0000050,0001005,0004328,0005100,0004449,0000009,001024,001,002,00000128,01,004,002,016,016
0000000,0001145,0000411,0001135,0008917,0009688,0009197,0000140,001024,001,002,00000128,01,004,002,016,016
0000000,0000171,0000030,0001005,0004648,0005330,0004689,0000042,001024,002,002,00000128,01,004,002,016,016
0000000,0001218,0000320,0001229,0008736,0009418,0009027,0000262,001024,002,002,00000128,01,004,002,016,016
0000000,0000171,0000030,0001009,0009368,0010049,0009397,0000080,001024,003,002,00000128,01,004,002,016,016
0000000,0001328,0000251,0001368,0013656,0014277,0013735,0000421,001024,003,002,00000128,01,004,002,016,016
0000000,0001013,0000180,0001016,0002995,0003296,0002825,0000008,001024,000,000,00000008,01,004,002,016,016
0000000,0001662,0000521,0001554,0005821,0006732,0005961,0000603,001024,000,000,00000008,01,004,002,016,016
0000000,0001012,0000180,0001015,0002254,0004519,0003818,0000008,001024,001,000,00000008,01,004,002,016,016
0000000,0001861,0000530,0001669,0005751,0006683,0005881,0000790,001024,001,000,00000008,01,004,002,016,016
0000000,0001011,0000170,0001036,0008916,0009578,0008946,0000075,001024,002,000,00000008,01,004,002,016,016
0000000,0003106,0000521,0002674,0010870,0011441,0010890,0001952,001024,002,000,00000008,01,004,002,016,016
0000000,0001006,0000170,0001022,0004208,0004829,0004248,0000037,001024,003,000,00000008,01,004,002,016,016
0000000,0002230,0000511,0002005,0006131,0006663,0006212,0001137,001024,003,000,00000008,01,004,002,016,016
0000000,0001013,0000180,0001016,0003006,0002896,0002395,0000008,001024,000,001,00000008,01,004,002,016,016
0000000,0001568,0000521,0001489,0005640,0006513,0005681,0000514,001024,000,001,00000008,01,004,002,016,016
0000000,0001013,0000180,0001015,0002244,0004539,0003827,0000008,001024,001,001,00000008,01,004,002,016,016
0000000,0001749,0000531,0001599,0005540,0006603,0005790,0000682,001024,001,001,00000008,01,004,002,016,016
0000000,0001007,0000170,0001024,0004228,0004809,0004238,0000036,001024,002,001,00000008,01,004,002,016,016
0000000,0002090,0000521,0001929,0005951,0006492,0005981,0001014,001024,002,001,00000008,01,004,002,016,016
0000000,0001012,0000170,0001043,0008937,0009538,0008936,0000061,001024,003,001,00000008,01,004,002,016,016
0000000,0002641,0000511,0002404,0010640,0011161,0010630,0001542,001024,003,001,00000008,01,004,002,016,016
0000000,0001011,0000180,0001013,0003346,0003076,0002565,0000008,001024,000,002,00000008,01,004,002,016,016
0000000,0001686,0000531,0001564,0005751,0006653,0005871,0000622,001024,000,002,00000008,01,004,002,016,016
0000000,0001012,0000180,0001014,0002245,0004588,0003857,0000008,001024,001,002,00000008,01,004,002,016,016
0000000,0001994,0000531,0001731,0005720,0006683,0005851,0000899,001024,001,002,00000008,01,004,002,016,016
0000000,0001006,0000170,0001021,0004208,0004839,0004248,0000036,001024,002,002,00000008,01,004,002,016,016
0000000,0002378,0000521,0002069,0006162,0006663,0006212,0001259,001024,002,002,00000008,01,004,002,016,016
0000000,0001009,0000170,0001027,0008887,0009578,0008927,0000074,001024,003,002,00000008,01,004,002,016,016
0000000,0003370,0000511,0002765,0010821,0011411,0010851,0002152,001024,003,002,00000008,01,004,002,016,016
0000000,0000170,0000030,0001008,0003837,0004668,0003907,0000010,001024,000,000,00001024,01,004,004,016,016
0000000,0002925,0000511,0002432,0009809,0010810,0009968,0001676,001024,000,000,00001024,01,004,004,016,016
