tid,wait_acq(ms),wait_rel(ms)
RUN 0
001,52874.046875, 15.478990
002,53255.800781, 13.587041
003,52956.097656, 11.512624
004,53317.367188, 12.663505
005,53288.164062, 13.565936
007,53005.820312, 12.255324
006,53369.281250, 13.315766
009,52915.312500, 17.963074
008,52994.367188, 13.375916
010,53023.113281, 11.043667
011,52820.859375, 11.833684
012,53138.570312,  9.559981
013,52812.308594, 10.576604
014,52849.148438, 10.343078
015,52747.410156,  9.918361
016,53047.859375, 10.142304
-----------------------------------------------------------------------------------------------

RUN 1
001,53289.871094, 13.560088
002,53325.531250, 12.143917
003,53198.394531, 11.933618
004,53292.445312, 13.077611
005,52901.035156, 12.725096
007,52658.296875, 13.030479
006,53218.183594, 13.036197
009,52447.425781, 17.220772
008,52913.546875, 13.354748
010,53253.472656, 11.052094
011,52772.199219,  9.567715
012,53049.542969,  9.137144
013,52814.703125, 10.760468
014,52950.882812, 10.866004
015,52879.796875,  9.691339
016,53179.566406,  9.192037
-----------------------------------------------------------------------------------------------

