tid,lock_impl_time(ms)
RUN 0
001,    65.934
-----------------------------------------------------------------------------------------------

RUN 1
001,    57.810
-----------------------------------------------------------------------------------------------

RUN 2
001,    59.070
-----------------------------------------------------------------------------------------------

RUN 3
001,    58.755
-----------------------------------------------------------------------------------------------

RUN 4
001,    57.068
-----------------------------------------------------------------------------------------------

