tid,wait_acq(ms),wait_rel(ms)
RUN 0
001,  0.000802,  0.000213
001,  0.000108,  0.000082
001,  0.000078,  0.000062
001,  0.000073,  0.000073
001,  0.000075,  0.000070
001,  0.000093,  0.000065
001,  0.000075,  0.000068
001,  0.000075,  0.000062
001,  0.000083,  0.000065
001,  0.000072,  0.000060
-----------------------------------------------------------------------------------------------

RUN 1
001,  0.000155,  0.000147
001,  0.000073,  0.000072
001,  0.000073,  0.000068
001,  0.000073,  0.000062
001,  0.000073,  0.000060
001,  0.000070,  0.000058
001,  0.000073,  0.000065
001,  0.000070,  0.000060
001,  0.000070,  0.000060
001,  0.000070,  0.000067
-----------------------------------------------------------------------------------------------

