tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la
000,00000000,00395438,020,00191990,00007512,00007312,001024,000,000,00016384,00199502
001,00000000,00396751,020,00191772,00007406,00007208,001024,000,000,00016384,00199178
002,00000000,00396513,020,00191601,00007604,00007369,001024,000,000,00016384,00199205
003,00000000,00395657,020,00191328,00007606,00007383,001024,000,000,00016384,00198934
004,00000000,00395943,020,00191345,00007602,00007372,001024,000,000,00016384,00198947
005,00000000,00395922,020,00191569,00007630,00007403,001024,000,000,00016384,00199199
006,00000000,00395368,020,00191134,00007529,00007308,001024,000,000,00016384,00198663
007,00000000,00395912,020,00191174,00007809,00007563,001024,000,000,00016384,00198983
008,00000000,00396460,020,00191165,00007572,00007331,001024,000,000,00016384,00198737
009,00000000,00396255,020,00191726,00007494,00007262,001024,000,000,00016384,00199220
010,00000000,00396007,020,00191486,00007496,00007277,001024,000,000,00016384,00198981
011,00000000,00397037,020,00191171,00007655,00007407,001024,000,000,00016384,00198825
012,00000000,00395680,020,00191535,00007587,00007397,001024,000,000,00016384,00199122
013,00000000,00396028,020,00191329,00007613,00007364,001024,000,000,00016384,00198942
014,00000000,00395699,020,00191207,00007550,00007354,001024,000,000,00016384,00198757
015,00000000,00396376,020,00191413,00007549,00007328,001024,000,000,00016384,00198961
016,00000000,00395652,020,00191661,00007567,00007357,001024,000,000,00016384,00199228
017,00000000,00395925,020,00191318,00007602,00007373,001024,000,000,00016384,00198920
018,00000000,00396001,020,00191252,00007744,00007521,001024,000,000,00016384,00198996
019,00000000,00396507,020,00191514,00007505,00007287,001024,000,000,00016384,00199019
020,00000000,00395789,020,00191388,00007595,00007366,001024,000,000,00016384,00198983
021,00000000,00395455,020,00191307,00007724,00007501,001024,000,000,00016384,00199031
022,00000000,00396395,020,00191729,00007380,00007164,001024,000,000,00016384,00199109
023,00000000,00395503,020,00191671,00007362,00007149,001024,000,000,00016384,00199033
024,00000000,00396067,020,00191400,00007611,00007384,001024,000,000,00016384,00199011
025,00000000,00395317,020,00191589,00007524,00007275,001024,000,000,00016384,00199113
026,00000000,00396031,020,00191658,00007505,00007246,001024,000,000,00016384,00199163
027,00000000,00395764,020,00191451,00007592,00007381,001024,000,000,00016384,00199043
028,00000000,00395684,020,00191605,00007528,00007291,001024,000,000,00016384,00199133
029,00000000,00395194,020,00191396,00007675,00007420,001024,000,000,00016384,00199071
030,00000000,00396156,020,00191588,00007637,00007378,001024,000,000,00016384,00199225
031,00000000,00396161,020,00191380,00007570,00007334,001024,000,000,00016384,00198950
000,00000000,00395594,020,00191249,00007530,00007310,001024,000,001,00016384,00198778
001,00000000,00395313,020,00191145,00007502,00007259,001024,000,001,00016384,00198647
002,00000000,00395425,020,00191175,00007640,00007390,001024,000,001,00016384,00198815
003,00000000,00394695,020,00190823,00007461,00007240,001024,000,001,00016384,00198284
004,00000000,00394624,020,00191330,00007414,00007139,001024,000,001,00016384,00198743
005,00000000,00394558,020,00190823,00007612,00007387,001024,000,001,00016384,00198435
006,00000000,00395884,020,00191132,00007674,00007450,001024,000,001,00016384,00198806
007,00000000,00394262,020,00190881,00007718,00007462,001024,000,001,00016384,00198598
008,00000000,00394858,020,00191041,00007530,00007283,001024,000,001,00016384,00198571
009,00000000,00394184,020,00190893,00007561,00007291,001024,000,001,00016384,00198454
010,00000000,00395299,020,00190843,00007637,00007381,001024,000,001,00016384,00198480
011,00000000,00394601,020,00190999,00007652,00007415,001024,000,001,00016384,00198651
012,00000000,00395249,020,00190735,00007582,00007342,001024,000,001,00016384,00198317
013,00000000,00394684,020,00190529,00007674,00007418,001024,000,001,00016384,00198203
014,00000000,00395306,020,00190782,00007588,00007368,001024,000,001,00016384,00198370
015,00000000,00394977,020,00191052,00007576,00007362,001024,000,001,00016384,00198628
016,00000000,00394381,020,00190870,00007617,00007401,001024,000,001,00016384,00198487
017,00000000,00395097,020,00190889,00007683,00007466,001024,000,001,00016384,00198572
018,00000000,00394443,020,00190960,00007431,00007191,001024,000,001,00016384,00198391
019,00000000,00394809,020,00191007,00007696,00007431,001024,000,001,00016384,00198703
020,00000000,00394721,020,00191057,00007447,00007194,001024,000,001,00016384,00198504
021,00000000,00395150,020,00190724,00007655,00007432,001024,000,001,00016384,00198379
022,00000000,00394658,020,00190808,00007635,00007382,001024,000,001,00016384,00198443
023,00000000,00395119,020,00190923,00007729,00007466,001024,000,001,00016384,00198652
024,00000000,00394361,020,00191166,00007454,00007262,001024,000,001,00016384,00198618
025,00000000,00394979,020,00191099,00007544,00007314,001024,000,001,00016384,00198643
