tid,wait_acq(ms),wait_rel(ms)
RUN 0
001,  0.001292,  0.000228
001,  0.000172,  0.000118
001,  0.000110,  0.000097
001,  0.000108,  0.000097
001,  0.000127,  0.000097
001,  0.000127,  0.000103
001,  0.000107,  0.000098
001,  0.000152,  0.000098
001,  0.000190,  0.000107
001,  0.000187,  0.000108
-----------------------------------------------------------------------------------------------

RUN 1
001,  0.000165,  0.000157
001,  0.000112,  0.000127
001,  0.000108,  0.000110
001,  0.000117,  0.000102
001,  0.000115,  0.000115
001,  0.000103,  0.000110
001,  0.000103,  0.000097
001,  0.000100,  0.000100
001,  0.000178,  0.000102
001,  0.000218,  0.000098
-----------------------------------------------------------------------------------------------

