0000000,0000691,0000100,0001009,0009087,0010881,0020699,0000019,001024,000,000,16384
0000000,0003912,0000541,0001712,0026800,0025538,0048481,0002679,001024,000,000,16384
0000000,0000822,0000101,0001007,0005120,0008045,0013375,0000014,001024,001,000,16384
0000000,0004238,0000832,0001711,0007013,0021089,0026801,0002955,001024,001,000,16384
0000000,0000691,0000100,0001011,0012163,0012283,0025388,0000022,001024,002,000,16384
0000000,0002521,0000511,0001561,0026360,0025187,0046527,0001458,001024,002,000,16384
0000000,0000682,0000100,0001010,0009198,0011041,0020950,0000019,001024,000,001,16384
0000000,0003957,0000521,0001711,0026961,0025618,0048492,0002702,001024,000,001,16384
0000000,0000801,0000110,0001007,0005120,0008116,0013446,0000014,001024,001,001,16384
0000000,0004210,0000791,0001710,0006663,0021140,0026831,0002930,001024,001,001,16384
0000000,0000712,0000100,0001011,0012243,0012364,0025548,0000022,001024,002,001,16384
0000000,0002541,0000511,0001562,0026430,0025348,0046588,0001476,001024,002,001,16384
0000000,0000682,0000100,0001009,0008987,0010801,0020539,0000019,001024,000,002,16384
0000000,0003942,0000501,0001709,0026670,0025278,0048231,0002693,001024,000,002,16384
0000000,0000822,0000110,0001007,0005120,0007995,0013325,0000014,001024,001,002,16384
0000000,0004185,0000671,0001703,0007023,0020949,0026600,0002891,001024,001,002,16384
0000000,0000712,0000100,0001011,0012293,0012304,0025528,0000023,001024,002,002,16384
0000000,0002521,0000521,0001562,0026530,0025327,0046678,0001458,001024,002,002,16384
