tid,wait_acq(ms),wait_rel(ms)
RUN 0
001,  0.080432,  0.000365
001,  0.356722,  0.000163
001,  0.224773,  0.000170
001,  0.126578,  0.000173
001,  0.293970,  0.000152
001,  0.202518,  0.000153
001,  0.125875,  0.000163
001,  0.338747,  0.000157
001,  0.169813,  0.000178
001,  0.379175,  0.000173
002,  0.000563,  0.000352
002,  0.128872,  0.000175
002,  0.117187,  0.000150
002,  0.182033,  0.000172
002,  0.068648,  0.000152
002,  0.057127,  0.000162
002,  0.174943,  0.000163
002,  0.116087,  0.000160
002,  0.118635,  0.000148
002,  0.000323,  0.000160
003,  0.535770,  0.000330
003,  0.254885,  0.000157
003,  0.346130,  0.000143
003,  0.275485,  0.000178
003,  0.248093,  0.000135
003,  0.350805,  0.000120
003,  0.272587,  0.000158
003,  0.299727,  0.000135
003,  0.268793,  0.000128
003,  0.278170,  0.000142
004,  0.234897,  0.000393
004,  0.307457,  0.000215
004,  0.177567,  0.000210
004,  0.227917,  0.000192
004,  0.203580,  0.000195
004,  0.157502,  0.000193
004,  0.224492,  0.000175
004,  0.260068,  0.000187
004,  0.218587,  0.000185
004,  0.225375,  0.000192
006,  0.387178,  0.000382
006,  0.000283,  0.000145
006,  0.000237,  0.000168
006,  0.076297,  0.000182
006,  0.113595,  0.000175
006,  0.000312,  0.000192
006,  0.067132,  0.000182
006,  0.000240,  0.000172
006,  0.070697,  0.000172
006,  0.118363,  0.000155
005,  0.461222,  0.000337
005,  0.426522,  0.000197
005,  0.276028,  0.000188
005,  0.339212,  0.000198
005,  0.346047,  0.000172
005,  0.252897,  0.000217
005,  0.341297,  0.000200
005,  0.167435,  0.000220
005,  0.330408,  0.000207
005,  0.331292,  0.000187
007,  0.155402,  0.000265
007,  0.073537,  0.000197
007,  0.055680,  0.000163
007,  0.000395,  0.000223
007,  0.000425,  0.000220
007,  0.107223,  0.000175
007,  0.000243,  0.000195
007,  0.064095,  0.000143
007,  0.000420,  0.000198
007,  0.066817,  0.000207
008,  0.315815,  0.000345
008,  0.193167,  0.000188
008,  0.331872,  0.000208
008,  0.322937,  0.000203
008,  0.160853,  0.000178
008,  0.312097,  0.000210
008,  0.321273,  0.000190
008,  0.217560,  0.000183
008,  0.316960,  0.000240
008,  0.178272,  0.000205
-----------------------------------------------------------------------------------------------

RUN 1
001,  0.338875,  0.000160
001,  0.289603,  0.000160
001,  0.234270,  0.000142
001,  0.252517,  0.000147
001,  0.197262,  0.000150
001,  0.308408,  0.000143
001,  0.202425,  0.000143
001,  0.338622,  0.000168
001,  0.205940,  0.000140
001,  0.266543,  0.000155
002,  0.000213,  0.000198
002,  0.179413,  0.000158
002,  0.107570,  0.000148
002,  0.118467,  0.000167
002,  0.106477,  0.000150
002,  0.051055,  0.000147
002,  0.107020,  0.000153
002,  0.000217,  0.000147
002,  0.065385,  0.000153
002,  0.066648,  0.000187
003,  0.241813,  0.000172
003,  0.370698,  0.000150
003,  0.191235,  0.000225
003,  0.354030,  0.000152
003,  0.304130,  0.000160
003,  0.195075,  0.000150
003,  0.253110,  0.000145
003,  0.298962,  0.000152
003,  0.359047,  0.000130
003,  0.392315,  0.000143
004,  0.136055,  0.000203
004,  0.332388,  0.000208
004,  0.148830,  0.000177
004,  0.300668,  0.000190
004,  0.245957,  0.000260
004,  0.154997,  0.000180
004,  0.301613,  0.000195
004,  0.057973,  0.000243
004,  0.157790,  0.000193
004,  0.208785,  0.000185
006,  0.085547,  0.000238
006,  0.000217,  0.000192
006,  0.053537,  0.000167
006,  0.000165,  0.000172
006,  0.061028,  0.000167
006,  0.000168,  0.000155
006,  0.061428,  0.000180
006,  0.110392,  0.000168
006,  0.110710,  0.000148
006,  0.113087,  0.000150
005,  0.400293,  0.000212
005,  0.236640,  0.000198
005,  0.336223,  0.000192
005,  0.216413,  0.000195
005,  0.352355,  0.000213
005,  0.242922,  0.000162
005,  0.337925,  0.000190
005,  0.163513,  0.000190
005,  0.307305,  0.000195
005,  0.327755,  0.000195
007,  0.186675,  0.000248
007,  0.121310,  0.000170
007,  0.000258,  0.000238
007,  0.060317,  0.000162
007,  0.000463,  0.000220
007,  0.098557,  0.000158
007,  0.000253,  0.000193
007,  0.211278,  0.000183
007,  0.000363,  0.000187
007,  0.000380,  0.000175
008,  0.287290,  0.000193
008,  0.062388,  0.000180
008,  0.288947,  0.000188
008,  0.172678,  0.000173
008,  0.154677,  0.000212
008,  0.290788,  0.000198
008,  0.150163,  0.000178
008,  0.249740,  0.000182
008,  0.258537,  0.000205
008,  0.162068,  0.000180
-----------------------------------------------------------------------------------------------

