lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,numa,cnNR,mnNR,threadNR,maxHandover,colocate,zipfian,readRatio
0000000,0000171,0000031,0001002,0003106,0002705,0003066,0000009,001024,000,000,00001024,01,001,001,016,016,1,0.99,050
0000000,0001025,0000421,0001006,0004208,0003838,0004158,0000032,001024,000,000,00001024,01,001,001,016,016,1,0.99,050
0000000,0000161,0000031,0001002,0003106,0002715,0003066,0000009,001024,000,001,00001024,01,001,001,016,016,1,0.99,050
0000000,0001026,0000421,0001006,0004228,0003857,0004178,0000032,001024,000,001,00001024,01,001,001,016,016,1,0.99,050
0000000,0000171,0000150,0001002,0003076,0002695,0003045,0000009,001024,000,000,00000128,01,001,001,016,016,1,0.99,050
0000000,0001035,0000471,0001006,0004168,0003828,0004118,0000039,001024,000,000,00000128,01,001,001,016,016,1,0.99,050
0000000,0000180,0000060,0001002,0003076,0002695,0003046,0000009,001024,000,001,00000128,01,001,001,016,016,1,0.99,050
0000000,0001029,0000450,0001007,0004178,0003827,0004118,0000035,001024,000,001,00000128,01,001,001,016,016,1,0.99,050
0000000,0001007,0000180,0001002,0002866,0002595,0002835,0000008,001024,000,000,00000008,01,001,001,016,016,1,0.99,050
0000000,0001080,0000541,0001007,0003707,0003557,0003637,0000086,001024,000,000,00000008,01,001,001,016,016,1,0.99,050
0000000,0001007,0000180,0001002,0002856,0002585,0002825,0000009,001024,000,001,00000008,01,001,001,016,016,1,0.99,050
0000000,0001086,0000541,0001006,0003597,0003536,0003547,0000092,001024,000,001,00000008,01,001,001,016,016,1,0.99,050
0000000,0000170,0000030,0001004,0005149,0004909,0005110,0000033,001024,001,000,00001024,01,002,001,016,016,0,0.99,050
0000000,0001015,0000241,0001006,0006753,0006492,0006702,0000058,001024,001,000,00001024,01,002,001,016,016,0,0.99,050
0000000,0000170,0000030,0001004,0005149,0004909,0005110,0000037,001024,001,001,00001024,01,002,001,016,016,0,0.99,050
0000000,0001015,0000240,0001006,0006712,0006472,0006653,0000058,001024,001,001,00001024,01,002,001,016,016,0,0.99,050
0000000,0000170,0000030,0001004,0005149,0004919,0005119,0000034,001024,001,000,00000128,01,002,001,016,016,0,0.99,050
0000000,0001019,0000300,0001006,0006732,0006502,0006682,0000058,001024,001,000,00000128,01,002,001,016,016,0,0.99,050
0000000,0000170,0000030,0001004,0005140,0004910,0005110,0000037,001024,001,001,00000128,01,002,001,016,016,0,0.99,050
0000000,0001019,0000301,0001006,0006753,0006482,0006703,0000058,001024,001,001,00000128,01,002,001,016,016,0,0.99,050
0000000,0000210,0000171,0001004,0005119,0004939,0005080,0000036,001024,001,000,00000008,01,002,001,016,016,0,0.99,050
0000000,0001071,0000460,0001008,0006673,0006532,0006623,0000104,001024,001,000,00000008,01,002,001,016,016,0,0.99,050
0000000,0000201,0000171,0001004,0005110,0004939,0005080,0000031,001024,001,001,00000008,01,002,001,016,016,0,0.99,050
0000000,0001057,0000431,0001009,0006693,0006543,0006643,0000092,001024,001,001,00000008,01,002,001,016,016,0,0.99,050
