lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,numa,cnNR,mnNR,threadNR,maxHandover,colocate,zipfian,readRatio
0000000,0000180,0000031,0001002,0002134,0002655,0002154,0000010,001024,000,000,00001024,01,001,001,016,016,1,0.99,050
0000000,0001013,0000401,0001007,0003005,0003717,0003006,0000034,001024,000,000,00001024,01,001,001,016,016,1,0.99,050
0000000,0000171,0000031,0001002,0002144,0002665,0002154,0000010,001024,000,001,00001024,01,001,001,016,016,1,0.99,050
0000000,0001012,0000411,0001007,0003026,0003717,0003026,0000034,001024,000,001,00001024,01,001,001,016,016,1,0.99,050
0000000,0000180,0000150,0001002,0002134,0002665,0002174,0000010,001024,000,000,00000128,01,001,001,016,016,1,0.99,050
0000000,0001015,0000431,0001006,0003006,0003737,0003036,0000034,001024,000,000,00000128,01,001,001,016,016,1,0.99,050
0000000,0000180,0000150,0001002,0002134,0002655,0002164,0000010,001024,000,001,00000128,01,001,001,016,016,1,0.99,050
0000000,0001015,0000430,0001006,0002995,0003717,0003026,0000034,001024,000,001,00000128,01,001,001,016,016,1,0.99,050
0000000,0001005,0000180,0001002,0002034,0002605,0002054,0000010,001024,000,000,00000008,01,001,001,016,016,1,0.99,050
0000000,0001061,0000571,0001004,0002746,0003597,0002885,0000066,001024,000,000,00000008,01,001,001,016,016,1,0.99,050
0000000,0001005,0000181,0001002,0002053,0002625,0002064,0000010,001024,000,001,00000008,01,001,001,016,016,1,0.99,050
0000000,0001045,0000562,0001005,0002796,0003627,0002925,0000052,001024,000,001,00000008,01,001,001,016,016,1,0.99,050
0000000,0000170,0000030,0001004,0004299,0004849,0004228,0000034,001024,001,000,00001024,01,002,001,016,016,0,0.99,050
0000000,0001014,0000241,0001006,0005771,0006412,0005741,0000068,001024,001,000,00001024,01,002,001,016,016,0,0.99,050
0000000,0000170,0000030,0001004,0004298,0004849,0004227,0000032,001024,001,001,00001024,01,002,001,016,016,0,0.99,050
0000000,0001013,0000241,0001006,0005761,0006412,0005751,0000068,001024,001,001,00001024,01,002,001,016,016,0,0.99,050
0000000,0000171,0000030,0001004,0004308,0004849,0004228,0000033,001024,001,000,00000128,01,002,001,016,016,0,0.99,050
0000000,0001015,0000301,0001006,0005771,0006442,0005781,0000069,001024,001,000,00000128,01,002,001,016,016,0,0.99,050
0000000,0000171,0000030,0001004,0004308,0004849,0004228,0000037,001024,001,001,00000128,01,002,001,016,016,0,0.99,050
0000000,0001015,0000301,0001006,0005751,0006392,0005741,0000069,001024,001,001,00000128,01,002,001,016,016,0,0.99,050
0000000,0000240,0000170,0001004,0004288,0004849,0004218,0000033,001024,001,000,00000008,01,002,001,016,016,0,0.99,050
0000000,0001033,0000471,0001006,0005741,0006452,0005821,0000071,001024,001,000,00000008,01,002,001,016,016,0,0.99,050
0000000,0000240,0000170,0001004,0004289,0004849,0004218,0000035,001024,001,001,00000008,01,002,001,016,016,0,0.99,050
0000000,0001033,0000480,0001006,0005750,0006472,0005821,0000072,001024,001,001,00000008,01,002,001,016,016,0,0.99,050
