tid,lock_impl_time(ms)
RUN 0
001,    68.815
-----------------------------------------------------------------------------------------------

RUN 1
001,    72.124
-----------------------------------------------------------------------------------------------

RUN 2
001,    71.149
-----------------------------------------------------------------------------------------------

RUN 3
001,    75.066
-----------------------------------------------------------------------------------------------

RUN 4
001,    74.810
-----------------------------------------------------------------------------------------------

