tid,lock_impl_time(ms)
RUN 0
001,    57.375
-----------------------------------------------------------------------------------------------

RUN 1
001,    56.795
-----------------------------------------------------------------------------------------------

RUN 2
001,    56.526
-----------------------------------------------------------------------------------------------

RUN 3
001,    58.756
-----------------------------------------------------------------------------------------------

RUN 4
001,    56.134
-----------------------------------------------------------------------------------------------

