tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id,nlocks
011,20.0, 0.092883334, 0.092883334, 0.092883334,11103.268554688,11103.268554688,11103.268554688, 0.138950005, 0.138950005, 0.138950005,11103.110351562,11103.110351562,11103.110351562, 0.000401667, 0.000401667, 0.000401667, 0.023566667, 0.023566667, 0.023566667, 0.008591667, 0.008591667, 0.008591667, 0.124321669, 0.124321669, 0.124321669, 0.124291666, 0.124291666, 0.124291666, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
012,20.0, 0.095468335, 0.095468335, 0.095468335,11103.614257812,11103.614257812,11103.614257812, 0.134501666, 0.134501666, 0.134501666,11103.456054688,11103.456054688,11103.456054688, 0.000368333, 0.000368333, 0.000368333, 0.028813334, 0.028813334, 0.028813334, 0.008816667, 0.008816667, 0.008816667, 0.123851664, 0.123851664, 0.123851664, 0.124893330, 0.124893330, 0.124893330, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
013,20.0, 0.097068332, 0.097068332, 0.097068332,11103.921875000,11103.921875000,11103.921875000, 0.133778334, 0.133778334, 0.133778334,11103.765625000,11103.765625000,11103.765625000, 0.000353333, 0.000353333, 0.000353333, 0.025655000, 0.025655000, 0.025655000, 0.008445000, 0.008445000, 0.008445000, 0.124781668, 0.124781668, 0.124781668, 0.124629997, 0.124629997, 0.124629997, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
014,20.0, 0.095500000, 0.095500000, 0.095500000,11104.247070312,11104.247070312,11104.247070312, 0.134444997, 0.134444997, 0.134444997,11104.078125000,11104.078125000,11104.078125000, 0.000395000, 0.000395000, 0.000395000, 0.030121667, 0.030121667, 0.030121667, 0.008483334, 0.008483334, 0.008483334, 0.123104997, 0.123104997, 0.123104997, 0.125246674, 0.125246674, 0.125246674, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
015,20.0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000378333, 0.000378333, 0.000378333, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,          524288,000,000001
000,20.0, 0.080911666, 0.081060834, 0.081221670, 2.516228437, 2.519248247, 2.527088404, 0.129331663, 0.129613340, 0.129871666, 2.386416674, 2.389719248, 2.395198345, 0.000131667, 0.000139167, 0.000221667, 0.007191667, 0.007748333, 0.009760000, 0.006675000, 0.006870000, 0.006963333, 0.121698335, 0.121783331, 0.122096665, 0.122313336, 0.122415833, 0.122534998, 1.000000000, 1.000000000, 1.000000000,          524288,001,000001
001,20.0, 0.080909997, 0.081049167, 0.081200004, 2.517556667, 2.519228220, 2.525226593, 0.129583329, 0.130238339, 0.130710006, 2.387058258, 2.389013290, 2.396066666, 0.000140000, 0.000166667, 0.000233333, 0.006841667, 0.007989166, 0.008546666, 0.006465000, 0.007180833, 0.007443334, 0.121873334, 0.122039169, 0.122175001, 0.122620001, 0.122714169, 0.122945003, 1.000000000, 1.000000000, 1.000000000,          524288,001,000001
002,20.0, 0.080838330, 0.081079997, 0.086309999, 2.516760111, 2.517568350, 2.525693417, 0.130898327, 0.131142497, 0.131376669, 2.383436680, 2.387439966, 2.395786762, 0.000156667, 0.000158333, 0.000205000, 0.008208334, 0.008340834, 0.009428333, 0.007323334, 0.007392500, 0.007556667, 0.121498331, 0.121609166, 0.125194997, 0.123058334, 0.123180836, 0.123483330, 1.000000000, 1.000000000, 1.000000000,          524288,001,000001
003,20.0, 0.080893330, 0.081031665, 0.081105001, 2.514383316, 2.518207550, 2.529059887, 0.129473329, 0.130150840, 0.130565003, 2.385255098, 2.389169931, 2.398173332, 0.000136667, 0.000151667, 0.000156667, 0.007070000, 0.007371667, 0.009248333, 0.006776667, 0.007158333, 0.007738333, 0.121608332, 0.121935003, 0.122028336, 0.122280002, 0.122531667, 0.122701667, 1.000000000, 1.000000000, 1.000000000,          524288,001,000001
004,20.0, 0.080896668, 0.081061669, 0.081178330, 2.514246702, 2.518844128, 2.523868322, 0.130119994, 0.130418330, 0.137836665, 2.384996653, 2.388035774, 2.394291639, 0.000128333, 0.000137500, 0.000395000, 0.006633333, 0.007687500, 0.008486667, 0.007073333, 0.007276667, 0.007405000, 0.121988334, 0.122117497, 0.125290006, 0.122704998, 0.122769170, 0.130239993, 1.000000000, 1.000000000, 1.000000000,          524288,001,000001
