lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0007715,0000341,0000040,0001005,0015018,0006793,0014558,001024,001,000,0512
0012313,0001494,0001113,0001009,0022603,0010830,0021861,001024,001,000,0512
0007725,0000350,0000040,0001005,0015028,0006813,0014568,001024,001,001,0512
0012603,0001496,0001122,0001009,0022712,0010961,0021891,001024,001,001,0512
0007714,0000341,0000040,0001005,0015009,0006793,0014557,001024,001,002,0512
0013255,0001497,0001112,0001009,0023104,0011421,0022162,001024,001,002,0512
